month,day,avg_daytime_temperature,years_sampled
1,1,5.75,1
1,2,7.76,1
1,3,6.01,1
1,4,5.27,1
1,5,6.51,1
1,6,6.9,1
1,7,6.83,1
1,8,6.78,1
1,9,8.05,1
1,10,8.17,1
1,11,7.06,1
1,12,9.61,1
1,13,9.46,1
1,14,8.51,1
1,15,5.04,1
1,16,3.54,1
1,17,4.58,1
1,18,5.47,1
1,19,4.65,1
1,20,3.45,1
1,21,0.91,1
1,22,1.83,1
1,23,1.68,1
1,24,6.69,1
1,25,5.87,1
1,26,7.01,1
1,27,7.25,1
1,28,9.11,1
1,29,8.97,1
1,30,8.37,1
1,31,10.61,1
2,1,12.53,1
2,2,12.99,1
2,3,13.1,1
2,4,7.66,1
2,5,6.27,1
2,6,6.9,1
2,7,5.18,1
2,8,8.3,1
2,9,10.1,1
2,10,13.05,1
2,11,13.25,1
2,12,13.49,1
2,13,15.52,1
2,14,17.3,1
2,15,12.96,1
2,16,14.01,1
2,17,16.06,1
2,18,17.15,1
2,19,19.83,1
2,20,19.25,1
2,21,16.87,1
2,22,17.38,1
2,23,18.51,1
2,24,18.58,1
2,25,13.81,1
2,26,14.54,1
2,27,16.34,1
2,28,16.98,1
3,1,12.99,1
3,2,11.43,1
3,3,9.34,1
3,4,11.15,1
3,5,11.52,1
3,6,10.78,1
3,7,13.22,1
3,8,11.48,1
3,9,9.11,1
3,10,6.86,1
3,11,7.97,1
3,12,9.51,1
3,13,7.08,1
3,14,9.66,1
3,15,13.05,1
3,16,13.58,1
3,17,12.86,1
3,18,12.42,1
3,19,14.23,1
3,20,13.42,1
3,21,14.14,1
3,22,15.98,1
3,23,17.55,1
3,24,16.98,1
3,25,13.11,1
3,26,15.08,1
3,27,12.87,1
3,28,7.98,1
3,29,12.45,1
3,30,14.42,1
3,31,12.02,1
4,1,12.9,1
4,2,14.87,1
4,3,17.03,1
4,4,16.28,1
4,5,13.27,1
4,6,13.62,1
4,7,14.61,1
4,8,15.08,1
4,9,16.75,1
4,10,18.79,1
4,11,20.69,1
4,12,19.29,1
4,13,18.02,1
4,14,14.87,1
4,15,15.76,1
4,16,16.01,1
4,17,17.05,1
4,18,19.62,1
4,19,21.55,1
4,20,20.11,1
4,21,18.4,1
4,22,16.88,1
4,23,19.09,1
4,24,20.58,1
4,25,23.16,1
4,26,24.1,1
4,27,22.45,1
4,28,22.36,1
4,29,20.52,1
4,30,20.42,1
5,1,21.16,1
5,2,23.79,1
5,3,25.61,1
5,4,26.48,1
5,5,24.17,1
5,6,27.51,1
5,7,26.67,1
5,8,25.69,1
5,9,23.91,1
5,10,23.99,1
5,11,25.61,1
5,12,27.5,1
5,13,27.43,1
5,14,26.7,1
5,15,27.11,1
5,16,23.25,1
5,17,19.44,1
5,18,21.44,1
5,19,23.15,1
5,20,20.64,1
5,21,24.63,1
5,22,25.15,1
5,23,25.19,1
5,24,28.01,1
5,25,28.64,1
5,26,26.36,1
5,27,27.38,1
5,28,29.99,1
5,29,34.15,1
5,30,31.4,1
5,31,28.54,1
6,1,29.03,1
6,2,28.99,1
6,3,28.33,1
6,4,28.79,1
6,5,28.63,1
6,6,29.21,1
6,7,31.17,1
6,8,28.9,1
6,9,29.69,1
6,10,31.01,1
6,11,33.09,1
6,12,33.8,1
6,13,32.84,1
6,14,31.96,1
6,15,31.91,1
6,16,30.41,1
6,17,30.11,1
6,18,30.48,1
6,19,33.22,1
6,20,35.18,1
6,21,36.37,1
6,22,36.42,1
6,23,35.35,1
6,24,34.99,1
6,25,31.9,1
6,26,31.05,1
6,27,33.45,1
6,28,32.79,1
6,29,31.66,1
6,30,31.36,1
7,1,31.36,1
7,2,28.45,1
7,3,31.35,1
7,4,33.42,1
7,5,33.94,1
7,6,34.59,1
7,7,35.8,1
7,8,35.5,1
7,9,36.64,1
7,10,37.17,1
7,11,38.81,1
7,12,35.08,1
7,13,34.82,1
7,14,36.34,1
7,15,37.11,1
7,16,36.6,1
7,17,36.31,1
7,18,37.46,1
7,19,37.74,1
7,20,36.12,1
7,21,33.14,1
7,22,32.66,1
7,23,32.16,1
7,24,33.73,1
7,25,35.28,1
7,26,37.16,1
7,27,38.03,1
7,28,34.11,1
7,29,32.96,1
7,30,31.92,1
7,31,32.45,1
8,1,33.2,1
8,2,34.03,1
8,3,32.97,1
8,4,32.59,1
8,5,34.01,1
8,6,33.97,1
8,7,31.54,1
8,8,31.35,1
8,9,33.46,1
8,10,35.04,1
8,11,33.97,1
8,12,33.34,1
8,13,33.53,1
8,14,34.14,1
8,15,35.17,1
8,16,36.56,1
8,17,36.59,1
8,18,37.17,1
8,19,37.41,1
8,20,36.84,1
8,21,33.35,1
8,22,32.43,1
8,23,32.96,1
8,24,34.28,1
8,25,34.57,1
8,26,34.6,1
8,27,34.85,1
8,28,34.78,1
8,29,34.29,1
8,30,35.08,1
8,31,35.47,1
9,1,32.32,1
9,2,30.3,1
9,3,29.34,1
9,4,29.73,1
9,5,31.83,1
9,6,32.21,1
9,7,32.29,1
9,8,31.05,1
9,9,29.16,1
9,10,29.82,1
9,11,29.08,1
9,12,29.05,1
9,13,29.92,1
9,14,29.92,1
9,15,29.97,1
9,16,30.9,1
9,17,31.08,1
9,18,31.58,1
