month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.0,1
1,3,0.0,1
1,4,0.0,1
1,5,0.0,1
1,6,0.0,1
1,7,0.0,1
1,8,0.0,1
1,9,0.0,1
1,10,0.2,1
1,11,0.2,1
1,12,0.2,1
1,13,0.3,1
1,14,0.3,1
1,15,0.3,1
1,16,0.4,1
1,17,5.5,1
1,18,5.8,1
1,19,5.8,1
1,20,6.3,1
1,21,6.8,1
1,22,6.8,1
1,23,6.8,1
1,24,6.8,1
1,25,6.8,1
1,26,6.8,1
1,27,6.8,1
1,28,6.8,1
1,29,6.8,1
1,30,6.8,1
1,31,6.8,1
2,1,6.8,1
2,2,6.8,1
2,3,6.8,1
2,4,7.3,1
2,5,7.3,1
2,6,7.3,1
2,7,7.3,1
2,8,7.3,1
2,9,7.3,1
2,10,7.3,1
2,11,7.3,1
2,12,7.3,1
2,13,7.3,1
2,14,7.3,1
2,15,7.3,1
2,16,7.3,1
2,17,7.3,1
2,18,7.3,1
2,19,7.3,1
2,20,7.3,1
2,21,7.3,1
2,22,7.9,1
2,23,7.9,1
2,24,7.9,1
2,25,7.9,1
2,26,7.9,1
2,27,7.9,1
2,28,7.9,1
3,1,7.9,1
3,2,7.9,1
3,3,7.9,1
3,4,7.9,1
3,5,11.3,1
3,6,11.6,1
3,7,11.6,1
3,8,12.8,1
3,9,17.2,1
3,10,17.2,1
3,11,17.2,1
3,12,17.4,1
3,13,17.4,1
3,14,17.4,1
3,15,17.4,1
3,16,17.7,1
3,17,24.5,1
3,18,24.5,1
3,19,24.5,1
3,20,24.5,1
3,21,24.5,1
3,22,24.5,1
3,23,24.9,1
3,24,25.0,1
3,25,25.0,1
3,26,25.0,1
3,27,25.0,1
3,28,25.0,1
3,29,25.0,1
3,30,26.8,1
3,31,27.5,1
4,1,27.8,1
4,2,27.8,1
4,3,30.1,1
4,4,30.1,1
4,5,33.9,1
4,6,34.7,1
4,7,35.2,1
4,8,35.2,1
4,9,35.6,1
4,10,36.2,1
4,11,49.4,1
4,12,53.5,1
4,13,53.6,1
4,14,53.6,1
4,15,53.6,1
4,16,53.6,1
4,17,53.7,1
4,18,53.8,1
4,19,54.2,1
4,20,62.6,1
4,21,62.7,1
4,22,63.7,1
4,23,63.8,1
4,24,63.8,1
4,25,63.8,1
4,26,63.8,1
4,27,63.8,1
4,28,64.5,1
4,29,64.5,1
4,30,64.5,1
5,1,64.5,1
5,2,64.5,1
5,3,64.5,1
5,4,64.5,1
5,5,64.6,1
5,6,64.6,1
5,7,64.6,1
5,8,64.6,1
5,9,64.6,1
5,10,66.0,1
5,11,83.2,1
5,12,83.4,1
5,13,83.4,1
5,14,83.4,1
5,15,83.4,1
5,16,89.9,1
5,17,92.8,1
5,18,92.9,1
5,19,103.7,1
5,20,104.2,1
5,21,107.2,1
5,22,108.5,1
5,23,117.9,1
5,24,118.8,1
5,25,119.2,1
5,26,121.6,1
5,27,129.5,1
5,28,130.6,1
5,29,130.6,1
5,30,130.7,1
5,31,130.7,1
6,1,131.3,1
6,2,132.8,1
6,3,140.9,1
6,4,148.7,1
6,5,158.8,1
6,6,177.7,1
6,7,190.1,1
6,8,199.4,1
6,9,204.0,1
6,10,207.9,1
6,11,210.9,1
6,12,214.8,1
6,13,235.1,1
6,14,237.2,1
6,15,237.6,1
6,16,239.6,1
6,17,243.1,1
6,18,250.4,1
6,19,261.5,1
6,20,278.8,1
6,21,286.6,1
6,22,288.4,1
6,23,290.0,1
6,24,291.8,1
6,25,292.4,1
6,26,292.7,1
6,27,297.2,1
6,28,301.1,1
6,29,307.7,1
6,30,314.5,1
7,1,319.4,1
7,2,331.4,1
7,3,337.4,1
7,4,338.0,1
7,5,341.2,1
7,6,342.5,1
7,7,343.5,1
7,8,355.1,1
7,9,369.0,1
7,10,371.8,1
7,11,373.2,1
7,12,377.8,1
7,13,380.2,1
7,14,380.2,1
7,15,381.0,1
7,16,381.9,1
7,17,384.7,1
7,18,390.0,1
7,19,396.9,1
7,20,397.3,1
7,21,397.3,1
7,22,397.3,1
7,23,397.3,1
7,24,397.3,1
7,25,397.3,1
7,26,397.6,1
7,27,398.8,1
7,28,403.0,1
7,29,405.6,1
7,30,406.2,1
7,31,411.4,1
8,1,412.7,1
8,2,414.9,1
8,3,419.0,1
8,4,419.3,1
8,5,419.3,1
8,6,419.5,1
8,7,420.9,1
8,8,421.2,1
8,9,428.9,1
8,10,437.8,1
8,11,438.2,1
8,12,438.2,1
8,13,439.2,1
8,14,445.3,1
8,15,445.4,1
8,16,447.1,1
8,17,447.1,1
8,18,448.8,1
8,19,450.9,1
8,20,454.4,1
8,21,457.1,1
8,22,457.1,1
8,23,457.3,1
8,24,465.4,1
8,25,471.6,1
8,26,471.7,1
8,27,471.8,1
8,28,471.9,1
8,29,483.6,1
8,30,492.6,1
8,31,508.9,1
9,1,520.9,1
9,2,531.1,1
9,3,534.2,1
9,4,534.3,1
9,5,534.3,1
9,6,535.9,1
9,7,561.6,1
9,8,569.9,1
9,9,577.9,1
9,10,589.1,1
9,11,590.3,1
9,12,593.0,1
