month,day,avg_daytime_temperature,years_sampled
1,1,-10.16,1
1,2,-6.27,1
1,3,-4.26,1
1,4,-2.64,1
1,5,-1.0,1
1,6,0.88,1
1,7,1.78,1
1,8,2.73,1
1,9,9.43,1
1,10,2.31,1
1,11,-1.86,1
1,12,-0.01,1
1,13,2.02,1
1,14,3.38,1
1,15,-13.1,1
1,16,-6.55,1
1,17,0.8,1
1,18,-9.38,1
1,19,-7.7,1
1,20,-12.93,1
1,21,-4.08,1
1,22,-5.14,1
1,23,-13.28,1
1,24,-17.81,1
1,25,-8.16,1
1,26,-12.45,1
1,27,-11.85,1
1,28,-11.09,1
1,29,-15.27,1
1,30,-16.33,1
1,31,-14.49,1
2,1,-12.82,1
2,2,-10.77,1
2,3,-4.53,1
2,4,-9.68,1
2,5,-8.27,1
2,6,-4.73,1
2,7,-16.88,1
2,8,-19.09,1
2,9,-13.59,1
2,10,-1.22,1
2,11,-0.91,1
2,12,-5.3,1
2,13,-7.23,1
2,14,-0.3,1
2,15,-1.37,1
2,16,-0.94,1
2,17,2.3,1
2,18,-0.94,1
2,19,-0.32,1
2,20,2.11,1
2,21,0.99,1
2,22,-0.88,1
2,23,-4.99,1
2,24,-9.45,1
2,25,0.19,1
2,26,-5.49,1
2,27,-0.13,1
2,28,-0.74,1
3,1,-10.05,1
3,2,-10.74,1
3,3,-2.12,1
3,4,0.02,1
3,5,1.64,1
3,6,0.33,1
3,7,11.32,1
3,8,6.49,1
3,9,10.67,1
3,10,13.28,1
3,11,3.96,1
3,12,0.32,1
3,13,0.73,1
3,14,-1.91,1
3,15,1.28,1
3,16,7.05,1
3,17,-6.43,1
3,18,-2.17,1
3,19,5.16,1
3,20,3.38,1
3,21,2.63,1
3,22,4.54,1
3,23,1.0,1
3,24,1.16,1
3,25,2.53,1
3,26,7.68,1
3,27,-2.57,1
3,28,-0.32,1
3,29,5.68,1
3,30,12.9,1
3,31,11.28,1
4,1,3.38,1
4,2,2.15,1
4,3,16.72,1
4,4,3.71,1
4,5,5.58,1
4,6,2.41,1
4,7,-2.1,1
4,8,1.1,1
4,9,11.66,1
4,10,6.06,1
4,11,6.16,1
4,12,4.69,1
4,13,17.79,1
4,14,16.27,1
4,15,11.36,1
4,16,16.35,1
4,17,13.53,1
4,18,14.27,1
4,19,5.56,1
4,20,2.2,1
4,21,5.98,1
4,22,12.09,1
4,23,12.09,1
4,24,6.19,1
4,25,6.34,1
4,26,9.65,1
4,27,11.55,1
4,28,12.08,1
4,29,8.88,1
4,30,8.58,1
5,1,6.76,1
5,2,5.79,1
5,3,8.54,1
5,4,15.21,1
5,5,14.52,1
5,6,7.16,1
5,7,8.09,1
5,8,8.76,1
5,9,11.68,1
5,10,10.34,1
5,11,8.98,1
5,12,8.7,1
5,13,12.19,1
5,14,9.53,1
5,15,15.65,1
5,16,15.71,1
5,17,20.77,1
5,18,24.18,1
5,19,23.62,1
5,20,15.41,1
5,21,11.72,1
5,22,12.54,1
5,23,8.77,1
5,24,11.73,1
5,25,16.51,1
5,26,21.27,1
5,27,20.55,1
5,28,17.93,1
5,29,20.81,1
5,30,16.02,1
5,31,20.9,1
6,1,17.23,1
6,2,21.47,1
6,3,23.11,1
6,4,22.95,1
6,5,23.77,1
6,6,22.45,1
6,7,19.96,1
6,8,19.24,1
6,9,20.88,1
6,10,25.19,1
6,11,26.47,1
6,12,25.41,1
6,13,24.52,1
6,14,18.5,1
6,15,16.03,1
6,16,18.94,1
6,17,17.71,1
6,18,18.78,1
6,19,19.36,1
6,20,19.99,1
6,21,19.17,1
6,22,16.83,1
6,23,20.56,1
6,24,21.83,1
6,25,17.81,1
6,26,18.82,1
6,27,21.14,1
6,28,23.49,1
6,29,24.39,1
6,30,26.9,1
7,1,31.18,1
7,2,31.71,1
7,3,28.11,1
7,4,23.21,1
7,5,22.76,1
7,6,22.47,1
7,7,22.37,1
7,8,24.11,1
7,9,24.66,1
7,10,23.3,1
7,11,23.66,1
7,12,23.28,1
7,13,25.75,1
7,14,31.49,1
7,15,27.79,1
7,16,26.64,1
7,17,23.02,1
7,18,25.41,1
7,19,21.17,1
7,20,21.91,1
7,21,22.09,1
7,22,18.95,1
7,23,20.75,1
7,24,21.36,1
7,25,22.73,1
7,26,23.88,1
7,27,24.2,1
7,28,23.67,1
7,29,24.04,1
7,30,25.06,1
7,31,24.93,1
8,1,25.56,1
8,2,22.09,1
8,3,22.65,1
8,4,21.65,1
8,5,23.11,1
8,6,24.59,1
8,7,23.26,1
8,8,24.5,1
8,9,23.22,1
8,10,25.1,1
8,11,25.57,1
8,12,22.25,1
8,13,24.51,1
8,14,23.71,1
8,15,21.95,1
8,16,22.67,1
8,17,24.63,1
8,18,23.15,1
8,19,22.96,1
8,20,20.91,1
8,21,21.76,1
8,22,21.89,1
8,23,18.25,1
8,24,18.75,1
8,25,21.14,1
8,26,21.61,1
8,27,23.42,1
8,28,18.68,1
8,29,20.48,1
8,30,20.99,1
8,31,20.83,1
9,1,23.33,1
9,2,24.05,1
9,3,23.85,1
9,4,22.13,1
9,5,21.15,1
9,6,19.46,1
9,7,20.48,1
9,8,21.28,1
9,9,22.49,1
9,10,22.21,1
9,11,18.78,1
9,12,21.94,1
9,13,24.53,1
9,14,18.17,1
