month,day,avg_accumulated_precipitation,years_sampled
1,1,0.2,1
1,2,0.4,1
1,3,0.7,1
1,4,1.3,1
1,5,4.0,1
1,6,18.3,1
1,7,22.0,1
1,8,22.0,1
1,9,22.9,1
1,10,26.1,1
1,11,26.1,1
1,12,27.0,1
1,13,27.6,1
1,14,29.9,1
1,15,47.7,1
1,16,49.8,1
1,17,51.0,1
1,18,51.0,1
1,19,52.6,1
1,20,52.7,1
1,21,55.4,1
1,22,56.2,1
1,23,56.8,1
1,24,56.8,1
1,25,73.9,1
1,26,74.6,1
1,27,75.0,1
1,28,75.0,1
1,29,75.0,1
1,30,75.0,1
1,31,75.0,1
2,1,75.0,1
2,2,75.2,1
2,3,75.7,1
2,4,75.7,1
2,5,75.7,1
2,6,78.5,1
2,7,78.9,1
2,8,78.9,1
2,9,78.9,1
2,10,79.9,1
2,11,80.1,1
2,12,80.6,1
2,13,81.7,1
2,14,81.7,1
2,15,81.7,1
2,16,82.1,1
2,17,82.1,1
2,18,98.7,1
2,19,98.8,1
2,20,107.0,1
2,21,108.7,1
2,22,112.3,1
2,23,112.6,1
2,24,112.7,1
2,25,117.1,1
2,26,117.1,1
2,27,117.4,1
2,28,118.6,1
3,1,119.2,1
3,2,119.2,1
3,3,119.2,1
3,4,119.2,1
3,5,123.9,1
3,6,125.4,1
3,7,153.0,1
3,8,153.2,1
3,9,153.2,1
3,10,153.7,1
3,11,165.2,1
3,12,165.2,1
3,13,169.5,1
3,14,170.1,1
3,15,172.8,1
3,16,181.3,1
3,17,181.8,1
3,18,182.3,1
3,19,182.5,1
3,20,190.9,1
3,21,191.1,1
3,22,194.5,1
3,23,195.9,1
3,24,195.9,1
3,25,196.5,1
3,26,206.5,1
3,27,206.5,1
3,28,206.5,1
3,29,206.5,1
3,30,207.4,1
3,31,219.5,1
4,1,219.5,1
4,2,223.5,1
4,3,240.7,1
4,4,255.0,1
4,5,258.9,1
4,6,260.6,1
4,7,262.1,1
4,8,262.1,1
4,9,264.5,1
4,10,270.3,1
4,11,270.3,1
4,12,272.5,1
4,13,275.0,1
4,14,278.7,1
4,15,282.7,1
4,16,288.9,1
4,17,288.9,1
4,18,294.3,1
4,19,295.9,1
4,20,295.9,1
4,21,296.3,1
4,22,296.3,1
4,23,296.3,1
4,24,296.3,1
4,25,310.2,1
4,26,310.2,1
4,27,310.2,1
4,28,317.8,1
4,29,319.0,1
4,30,319.3,1
5,1,320.3,1
5,2,321.8,1
5,3,322.7,1
5,4,322.8,1
5,5,323.7,1
5,6,326.7,1
5,7,328.6,1
5,8,329.9,1
5,9,334.4,1
5,10,334.4,1
5,11,334.4,1
5,12,335.5,1
5,13,342.9,1
5,14,343.3,1
5,15,343.3,1
5,16,343.4,1
5,17,347.7,1
5,18,348.3,1
5,19,354.1,1
5,20,354.1,1
5,21,354.1,1
5,22,354.1,1
5,23,389.9,1
5,24,394.2,1
5,25,394.3,1
5,26,394.3,1
5,27,394.3,1
5,28,394.3,1
5,29,394.3,1
5,30,394.3,1
5,31,394.3,1
6,1,394.3,1
6,2,394.3,1
6,3,394.3,1
6,4,394.3,1
6,5,395.2,1
6,6,405.7,1
6,7,405.7,1
6,8,405.7,1
6,9,409.9,1
6,10,410.8,1
6,11,413.0,1
6,12,413.0,1
6,13,413.3,1
6,14,425.6,1
6,15,425.6,1
6,16,428.1,1
6,17,437.8,1
6,18,469.1,1
6,19,470.4,1
6,20,470.4,1
6,21,470.6,1
6,22,474.5,1
6,23,475.1,1
6,24,475.1,1
6,25,475.3,1
6,26,477.5,1
6,27,477.5,1
6,28,477.5,1
6,29,477.5,1
6,30,482.4,1
7,1,483.1,1
7,2,484.2,1
7,3,493.8,1
7,4,510.2,1
7,5,510.2,1
7,6,510.2,1
7,7,510.2,1
7,8,510.5,1
7,9,517.3,1
7,10,519.2,1
7,11,520.6,1
7,12,520.6,1
7,13,520.6,1
7,14,520.6,1
7,15,521.3,1
7,16,521.3,1
7,17,521.7,1
7,18,529.5,1
7,19,529.5,1
7,20,529.7,1
7,21,565.5,1
7,22,565.5,1
7,23,565.5,1
7,24,565.5,1
7,25,565.5,1
7,26,566.1,1
7,27,567.8,1
7,28,577.8,1
7,29,577.8,1
7,30,577.8,1
7,31,577.8,1
8,1,577.8,1
8,2,590.8,1
8,3,597.8,1
8,4,597.8,1
8,5,597.8,1
8,6,599.3,1
8,7,599.9,1
8,8,601.1,1
8,9,601.1,1
8,10,605.2,1
8,11,605.4,1
8,12,622.2,1
8,13,622.3,1
8,14,623.3,1
8,15,624.1,1
8,16,624.7,1
8,17,624.7,1
8,18,624.7,1
8,19,632.4,1
8,20,632.5,1
8,21,632.5,1
8,22,638.3,1
8,23,647.0,1
8,24,650.0,1
8,25,651.5,1
8,26,651.6,1
8,27,662.0,1
8,28,662.0,1
8,29,662.7,1
8,30,666.4,1
8,31,684.3,1
9,1,684.6,1
9,2,703.2,1
9,3,703.4,1
9,4,703.4,1
9,5,703.4,1
9,6,704.3,1
9,7,704.3,1
9,8,704.3,1
9,9,714.8,1
9,10,715.4,1
9,11,715.4,1
9,12,715.4,1
9,13,715.5,1
9,14,715.5,1
9,15,716.0,1
9,16,716.0,1
9,17,716.0,1
9,18,716.0,1
9,19,716.2,1
9,20,716.2,1
9,21,716.2,1
9,22,716.2,1
9,23,716.2,1
9,24,716.2,1
