month,day,avg_daytime_temperature,years_sampled
1,1,3.24,1
1,2,6.19,1
1,3,7.14,1
1,4,7.52,1
1,5,4.71,1
1,6,5.09,1
1,7,2.22,1
1,8,4.4,1
1,9,5.89,1
1,10,7.0,1
1,11,7.4,1
1,12,8.91,1
1,13,11.96,1
1,14,7.88,1
1,15,6.58,1
1,16,6.56,1
1,17,4.67,1
1,18,4.82,1
1,19,4.31,1
1,20,5.82,1
1,21,3.66,1
1,22,2.43,1
1,23,3.12,1
1,24,1.72,1
1,25,1.91,1
1,26,2.21,1
1,27,5.89,1
1,28,6.49,1
1,29,9.23,1
1,30,8.97,1
1,31,9.42,1
2,1,8.24,1
2,2,7.76,1
2,3,9.97,1
2,4,11.37,1
2,5,8.06,1
2,6,9.13,1
2,7,8.86,1
2,8,8.06,1
2,9,6.49,1
2,10,8.15,1
2,11,6.14,1
2,12,5.9,1
2,13,6.21,1
2,14,5.36,1
2,15,3.43,1
2,16,3.43,1
2,17,2.02,1
2,18,1.05,1
2,19,-0.74,1
2,20,0.61,1
2,21,4.4,1
2,22,7.25,1
2,23,7.15,1
2,24,5.4,1
2,25,6.88,1
2,26,9.11,1
2,27,8.04,1
2,28,6.46,1
3,1,7.0,1
3,2,7.14,1
3,3,8.56,1
3,4,8.49,1
3,5,7.82,1
3,6,7.42,1
3,7,10.65,1
3,8,6.98,1
3,9,4.33,1
3,10,1.48,1
3,11,2.31,1
3,12,4.34,1
3,13,4.27,1
3,14,3.82,1
3,15,4.4,1
3,16,7.36,1
3,17,9.43,1
3,18,10.75,1
3,19,9.99,1
3,20,11.59,1
3,21,7.19,1
3,22,6.51,1
3,23,6.1,1
3,24,8.44,1
3,25,5.87,1
3,26,6.32,1
3,27,7.58,1
3,28,7.08,1
3,29,4.74,1
3,30,5.25,1
3,31,8.2,1
4,1,6.33,1
4,2,8.97,1
4,3,7.87,1
4,4,10.93,1
4,5,12.28,1
4,6,12.18,1
4,7,8.6,1
4,8,9.42,1
4,9,11.31,1
4,10,12.67,1
4,11,10.92,1
4,12,11.64,1
4,13,10.59,1
4,14,6.71,1
4,15,7.01,1
4,16,7.62,1
4,17,9.25,1
4,18,12.31,1
4,19,14.17,1
4,20,15.46,1
4,21,13.31,1
4,22,12.16,1
4,23,11.53,1
4,24,12.29,1
4,25,13.25,1
4,26,13.56,1
4,27,11.61,1
4,28,11.08,1
4,29,12.83,1
4,30,15.5,1
5,1,16.07,1
5,2,16.96,1
5,3,19.33,1
5,4,21.07,1
5,5,16.55,1
5,6,13.69,1
5,7,14.39,1
5,8,13.93,1
5,9,16.03,1
5,10,15.49,1
5,11,16.08,1
5,12,19.15,1
5,13,15.11,1
5,14,13.75,1
5,15,9.59,1
5,16,11.05,1
5,17,12.97,1
5,18,14.65,1
5,19,14.65,1
5,20,14.99,1
5,21,16.7,1
5,22,18.54,1
5,23,16.81,1
5,24,16.66,1
5,25,12.76,1
5,26,13.92,1
5,27,16.33,1
5,28,19.13,1
5,29,14.28,1
5,30,14.0,1
5,31,15.74,1
6,1,18.57,1
6,2,22.34,1
6,3,18.92,1
6,4,16.01,1
6,5,12.53,1
6,6,11.84,1
6,7,13.76,1
6,8,14.36,1
6,9,14.28,1
6,10,14.48,1
6,11,15.87,1
6,12,17.44,1
6,13,20.87,1
6,14,24.22,1
6,15,23.79,1
6,16,19.53,1
6,17,17.12,1
6,18,18.72,1
6,19,18.54,1
6,20,17.62,1
6,21,19.46,1
6,22,22.82,1
6,23,24.24,1
6,24,24.2,1
6,25,17.18,1
6,26,14.56,1
6,27,15.66,1
6,28,16.01,1
6,29,16.11,1
6,30,15.64,1
7,1,16.53,1
7,2,14.1,1
7,3,17.62,1
7,4,17.1,1
7,5,17.54,1
7,6,20.44,1
7,7,19.47,1
7,8,18.86,1
7,9,19.37,1
7,10,19.39,1
7,11,17.89,1
7,12,17.23,1
7,13,18.67,1
7,14,21.35,1
7,15,22.24,1
7,16,18.5,1
7,17,16.84,1
7,18,17.88,1
7,19,18.73,1
7,20,22.18,1
7,21,24.6,1
7,22,25.97,1
7,23,22.44,1
7,24,21.88,1
7,25,17.29,1
7,26,16.05,1
7,27,17.95,1
7,28,17.9,1
7,29,18.13,1
7,30,18.49,1
7,31,21.07,1
8,1,17.75,1
8,2,16.27,1
8,3,17.82,1
8,4,20.07,1
8,5,20.7,1
8,6,21.7,1
8,7,21.72,1
8,8,20.93,1
8,9,19.09,1
8,10,19.02,1
8,11,19.32,1
8,12,20.09,1
8,13,21.49,1
8,14,21.74,1
8,15,19.44,1
8,16,19.16,1
8,17,19.57,1
8,18,20.79,1
8,19,19.79,1
8,20,21.47,1
8,21,23.3,1
8,22,18.76,1
8,23,17.71,1
8,24,19.39,1
8,25,22.99,1
8,26,19.19,1
8,27,17.91,1
8,28,17.99,1
8,29,16.42,1
8,30,16.08,1
8,31,17.97,1
9,1,18.53,1
9,2,16.96,1
9,3,16.02,1
9,4,15.98,1
9,5,17.9,1
9,6,17.38,1
9,7,16.07,1
9,8,17.09,1
9,9,17.05,1
9,10,16.96,1
9,11,15.84,1
9,12,16.67,1
9,13,16.95,1
9,14,15.92,1
9,15,17.03,1
9,16,17.84,1
9,17,17.98,1
