month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,5.2,1
1,3,29.8,1
1,4,47.1,1
1,5,47.9,1
1,6,72.9,1
1,7,98.6,1
1,8,103.1,1
1,9,106.9,1
1,10,112.2,1
1,11,144.3,1
1,12,189.5,1
1,13,189.6,1
1,14,189.6,1
1,15,189.7,1
1,16,189.7,1
1,17,189.7,1
1,18,189.7,1
1,19,189.7,1
1,20,189.7,1
1,21,189.7,1
1,22,189.7,1
1,23,189.7,1
1,24,189.7,1
1,25,189.7,1
1,26,189.7,1
1,27,190.3,1
1,28,212.5,1
1,29,239.3,1
1,30,258.6,1
1,31,265.5,1
2,1,287.9,1
2,2,312.5,1
2,3,314.4,1
2,4,314.4,1
2,5,314.4,1
2,6,314.4,1
2,7,344.5,1
2,8,344.7,1
2,9,353.9,1
2,10,363.7,1
2,11,363.7,1
2,12,369.1,1
2,13,389.6,1
2,14,392.5,1
2,15,392.5,1
2,16,404.7,1
2,17,413.4,1
2,18,417.0,1
2,19,417.0,1
2,20,417.0,1
2,21,421.0,1
2,22,433.1,1
2,23,438.1,1
2,24,438.1,1
2,25,438.6,1
2,26,439.5,1
2,27,441.5,1
2,28,441.5,1
3,1,441.5,1
3,2,441.5,1
3,3,450.9,1
3,4,467.0,1
3,5,467.1,1
3,6,483.3,1
3,7,491.5,1
3,8,499.2,1
3,9,502.0,1
3,10,521.9,1
3,11,543.7,1
3,12,547.0,1
3,13,550.1,1
3,14,550.1,1
3,15,557.9,1
3,16,580.3,1
3,17,600.3,1
3,18,619.5,1
3,19,642.8,1
3,20,648.2,1
3,21,648.2,1
3,22,652.1,1
3,23,652.1,1
3,24,666.5,1
3,25,668.6,1
3,26,668.8,1
3,27,668.8,1
3,28,669.1,1
3,29,670.2,1
3,30,670.3,1
3,31,670.3,1
4,1,703.8,1
4,2,705.7,1
4,3,708.3,1
4,4,708.3,1
4,5,708.3,1
4,6,708.3,1
4,7,708.3,1
4,8,708.3,1
4,9,708.3,1
4,10,708.3,1
4,11,709.4,1
4,12,709.9,1
4,13,712.4,1
4,14,723.1,1
4,15,723.3,1
4,16,723.3,1
4,17,723.3,1
4,18,723.3,1
4,19,723.3,1
4,20,723.3,1
4,21,723.9,1
4,22,723.9,1
4,23,723.9,1
4,24,723.9,1
4,25,723.9,1
4,26,723.9,1
4,27,724.8,1
4,28,729.8,1
4,29,729.8,1
4,30,729.8,1
5,1,729.8,1
5,2,729.8,1
5,3,729.8,1
5,4,729.8,1
5,5,729.8,1
5,6,729.8,1
5,7,730.3,1
5,8,730.3,1
5,9,730.3,1
5,10,730.6,1
5,11,730.6,1
5,12,730.6,1
5,13,732.7,1
5,14,734.4,1
5,15,754.3,1
5,16,758.2,1
5,17,758.2,1
5,18,758.2,1
5,19,758.2,1
5,20,758.2,1
5,21,758.2,1
5,22,758.2,1
5,23,758.2,1
5,24,758.6,1
5,25,772.4,1
5,26,773.8,1
5,27,773.8,1
5,28,773.8,1
5,29,775.0,1
5,30,775.1,1
5,31,775.1,1
6,1,775.1,1
6,2,775.1,1
6,3,775.2,1
6,4,775.5,1
6,5,788.1,1
6,6,795.2,1
6,7,797.3,1
6,8,802.6,1
6,9,814.4,1
6,10,814.9,1
6,11,814.9,1
6,12,814.9,1
6,13,814.9,1
6,14,814.9,1
6,15,814.9,1
6,16,814.9,1
6,17,815.1,1
6,18,815.1,1
6,19,815.1,1
6,20,815.1,1
6,21,815.1,1
6,22,815.1,1
6,23,815.1,1
6,24,815.1,1
6,25,816.0,1
6,26,835.5,1
6,27,836.2,1
6,28,836.8,1
6,29,837.1,1
6,30,837.1,1
7,1,837.3,1
7,2,852.3,1
7,3,853.4,1
7,4,853.4,1
7,5,853.4,1
7,6,853.4,1
7,7,853.4,1
7,8,853.4,1
7,9,853.4,1
7,10,856.0,1
7,11,857.1,1
7,12,862.1,1
7,13,862.1,1
7,14,862.1,1
7,15,862.1,1
7,16,874.4,1
7,17,875.1,1
7,18,879.1,1
7,19,879.1,1
7,20,879.1,1
7,21,879.1,1
7,22,879.1,1
7,23,879.3,1
7,24,879.3,1
7,25,885.3,1
7,26,904.7,1
7,27,910.3,1
7,28,913.8,1
7,29,913.8,1
7,30,913.8,1
7,31,913.8,1
8,1,924.8,1
8,2,925.5,1
8,3,925.5,1
8,4,925.5,1
8,5,925.5,1
8,6,925.5,1
8,7,925.5,1
8,8,925.5,1
8,9,925.5,1
8,10,925.5,1
8,11,925.5,1
8,12,926.6,1
8,13,926.6,1
8,14,926.6,1
8,15,926.6,1
8,16,928.5,1
8,17,928.5,1
8,18,928.5,1
8,19,928.5,1
8,20,928.5,1
8,21,928.5,1
8,22,934.4,1
8,23,945.1,1
8,24,945.1,1
8,25,945.1,1
8,26,945.1,1
8,27,947.3,1
8,28,951.0,1
8,29,951.1,1
8,30,952.1,1
8,31,952.1,1
9,1,952.7,1
9,2,964.1,1
9,3,967.2,1
9,4,967.2,1
9,5,967.4,1
9,6,967.4,1
9,7,971.1,1
9,8,971.1,1
9,9,971.1,1
9,10,971.1,1
9,11,971.3,1
9,12,971.3,1
9,13,971.3,1
9,14,971.5,1
9,15,971.6,1
9,16,971.6,1
9,17,971.6,1
9,18,971.6,1
9,19,971.6,1
9,20,971.6,1
9,21,971.6,1
