month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,1
1,2,0.1,1
1,3,0.3,1
1,4,0.3,1
1,5,0.8,1
1,6,1.2,1
1,7,1.4,1
1,8,1.4,1
1,9,5.1,1
1,10,5.8,1
1,11,5.8,1
1,12,7.6,1
1,13,12.2,1
1,14,12.2,1
1,15,12.4,1
1,16,12.4,1
1,17,12.4,1
1,18,12.4,1
1,19,12.4,1
1,20,12.4,1
1,21,12.4,1
1,22,12.4,1
1,23,13.4,1
1,24,13.8,1
1,25,17.3,1
1,26,17.5,1
1,27,17.5,1
1,28,18.5,1
1,29,30.5,1
1,30,30.5,1
1,31,30.5,1
2,1,31.0,1
2,2,31.0,1
2,3,31.0,1
2,4,33.6,1
2,5,36.7,1
2,6,36.7,1
2,7,36.7,1
2,8,36.7,1
2,9,36.8,1
2,10,36.8,1
2,11,37.8,1
2,12,38.8,1
2,13,38.8,1
2,14,39.9,1
2,15,41.1,1
2,16,42.6,1
2,17,43.6,1
2,18,44.1,1
2,19,55.4,1
2,20,72.2,1
2,21,72.9,1
2,22,75.0,1
2,23,76.5,1
2,24,82.8,1
2,25,82.8,1
2,26,82.8,1
2,27,82.8,1
2,28,82.8,1
3,1,82.8,1
3,2,82.8,1
3,3,82.8,1
3,4,83.6,1
3,5,83.6,1
3,6,83.6,1
3,7,83.6,1
3,8,83.6,1
3,9,83.6,1
3,10,83.6,1
3,11,83.6,1
3,12,84.1,1
3,13,84.1,1
3,14,84.1,1
3,15,84.5,1
3,16,85.9,1
3,17,87.0,1
3,18,87.0,1
3,19,87.0,1
3,20,87.0,1
3,21,87.3,1
3,22,87.7,1
3,23,87.7,1
3,24,87.7,1
3,25,88.5,1
3,26,102.9,1
3,27,106.5,1
3,28,108.6,1
3,29,110.5,1
3,30,110.7,1
3,31,113.1,1
4,1,113.3,1
4,2,113.5,1
4,3,113.5,1
4,4,113.5,1
4,5,113.5,1
4,6,113.6,1
4,7,113.6,1
4,8,113.6,1
4,9,113.6,1
4,10,115.0,1
4,11,115.0,1
4,12,115.0,1
4,13,115.5,1
4,14,115.5,1
4,15,117.1,1
4,16,117.1,1
4,17,117.1,1
4,18,117.1,1
4,19,122.1,1
4,20,122.2,1
4,21,122.8,1
4,22,122.8,1
4,23,122.8,1
4,24,122.8,1
4,25,122.8,1
4,26,122.8,1
4,27,122.8,1
4,28,122.8,1
4,29,122.8,1
4,30,122.8,1
5,1,122.8,1
5,2,122.8,1
5,3,122.8,1
5,4,122.8,1
5,5,122.8,1
5,6,122.9,1
5,7,123.9,1
5,8,123.9,1
5,9,123.9,1
5,10,123.9,1
5,11,137.0,1
5,12,140.5,1
5,13,140.5,1
5,14,143.5,1
5,15,149.4,1
5,16,157.9,1
5,17,158.7,1
5,18,158.8,1
5,19,158.8,1
5,20,159.2,1
5,21,160.4,1
5,22,160.4,1
5,23,160.4,1
5,24,160.4,1
5,25,160.4,1
5,26,160.4,1
5,27,162.1,1
5,28,162.1,1
5,29,162.1,1
5,30,164.5,1
5,31,166.9,1
6,1,170.1,1
6,2,170.1,1
6,3,177.1,1
6,4,177.1,1
6,5,180.4,1
6,6,180.4,1
6,7,181.4,1
6,8,181.6,1
6,9,191.3,1
6,10,202.2,1
6,11,210.1,1
6,12,210.6,1
6,13,216.4,1
6,14,217.9,1
6,15,218.3,1
6,16,219.8,1
6,17,221.3,1
6,18,221.3,1
6,19,221.3,1
6,20,221.8,1
6,21,222.0,1
6,22,223.0,1
6,23,223.2,1
6,24,223.2,1
6,25,223.2,1
6,26,223.2,1
6,27,223.2,1
6,28,223.2,1
6,29,224.2,1
6,30,224.2,1
7,1,225.8,1
7,2,225.8,1
7,3,225.9,1
7,4,225.9,1
7,5,229.9,1
7,6,234.0,1
7,7,234.7,1
7,8,241.5,1
7,9,241.5,1
7,10,241.5,1
7,11,241.5,1
7,12,242.3,1
7,13,242.3,1
7,14,244.5,1
7,15,246.2,1
7,16,254.1,1
7,17,257.7,1
7,18,258.9,1
7,19,261.3,1
7,20,262.1,1
7,21,262.1,1
7,22,262.3,1
7,23,264.2,1
7,24,264.5,1
7,25,264.5,1
7,26,264.6,1
7,27,265.9,1
7,28,265.9,1
7,29,265.9,1
7,30,265.9,1
7,31,265.9,1
8,1,266.3,1
8,2,266.3,1
8,3,266.3,1
8,4,266.3,1
8,5,266.3,1
8,6,266.8,1
8,7,267.3,1
8,8,267.3,1
8,9,267.3,1
8,10,267.3,1
8,11,267.3,1
8,12,267.3,1
8,13,267.3,1
8,14,267.3,1
8,15,267.3,1
8,16,267.4,1
8,17,274.7,1
8,18,275.7,1
8,19,279.9,1
8,20,282.5,1
8,21,284.6,1
8,22,285.0,1
8,23,285.0,1
8,24,285.0,1
8,25,287.6,1
8,26,287.6,1
8,27,287.6,1
8,28,287.6,1
8,29,291.2,1
8,30,291.2,1
8,31,291.2,1
9,1,293.1,1
9,2,293.2,1
9,3,294.0,1
9,4,294.3,1
9,5,295.0,1
9,6,295.0,1
9,7,295.0,1
9,8,295.0,1
9,9,305.4,1
9,10,308.3,1
9,11,318.9,1
9,12,319.3,1
9,13,322.4,1
9,14,327.2,1
9,15,327.2,1
9,16,327.4,1
9,17,332.0,1
9,18,332.0,1
