month,day,avg_accumulated_precipitation,years_sampled
1,1,1.9,1
1,2,6.8,1
1,3,7.6,1
1,4,7.9,1
1,5,7.9,1
1,6,7.9,1
1,7,7.9,1
1,8,8.8,1
1,9,8.8,1
1,10,9.9,1
1,11,12.5,1
1,12,13.5,1
1,13,13.8,1
1,14,21.2,1
1,15,21.4,1
1,16,21.4,1
1,17,21.4,1
1,18,21.4,1
1,19,21.4,1
1,20,21.4,1
1,21,21.4,1
1,22,21.4,1
1,23,21.7,1
1,24,21.8,1
1,25,22.1,1
1,26,25.1,1
1,27,25.2,1
1,28,28.2,1
1,29,28.2,1
1,30,28.4,1
1,31,28.4,1
2,1,28.4,1
2,2,28.4,1
2,3,28.4,1
2,4,28.8,1
2,5,28.9,1
2,6,31.0,1
2,7,35.0,1
2,8,36.5,1
2,9,36.5,1
2,10,37.3,1
2,11,37.3,1
2,12,38.9,1
2,13,41.0,1
2,14,42.4,1
2,15,42.4,1
2,16,42.4,1
2,17,46.0,1
2,18,46.6,1
2,19,46.7,1
2,20,46.7,1
2,21,47.4,1
2,22,52.8,1
2,23,59.6,1
2,24,61.6,1
2,25,61.9,1
2,26,61.9,1
2,27,61.9,1
2,28,61.9,1
3,1,62.1,1
3,2,62.2,1
3,3,62.2,1
3,4,62.2,1
3,5,62.2,1
3,6,62.2,1
3,7,62.2,1
3,8,62.2,1
3,9,62.2,1
3,10,62.2,1
3,11,62.4,1
3,12,62.5,1
3,13,62.8,1
3,14,62.8,1
3,15,64.5,1
3,16,64.7,1
3,17,64.7,1
3,18,64.7,1
3,19,64.7,1
3,20,66.0,1
3,21,66.0,1
3,22,66.0,1
3,23,66.0,1
3,24,66.0,1
3,25,66.7,1
3,26,69.4,1
3,27,69.4,1
3,28,69.6,1
3,29,69.6,1
3,30,69.7,1
3,31,69.7,1
4,1,69.7,1
4,2,69.7,1
4,3,69.7,1
4,4,70.4,1
4,5,71.1,1
4,6,76.7,1
4,7,77.4,1
4,8,77.9,1
4,9,78.4,1
4,10,78.4,1
4,11,78.4,1
4,12,78.4,1
4,13,78.4,1
4,14,78.9,1
4,15,79.2,1
4,16,79.4,1
4,17,80.0,1
4,18,80.0,1
4,19,80.0,1
4,20,80.0,1
4,21,80.0,1
4,22,80.0,1
4,23,80.0,1
4,24,80.0,1
4,25,80.0,1
4,26,82.4,1
4,27,82.4,1
4,28,82.4,1
4,29,82.6,1
4,30,82.6,1
5,1,82.6,1
5,2,82.6,1
5,3,82.6,1
5,4,82.6,1
5,5,82.6,1
5,6,83.1,1
5,7,88.8,1
5,8,89.0,1
5,9,89.2,1
5,10,89.2,1
5,11,91.1,1
5,12,99.9,1
5,13,100.5,1
5,14,101.5,1
5,15,103.7,1
5,16,108.2,1
5,17,109.2,1
5,18,110.1,1
5,19,110.4,1
5,20,110.4,1
5,21,111.9,1
5,22,111.9,1
5,23,112.0,1
5,24,113.7,1
5,25,113.7,1
5,26,113.8,1
5,27,116.4,1
5,28,116.7,1
5,29,116.7,1
5,30,118.3,1
5,31,119.6,1
6,1,127.2,1
6,2,127.8,1
6,3,127.8,1
6,4,134.8,1
6,5,137.4,1
6,6,137.4,1
6,7,137.9,1
6,8,140.0,1
6,9,143.8,1
6,10,144.6,1
6,11,167.1,1
6,12,168.2,1
6,13,176.7,1
6,14,183.1,1
6,15,186.2,1
6,16,187.8,1
6,17,187.8,1
6,18,188.0,1
6,19,188.0,1
6,20,188.0,1
6,21,189.1,1
6,22,189.4,1
6,23,189.4,1
6,24,189.4,1
6,25,189.8,1
6,26,189.8,1
6,27,189.8,1
6,28,189.8,1
6,29,189.8,1
6,30,189.8,1
7,1,193.6,1
7,2,195.2,1
7,3,196.3,1
7,4,197.5,1
7,5,203.3,1
7,6,203.6,1
7,7,214.1,1
7,8,220.1,1
7,9,223.1,1
7,10,234.0,1
7,11,240.1,1
7,12,245.1,1
7,13,252.0,1
7,14,252.1,1
7,15,252.1,1
7,16,252.1,1
7,17,252.1,1
7,18,257.9,1
7,19,266.5,1
7,20,269.3,1
7,21,278.9,1
7,22,278.9,1
7,23,284.0,1
7,24,292.2,1
7,25,292.8,1
7,26,292.8,1
7,27,302.3,1
7,28,302.7,1
7,29,302.7,1
7,30,302.7,1
7,31,303.1,1
8,1,308.9,1
8,2,310.0,1
8,3,311.5,1
8,4,311.7,1
8,5,312.0,1
8,6,314.6,1
8,7,314.9,1
8,8,314.9,1
8,9,314.9,1
8,10,315.5,1
8,11,321.6,1
8,12,321.6,1
8,13,321.6,1
8,14,321.6,1
8,15,321.6,1
8,16,321.8,1
8,17,343.9,1
8,18,365.9,1
8,19,368.0,1
8,20,375.1,1
8,21,377.0,1
8,22,386.1,1
8,23,386.5,1
8,24,388.3,1
8,25,388.3,1
8,26,388.3,1
8,27,388.3,1
8,28,388.3,1
8,29,393.5,1
8,30,393.5,1
8,31,395.9,1
9,1,399.1,1
9,2,399.5,1
9,3,406.4,1
9,4,408.9,1
9,5,411.4,1
9,6,413.6,1
9,7,413.6,1
9,8,413.6,1
9,9,413.6,1
9,10,419.3,1
9,11,420.1,1
9,12,420.2,1
9,13,420.7,1
9,14,421.1,1
9,15,421.4,1
9,16,421.4,1
9,17,427.8,1
9,18,428.0,1
9,19,428.0,1
