month,day,avg_daytime_temperature,years_sampled
1,1,-0.31,1
1,2,1.12,1
1,3,-1.84,1
1,4,-2.45,1
1,5,-4.92,1
1,6,-12.4,1
1,7,-10.4,1
1,8,-7.86,1
1,9,-10.01,1
1,10,-10.74,1
1,11,-3.91,1
1,12,-6.41,1
1,13,-6.12,1
1,14,-6.42,1
1,15,-0.88,1
1,16,-3.78,1
1,17,-7.0,1
1,18,-11.06,1
1,19,-11.39,1
1,20,-9.03,1
1,21,-7.93,1
1,22,-9.1,1
1,23,-6.96,1
1,24,-6.39,1
1,25,-5.0,1
1,26,0.03,1
1,27,0.33,1
1,28,-0.92,1
1,29,-4.29,1
1,30,-5.68,1
1,31,-11.76,1
2,1,-13.94,1
2,2,-15.33,1
2,3,-13.98,1
2,4,-8.11,1
2,5,-1.62,1
2,6,0.97,1
2,7,0.83,1
2,8,-2.33,1
2,9,-7.27,1
2,10,-4.72,1
2,11,1.36,1
2,12,2.08,1
2,13,3.45,1
2,14,-2.49,1
2,15,-6.25,1
2,16,-9.51,1
2,17,-6.13,1
2,18,-2.54,1
2,19,-5.3,1
2,20,-4.71,1
2,21,-3.81,1
2,22,3.51,1
2,23,6.14,1
2,24,2.81,1
2,25,1.45,1
2,26,2.3,1
2,27,6.83,1
2,28,10.35,1
3,1,9.16,1
3,2,7.94,1
3,3,8.56,1
3,4,7.38,1
3,5,5.79,1
3,6,6.53,1
3,7,8.15,1
3,8,8.91,1
3,9,9.77,1
3,10,11.66,1
3,11,13.93,1
3,12,11.88,1
3,13,12.06,1
3,14,13.89,1
3,15,12.2,1
3,16,9.38,1
3,17,8.53,1
3,18,9.62,1
3,19,9.04,1
3,20,7.73,1
3,21,7.84,1
3,22,9.58,1
3,23,10.87,1
3,24,12.22,1
3,25,12.91,1
3,26,7.48,1
3,27,7.69,1
3,28,10.57,1
3,29,12.32,1
3,30,7.38,1
3,31,9.45,1
4,1,9.36,1
4,2,10.32,1
4,3,10.55,1
4,4,10.85,1
4,5,15.23,1
4,6,8.32,1
4,7,7.66,1
4,8,6.74,1
4,9,4.36,1
4,10,6.11,1
4,11,8.16,1
4,12,10.49,1
4,13,10.22,1
4,14,11.22,1
4,15,13.8,1
4,16,12.69,1
4,17,11.05,1
4,18,12.84,1
4,19,14.81,1
4,20,11.64,1
4,21,10.86,1
4,22,11.86,1
4,23,13.25,1
4,24,12.79,1
4,25,14.31,1
4,26,7.91,1
4,27,10.09,1
4,28,7.77,1
4,29,5.59,1
4,30,8.02,1
5,1,16.49,1
5,2,20.23,1
5,3,22.97,1
5,4,23.27,1
5,5,22.62,1
5,6,20.42,1
5,7,15.12,1
5,8,11.73,1
5,9,11.86,1
5,10,14.41,1
5,11,16.92,1
5,12,10.73,1
5,13,9.56,1
5,14,13.77,1
5,15,14.68,1
5,16,11.43,1
5,17,11.79,1
5,18,14.88,1
5,19,14.36,1
5,20,17.62,1
5,21,19.34,1
5,22,18.91,1
5,23,19.32,1
5,24,22.14,1
5,25,20.19,1
5,26,21.91,1
5,27,19.3,1
5,28,15.79,1
5,29,17.07,1
5,30,18.11,1
5,31,17.52,1
6,1,18.1,1
6,2,18.41,1
6,3,19.08,1
6,4,16.99,1
6,5,20.68,1
6,6,19.09,1
6,7,20.99,1
6,8,20.1,1
6,9,23.33,1
6,10,16.51,1
6,11,14.19,1
6,12,15.31,1
6,13,16.63,1
6,14,13.44,1
6,15,14.38,1
6,16,15.24,1
6,17,16.95,1
6,18,20.85,1
6,19,23.65,1
6,20,27.16,1
6,21,26.89,1
6,22,25.22,1
6,23,23.22,1
6,24,24.16,1
6,25,27.02,1
6,26,28.56,1
6,27,30.76,1
6,28,33.82,1
6,29,32.77,1
6,30,28.15,1
7,1,26.56,1
7,2,21.66,1
7,3,20.84,1
7,4,17.92,1
7,5,17.81,1
7,6,18.43,1
7,7,17.92,1
7,8,16.18,1
7,9,16.15,1
7,10,16.09,1
7,11,17.27,1
7,12,17.02,1
7,13,19.81,1
7,14,21.21,1
7,15,23.14,1
7,16,24.94,1
7,17,27.72,1
7,18,23.09,1
7,19,22.26,1
7,20,17.3,1
7,21,15.91,1
7,22,18.08,1
7,23,16.68,1
7,24,16.82,1
7,25,20.41,1
7,26,24.08,1
7,27,19.46,1
7,28,18.18,1
7,29,20.87,1
7,30,26.05,1
7,31,29.7,1
8,1,25.96,1
8,2,21.38,1
8,3,24.66,1
8,4,28.48,1
8,5,31.31,1
8,6,26.93,1
8,7,21.22,1
8,8,19.23,1
8,9,20.91,1
8,10,25.16,1
8,11,19.32,1
8,12,19.03,1
8,13,19.63,1
8,14,21.95,1
8,15,25.11,1
8,16,24.61,1
8,17,20.38,1
8,18,16.45,1
8,19,19.11,1
8,20,21.37,1
8,21,22.27,1
8,22,18.0,1
8,23,16.77,1
8,24,15.56,1
8,25,17.59,1
8,26,18.32,1
8,27,19.47,1
8,28,20.14,1
8,29,18.51,1
8,30,21.42,1
8,31,20.82,1
9,1,18.51,1
9,2,18.64,1
9,3,18.8,1
9,4,19.61,1
9,5,17.53,1
9,6,15.61,1
9,7,16.33,1
9,8,21.02,1
9,9,24.75,1
9,10,16.65,1
9,11,14.2,1
9,12,15.82,1
9,13,16.9,1
9,14,17.53,1
9,15,17.76,1
9,16,20.17,1
9,17,16.17,1
9,18,17.62,1
9,19,18.12,1
9,20,18.47,1
9,21,12.69,1
9,22,12.76,1
9,23,13.72,1
9,24,11.48,1
9,25,12.91,1
