month,day,avg_daytime_temperature,years_sampled
1,1,-0.34,1
1,2,1.65,1
1,3,-2.11,1
1,4,-3.81,1
1,5,-3.46,1
1,6,-5.35,1
1,7,-3.12,1
1,8,1.42,1
1,9,4.51,1
1,10,1.1,1
1,11,-1.05,1
1,12,2.0,1
1,13,2.66,1
1,14,4.02,1
1,15,6.43,1
1,16,3.4,1
1,17,2.66,1
1,18,0.22,1
1,19,1.7,1
1,20,0.86,1
1,21,0.42,1
1,22,-0.33,1
1,23,0.69,1
1,24,2.01,1
1,25,2.94,1
1,26,3.92,1
1,27,0.67,1
1,28,1.96,1
1,29,3.48,1
1,30,1.0,1
1,31,2.09,1
2,1,3.94,1
2,2,3.96,1
2,3,4.78,1
2,4,1.48,1
2,5,2.43,1
2,6,4.15,1
2,7,6.15,1
2,8,2.66,1
2,9,4.51,1
2,10,3.57,1
2,11,7.2,1
2,12,5.66,1
2,13,8.04,1
2,14,5.23,1
2,15,2.52,1
2,16,5.56,1
2,17,4.05,1
2,18,1.41,1
2,19,4.18,1
2,20,5.55,1
2,21,6.74,1
2,22,9.31,1
2,23,10.3,1
2,24,11.82,1
2,25,8.98,1
2,26,10.62,1
2,27,10.88,1
2,28,9.61,1
3,1,8.28,1
3,2,7.75,1
3,3,9.25,1
3,4,8.3,1
3,5,7.73,1
3,6,9.13,1
3,7,9.9,1
3,8,10.46,1
3,9,10.86,1
3,10,10.67,1
3,11,10.33,1
3,12,8.98,1
3,13,9.67,1
3,14,3.35,1
3,15,4.77,1
3,16,6.32,1
3,17,8.74,1
3,18,7.47,1
3,19,8.27,1
3,20,8.12,1
3,21,8.06,1
3,22,8.38,1
3,23,8.04,1
3,24,8.76,1
3,25,8.6,1
3,26,3.99,1
3,27,3.03,1
3,28,3.47,1
3,29,4.81,1
3,30,4.32,1
3,31,3.85,1
4,1,5.55,1
4,2,7.23,1
4,3,9.78,1
4,4,12.08,1
4,5,15.03,1
4,6,14.68,1
4,7,15.18,1
4,8,15.32,1
4,9,15.37,1
4,10,12.31,1
4,11,14.94,1
4,12,9.79,1
4,13,9.15,1
4,14,8.73,1
4,15,10.7,1
4,16,13.88,1
4,17,14.66,1
4,18,15.91,1
4,19,14.36,1
4,20,12.55,1
4,21,11.06,1
4,22,11.14,1
4,23,13.29,1
4,24,15.42,1
4,25,16.93,1
4,26,16.82,1
4,27,17.45,1
4,28,16.54,1
4,29,15.59,1
4,30,14.46,1
5,1,16.84,1
5,2,20.14,1
5,3,19.26,1
5,4,17.68,1
5,5,14.35,1
5,6,11.41,1
5,7,13.59,1
5,8,15.34,1
5,9,17.31,1
5,10,16.71,1
5,11,12.46,1
5,12,8.51,1
5,13,11.47,1
5,14,8.87,1
5,15,8.17,1
5,16,8.98,1
5,17,11.75,1
5,18,11.39,1
5,19,13.3,1
5,20,15.3,1
5,21,17.61,1
5,22,20.33,1
5,23,22.61,1
5,24,24.66,1
5,25,25.58,1
5,26,26.16,1
5,27,25.66,1
5,28,24.49,1
5,29,24.21,1
5,30,24.5,1
5,31,22.11,1
6,1,19.48,1
6,2,18.53,1
6,3,15.32,1
6,4,15.79,1
6,5,15.29,1
6,6,17.8,1
6,7,19.5,1
6,8,20.98,1
6,9,15.09,1
6,10,12.6,1
6,11,14.0,1
6,12,16.23,1
6,13,21.82,1
6,14,21.82,1
6,15,20.66,1
6,16,22.64,1
6,17,25.44,1
6,18,28.21,1
6,19,28.35,1
6,20,26.76,1
6,21,29.18,1
6,22,29.55,1
6,23,29.28,1
6,24,29.99,1
6,25,31.14,1
6,26,31.43,1
6,27,31.96,1
6,28,30.78,1
6,29,25.65,1
6,30,26.39,1
7,1,20.41,1
7,2,22.34,1
7,3,22.86,1
7,4,24.12,1
7,5,25.18,1
7,6,25.22,1
7,7,27.73,1
7,8,26.02,1
7,9,26.11,1
7,10,27.79,1
7,11,28.7,1
7,12,27.22,1
7,13,28.34,1
7,14,27.49,1
7,15,23.49,1
7,16,25.12,1
7,17,23.93,1
7,18,21.81,1
7,19,21.38,1
7,20,22.01,1
7,21,21.08,1
7,22,22.73,1
7,23,22.41,1
7,24,23.34,1
7,25,25.97,1
7,26,21.61,1
7,27,23.68,1
7,28,25.64,1
7,29,30.3,1
7,30,30.72,1
7,31,28.49,1
8,1,25.39,1
8,2,26.86,1
8,3,30.9,1
8,4,30.61,1
8,5,27.61,1
8,6,26.66,1
8,7,25.58,1
8,8,26.81,1
8,9,28.86,1
8,10,28.49,1
8,11,28.44,1
8,12,28.22,1
8,13,28.98,1
8,14,30.36,1
8,15,29.83,1
8,16,26.64,1
8,17,19.54,1
8,18,23.52,1
8,19,26.38,1
8,20,21.39,1
8,21,16.41,1
8,22,18.17,1
8,23,19.26,1
8,24,20.44,1
8,25,19.78,1
8,26,23.8,1
8,27,25.6,1
8,28,20.71,1
8,29,20.64,1
8,30,23.02,1
8,31,21.16,1
9,1,20.96,1
9,2,21.16,1
9,3,22.89,1
9,4,25.68,1
9,5,22.08,1
9,6,22.23,1
9,7,24.25,1
9,8,26.31,1
9,9,15.16,1
9,10,15.68,1
9,11,16.98,1
9,12,18.29,1
9,13,20.89,1
