calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,150.03,95.7,204.1,46.87,30.58,60.72,-0.48,-6.0,4.35,80.56,66.0,94.0,-16.8,9.1
2,2,Feb,141.68,54.8,213.85,102.38,77.63,145.73,0.2,-4.3,4.8,79.98,67.0,93.0,-14.8,9.1
3,3,Mar,129.84,69.25,181.2,189.45,144.96,227.12,0.99,-3.2,4.9,77.29,61.0,92.0,-13.7,9.7
4,4,Apr,120.27,69.7,204.4,246.13,179.14,312.42,3.58,-0.41,7.2,77.41,62.0,91.0,-8.6,14.2
5,5,May,106.64,46.3,177.5,320.16,245.4,408.67,6.54,3.3,9.55,76.58,62.0,91.0,-3.9,18.9
6,6,Jun,85.95,36.55,121.85,309.77,219.59,424.97,9.59,6.9,12.2,78.42,65.9,90.0,1.1,19.2
7,7,Jul,90.19,54.95,143.1,314.8,202.69,422.85,11.43,9.4,13.65,81.35,71.0,91.0,3.8,21.2
8,8,Aug,104.19,57.15,152.75,276.26,206.01,329.37,10.88,8.7,12.95,81.72,71.0,92.0,1.7,20.5
9,9,Sep,144.62,103.7,194.65,197.02,156.21,239.81,8.1,4.9,11.0,83.57,73.0,93.0,-1.8,16.4
10,10,Oct,132.99,67.75,194.9,149.95,125.2,198.2,4.51,0.8,8.2,83.92,73.0,93.0,-9.6,13.6
11,11,Nov,117.96,65.95,170.8,70.73,55.85,92.66,1.8,-2.8,6.23,82.03,66.9,93.1,-12.6,11.8
12,12,Dec,125.28,79.1,164.75,24.22,13.44,40.34,-0.77,-5.9,4.7,80.06,66.5,92.0,-19.8,9.6
