month,day,avg_accumulated_precipitation,years_sampled
1,1,2.85,16
1,2,6.84,16
1,3,9.74,16
1,4,14.42,16
1,5,18.71,16
1,6,24.44,16
1,7,30.42,16
1,8,35.28,16
1,9,41.57,16
1,10,45.72,16
1,11,51.54,16
1,12,56.22,16
1,13,60.7,16
1,14,68.03,16
1,15,72.42,16
1,16,77.51,16
1,17,80.92,16
1,18,85.36,16
1,19,90.01,16
1,20,95.78,16
1,21,99.59,16
1,22,104.11,16
1,23,110.41,16
1,24,117.76,16
1,25,124.17,16
1,26,128.83,16
1,27,133.91,16
1,28,139.02,16
1,29,141.19,16
1,30,145.09,16
1,31,150.03,16
2,1,153.35,16
2,2,160.78,16
2,3,165.68,16
2,4,170.79,16
2,5,175.81,16
2,6,179.64,16
2,7,186.45,16
2,8,191.5,16
2,9,196.28,16
2,10,199.9,16
2,11,204.36,16
2,12,207.43,16
2,13,211.44,16
2,14,218.46,16
2,15,222.29,16
2,16,223.62,16
2,17,227.1,16
2,18,230.68,16
2,19,239.38,16
2,20,242.36,16
2,21,250.38,16
2,22,253.9,16
2,23,259.76,16
2,24,264.5,16
2,25,273.49,16
2,26,282.9,16
2,27,286.47,16
2,28,290.93,16
2,29,291.71,4
3,1,297.24,16
3,2,302.05,16
3,3,305.72,16
3,4,309.04,16
3,5,314.31,16
3,6,319.71,16
3,7,322.6,16
3,8,326.45,16
3,9,328.69,16
3,10,334.74,16
3,11,336.43,16
3,12,339.19,16
3,13,343.43,16
3,14,349.91,16
3,15,355.22,16
3,16,359.05,16
3,17,361.56,16
3,18,366.64,16
3,19,373.05,16
3,20,380.34,16
3,21,384.89,16
3,22,390.54,16
3,23,394.19,16
3,24,399.19,16
3,25,404.93,16
3,26,410.96,16
3,27,413.4,16
3,28,414.34,16
3,29,416.58,16
3,30,419.12,16
3,31,421.55,16
4,1,423.32,16
4,2,427.81,16
4,3,434.05,16
4,4,437.75,16
4,5,441.84,16
4,6,444.19,16
4,7,448.98,16
4,8,452.14,16
4,9,456.54,16
