month,day,avg_daytime_temperature,years_sampled
1,1,28.65,16
1,2,28.21,16
1,3,28.03,16
1,4,27.76,16
1,5,27.11,16
1,6,27.74,16
1,7,27.96,16
1,8,28.25,16
1,9,28.39,16
1,10,28.58,16
1,11,28.55,16
1,12,28.42,16
1,13,28.25,16
1,14,28.42,16
1,15,28.58,16
1,16,28.72,16
1,17,28.89,16
1,18,28.78,16
1,19,28.59,16
1,20,28.44,16
1,21,28.08,16
1,22,27.62,16
1,23,27.75,16
1,24,27.87,16
1,25,28.72,16
1,26,28.21,16
1,27,28.2,16
1,28,28.18,16
1,29,28.74,16
1,30,28.7,16
1,31,28.61,16
2,1,28.78,16
2,2,28.72,16
2,3,28.69,16
2,4,28.69,16
2,5,28.21,16
2,6,28.24,16
2,7,28.13,16
2,8,27.92,16
2,9,28.73,16
2,10,28.92,16
2,11,28.81,16
2,12,29.09,16
2,13,29.01,16
2,14,28.86,16
2,15,28.47,16
2,16,28.2,16
2,17,28.63,16
2,18,28.1,16
2,19,28.16,16
2,20,28.8,16
2,21,28.55,16
2,22,28.6,16
2,23,28.66,16
2,24,28.86,16
2,25,28.49,16
2,26,28.51,16
2,27,28.0,16
2,28,27.86,16
2,29,27.38,4
3,1,27.1,16
3,2,26.85,16
3,3,27.33,16
3,4,27.7,16
3,5,28.14,16
3,6,27.44,16
3,7,26.97,16
3,8,26.74,16
3,9,27.77,16
3,10,28.07,16
3,11,27.64,16
3,12,27.74,16
3,13,27.88,16
3,14,27.69,16
3,15,27.67,16
3,16,27.57,16
3,17,27.21,16
3,18,26.84,16
3,19,27.12,16
3,20,27.1,16
3,21,26.95,16
3,22,26.75,16
3,23,26.16,16
3,24,26.19,16
3,25,26.96,16
3,26,27.21,16
3,27,26.85,16
3,28,26.45,16
3,29,26.42,16
3,30,26.79,16
3,31,26.53,16
4,1,26.41,16
4,2,26.5,16
4,3,26.48,16
4,4,26.3,16
4,5,26.52,16
4,6,26.21,16
4,7,25.39,16
4,8,25.43,16
4,9,25.62,16
4,10,25.63,16
4,11,25.77,16
4,12,26.63,16
4,13,26.52,16
4,14,25.94,16
4,15,25.95,16
4,16,25.64,16
4,17,25.6,16
4,18,25.39,16
4,19,25.43,16
4,20,25.36,16
4,21,25.51,16
4,22,25.18,16
4,23,25.79,16
4,24,25.43,16
4,25,25.18,16
4,26,25.72,16
4,27,25.24,16
4,28,24.74,16
4,29,23.77,16
4,30,23.81,16
5,1,24.34,16
5,2,24.66,16
5,3,24.67,16
5,4,25.2,16
5,5,25.15,16
5,6,24.63,16
5,7,24.13,16
5,8,23.91,16
5,9,24.2,16
5,10,23.93,16
5,11,23.97,16
5,12,24.32,16
5,13,23.66,16
5,14,23.49,16
5,15,23.21,16
5,16,23.87,16
5,17,22.86,16
5,18,22.59,16
5,19,22.57,16
5,20,22.75,16
5,21,23.1,16
5,22,23.61,16
5,23,23.56,16
5,24,23.02,16
5,25,22.97,16
5,26,23.32,16
5,27,23.0,16
5,28,23.73,16
5,29,23.41,16
5,30,23.2,16
5,31,22.5,16
6,1,23.14,16
6,2,23.22,16
6,3,22.77,16
6,4,22.45,16
6,5,22.94,16
6,6,23.3,16
6,7,23.24,16
6,8,22.97,16
6,9,22.47,16
6,10,22.7,16
6,11,22.91,16
6,12,22.36,16
6,13,22.52,16
6,14,22.38,16
6,15,21.98,16
6,16,22.34,16
6,17,22.86,16
6,18,23.18,16
6,19,22.78,16
6,20,23.02,16
6,21,22.89,16
6,22,23.22,16
6,23,23.0,16
6,24,22.89,16
6,25,22.49,16
6,26,23.28,16
6,27,22.49,16
6,28,22.82,16
6,29,23.44,16
6,30,22.77,16
7,1,22.93,16
7,2,22.03,16
7,3,22.87,16
7,4,22.09,16
7,5,21.93,16
7,6,22.23,16
7,7,22.13,16
7,8,22.22,16
7,9,21.41,16
7,10,21.83,16
7,11,22.59,16
7,12,23.41,16
7,13,23.26,16
7,14,22.74,16
7,15,22.74,16
7,16,22.69,16
7,17,22.44,16
7,18,22.16,16
7,19,21.52,16
7,20,21.8,16
7,21,22.58,16
7,22,22.5,16
7,23,22.27,16
7,24,22.5,16
7,25,22.54,16
7,26,22.66,16
7,27,23.35,16
7,28,22.9,16
7,29,22.06,16
7,30,21.42,16
7,31,21.74,16
8,1,22.71,16
8,2,23.35,16
8,3,22.96,16
8,4,22.69,16
8,5,22.22,16
8,6,22.27,16
8,7,23.07,16
8,8,23.64,16
8,9,23.25,16
8,10,22.32,16
8,11,21.89,16
8,12,22.2,16
8,13,22.9,16
8,14,21.84,16
