month,day,avg_daytime_temperature,years_sampled
1,1,9.6,16
1,2,9.88,16
1,3,10.58,16
1,4,10.02,16
1,5,10.31,16
1,6,10.28,16
1,7,9.91,16
1,8,10.36,16
1,9,10.14,16
1,10,10.0,16
1,11,9.22,16
1,12,8.91,16
1,13,9.1,16
1,14,9.57,16
1,15,9.35,16
1,16,9.25,16
1,17,9.66,16
1,18,9.41,16
1,19,9.6,16
1,20,9.73,16
1,21,9.69,16
1,22,9.14,16
1,23,9.58,16
1,24,9.6,16
1,25,9.3,16
1,26,9.1,16
1,27,9.17,16
1,28,9.71,16
1,29,9.51,16
1,30,9.92,16
1,31,10.38,16
2,1,10.84,16
2,2,10.9,16
2,3,10.74,16
2,4,10.82,16
2,5,10.45,16
2,6,10.3,16
2,7,10.13,16
2,8,10.06,16
2,9,10.21,16
2,10,10.36,16
2,11,10.3,16
2,12,10.08,16
2,13,9.94,16
2,14,10.05,16
2,15,10.25,16
2,16,10.66,16
2,17,11.69,16
2,18,12.12,16
2,19,11.62,16
2,20,10.98,16
2,21,10.87,16
2,22,11.45,16
2,23,11.42,16
2,24,11.51,16
2,25,11.81,16
2,26,10.59,16
2,27,10.62,16
2,28,11.38,16
2,29,12.16,4
3,1,11.8,16
3,2,12.21,16
3,3,11.94,16
3,4,11.65,16
3,5,10.95,16
3,6,11.52,16
3,7,11.44,16
3,8,11.51,16
3,9,12.1,16
3,10,12.63,16
3,11,12.53,16
3,12,12.49,16
3,13,12.92,16
3,14,13.13,16
3,15,13.12,16
3,16,12.93,16
3,17,13.04,16
3,18,13.52,16
3,19,13.27,16
3,20,13.33,16
3,21,13.92,16
3,22,14.11,16
3,23,13.98,16
3,24,14.27,16
3,25,13.85,16
3,26,14.2,16
3,27,13.73,16
3,28,14.23,16
3,29,14.79,16
3,30,15.44,16
3,31,15.49,16
4,1,15.03,16
4,2,14.54,16
4,3,14.92,16
4,4,14.83,16
4,5,14.33,16
4,6,15.03,16
4,7,15.01,16
4,8,15.11,16
4,9,14.93,16
4,10,15.11,16
4,11,15.32,16
4,12,15.92,16
4,13,16.3,16
4,14,15.98,16
4,15,16.13,16
4,16,16.48,16
4,17,16.33,16
4,18,15.92,16
4,19,16.02,16
4,20,16.22,16
4,21,16.78,16
4,22,16.65,16
4,23,16.69,16
4,24,17.25,16
4,25,17.45,16
4,26,17.41,16
4,27,17.52,16
4,28,17.93,16
4,29,18.53,16
4,30,18.34,16
5,1,17.68,16
5,2,17.92,16
5,3,18.44,16
5,4,18.21,16
5,5,18.29,16
5,6,18.13,16
5,7,17.87,16
5,8,17.86,16
5,9,18.72,16
5,10,19.75,16
5,11,19.79,16
5,12,19.59,16
5,13,19.19,16
5,14,18.6,16
5,15,17.92,16
5,16,18.45,16
5,17,19.31,16
5,18,19.85,16
5,19,19.62,16
5,20,19.55,16
5,21,19.78,16
5,22,20.12,16
5,23,19.91,16
5,24,20.9,16
5,25,20.97,16
5,26,21.1,16
5,27,21.55,16
5,28,21.41,16
5,29,21.44,16
5,30,20.98,16
5,31,21.22,16
6,1,21.46,16
6,2,21.82,16
6,3,22.71,16
6,4,22.94,16
6,5,22.76,16
6,6,23.54,16
6,7,24.18,16
6,8,24.18,16
6,9,23.95,16
6,10,24.12,16
6,11,24.35,16
6,12,24.75,16
6,13,24.56,16
6,14,24.47,16
6,15,24.61,16
6,16,25.08,16
6,17,24.87,16
6,18,25.32,16
6,19,25.57,16
6,20,25.93,16
6,21,26.11,16
6,22,26.53,16
6,23,26.45,16
6,24,26.33,16
6,25,26.31,16
6,26,26.52,16
6,27,27.39,16
6,28,27.8,16
6,29,27.52,16
6,30,27.29,16
7,1,27.14,16
7,2,27.52,16
7,3,27.5,16
7,4,27.57,16
7,5,27.74,16
7,6,28.15,16
7,7,28.36,16
7,8,27.97,16
7,9,28.19,16
7,10,27.84,16
7,11,28.02,16
7,12,28.33,16
7,13,27.85,16
7,14,27.38,16
7,15,27.58,16
7,16,27.86,16
7,17,28.22,16
7,18,28.59,16
7,19,28.7,16
7,20,28.52,16
7,21,28.77,16
7,22,28.71,16
7,23,28.63,16
7,24,28.3,16
7,25,28.36,16
7,26,27.91,16
7,27,27.83,16
7,28,27.57,16
7,29,28.45,16
7,30,28.48,16
7,31,29.08,16
8,1,29.23,16
8,2,29.42,16
8,3,29.12,16
8,4,29.15,16
8,5,28.68,16
