time,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,temperature_2m_mean,temperature_2m_min,temperature_2m_max,sunshine_hours,calendar_month
2010-01-01,0.0,65,30430.65,13.0,9.1,18.0,8.452958333333333,1
2010-01-02,0.0,71,32946.7,14.0,9.0,20.2,9.15186111111111,1
2010-01-03,0.0,67,32985.49,14.1,10.2,20.8,9.16263611111111,1
2010-01-04,0.0,66,32486.21,13.5,9.3,20.2,9.023947222222223,1
2010-01-05,0.0,72,33071.36,13.1,7.3,20.3,9.186488888888888,1
2010-01-06,0.0,73,33118.96,13.6,8.6,18.8,9.19971111111111,1
2010-01-07,0.0,76,33169.99,13.8,9.2,18.4,9.21388611111111,1
2010-01-08,0.0,66,32523.22,14.6,8.5,22.0,9.034227777777778,1
2010-01-09,0.0,58,32429.29,15.5,11.4,21.9,9.008136111111112,1
2010-01-10,0.0,65,33342.21,15.2,9.7,20.2,9.261725,1
2010-01-11,0.0,65,33405.57,14.8,8.9,21.2,9.279325,1
2010-01-12,0.0,73,33471.68,14.0,9.4,18.8,9.297688888888889,1
2010-01-13,0.0,88,13525.74,13.2,10.7,15.8,3.7571499999999998,1
2010-01-14,0.0,75,33611.69,13.1,7.7,17.8,9.336580555555557,1
2010-01-15,0.0,57,31280.34,14.2,8.4,20.6,8.688983333333333,1
2010-01-16,0.0,74,33761.23,13.8,10.0,17.9,9.378119444444446,1
2010-01-17,1.0,78,24189.67,13.3,10.6,16.3,6.719352777777777,1
2010-01-18,24.8,88,10804.31,14.5,12.0,15.8,3.0011972222222223,1
2010-01-19,17.4,88,18403.87,13.2,10.7,16.4,5.112186111111111,1
2010-01-20,22.5,82,19427.61,13.1,10.6,15.3,5.396558333333333,1
2010-01-21,26.9,87,9890.32,13.1,11.5,14.7,2.747311111111111,1
2010-01-22,43.9,80,18569.59,10.8,8.9,12.1,5.158219444444445,1
2010-01-23,1.7,76,34345.58,10.3,7.8,13.1,9.54043888888889,1
2010-01-24,0.0,79,34435.24,10.5,6.3,14.6,9.565344444444444,1
2010-01-25,0.0,81,32555.03,11.5,7.4,15.5,9.043063888888888,1
2010-01-26,0.0,86,28027.5,11.8,8.6,14.9,7.785416666666666,1
2010-01-27,0.0,83,34713.73,13.1,10.9,15.1,9.642702777777778,1
2010-01-28,0.0,85,34811.03,12.6,8.2,15.7,9.669730555555555,1
2010-01-29,0.0,87,34910.44,13.1,9.2,16.5,9.697344444444445,1
2010-01-30,0.0,88,35011.82,12.7,8.6,15.6,9.725505555555555,1
2010-01-31,0.0,88,35115.02,12.0,9.2,14.5,9.754172222222222,1
2010-02-01,0.0,86,32254.56,13.0,11.7,15.4,8.9596,2
2010-02-02,0.0,87,35091.12,13.1,12.2,15.2,9.747533333333335,2
2010-02-03,0.0,88,35434.14,12.7,10.4,15.3,9.842816666666666,2
2010-02-04,0.0,85,33274.07,12.8,10.1,15.8,9.242797222222222,2
2010-02-05,7.8,77,14675.26,13.1,11.9,15.3,4.0764611111111115,2
2010-02-06,21.5,86,25200.0,13.2,11.3,14.8,7.0,2
2010-02-07,1.7,73,35768.93,12.5,11.4,14.2,9.93581388888889,2
2010-02-08,0.0,77,35822.68,12.0,9.3,14.5,9.950744444444444,2
2010-02-09,10.9,83,28677.45,11.4,9.2,14.2,7.965958333333334,2
2010-02-10,0.0,77,35937.56,10.0,7.4,13.1,9.982655555555555,2
2010-02-11,0.0,82,35989.79,11.2,7.2,14.9,9.997163888888888,2
2010-02-12,0.0,86,36037.61,12.2,8.8,15.1,10.010447222222222,2
2010-02-13,0.0,84,36082.07,13.7,9.2,19.3,10.022797222222222,2
2010-02-14,0.0,78,36134.42,14.4,7.6,20.9,10.037338888888888,2
2010-02-15,0.0,78,36140.98,15.4,10.0,21.2,10.039161111111111,2
2010-02-16,0.0,82,36207.8,14.8,9.4,20.4,10.057722222222223,2
