month,day,avg_daytime_temperature,years_sampled
1,1,13.78,16
1,2,14.16,16
1,3,14.24,16
1,4,14.72,16
1,5,15.36,16
1,6,15.43,16
1,7,14.81,16
1,8,15.21,16
1,9,14.73,16
1,10,15.03,16
1,11,14.78,16
1,12,14.88,16
1,13,15.2,16
1,14,15.39,16
1,15,16.06,16
1,16,15.67,16
1,17,15.8,16
1,18,15.53,16
1,19,15.24,16
1,20,15.49,16
1,21,15.17,16
1,22,14.92,16
1,23,15.39,16
1,24,15.11,16
1,25,14.98,16
1,26,15.27,16
1,27,15.31,16
1,28,15.91,16
1,29,16.1,16
1,30,15.1,16
1,31,14.94,16
2,1,15.03,16
2,2,14.98,16
2,3,15.03,16
2,4,14.82,16
2,5,14.87,16
2,6,15.13,16
2,7,15.84,16
2,8,15.56,16
2,9,16.07,16
2,10,15.39,16
2,11,15.51,16
2,12,15.97,16
2,13,16.28,16
2,14,16.14,16
2,15,16.36,16
2,16,16.53,16
2,17,15.44,16
2,18,14.8,16
2,19,14.31,16
2,20,14.7,16
2,21,15.22,16
2,22,15.05,16
2,23,15.06,16
2,24,15.2,16
2,25,15.47,16
2,26,15.33,16
2,27,15.51,16
2,28,15.82,16
2,29,15.73,4
3,1,15.62,16
3,2,15.69,16
3,3,15.53,16
3,4,15.26,16
3,5,15.85,16
3,6,15.14,16
3,7,14.94,16
3,8,15.58,16
3,9,16.61,16
3,10,16.33,16
3,11,15.71,16
3,12,15.89,16
3,13,15.95,16
3,14,16.27,16
3,15,16.66,16
3,16,16.89,16
3,17,16.33,16
3,18,15.73,16
3,19,15.91,16
3,20,15.94,16
3,21,15.99,16
3,22,15.82,16
3,23,16.02,16
3,24,16.05,16
3,25,15.82,16
3,26,15.64,16
3,27,16.54,16
3,28,16.9,16
3,29,16.4,16
3,30,16.15,16
3,31,16.77,16
4,1,16.53,16
4,2,16.16,16
4,3,16.36,16
4,4,16.48,16
4,5,16.3,16
4,6,16.89,16
4,7,18.04,16
4,8,17.8,16
4,9,17.33,16
4,10,17.22,16
4,11,16.91,16
4,12,16.18,16
4,13,16.16,16
4,14,16.59,16
4,15,17.1,16
4,16,17.41,16
4,17,17.88,16
4,18,18.41,16
4,19,18.22,16
4,20,17.87,16
4,21,17.78,16
4,22,17.18,16
4,23,17.09,16
4,24,17.71,16
4,25,17.68,16
4,26,17.2,16
4,27,17.49,16
4,28,17.92,16
4,29,18.85,16
4,30,18.8,16
5,1,18.73,16
5,2,18.77,16
5,3,18.95,16
5,4,18.16,16
5,5,17.79,16
5,6,17.31,16
5,7,17.11,16
5,8,17.22,16
5,9,17.35,16
5,10,17.73,16
5,11,17.8,16
5,12,18.64,16
5,13,19.02,16
5,14,18.64,16
5,15,17.97,16
5,16,17.91,16
5,17,17.37,16
5,18,17.67,16
5,19,17.9,16
5,20,18.31,16
5,21,18.19,16
5,22,17.64,16
5,23,17.44,16
5,24,17.56,16
5,25,17.66,16
5,26,17.83,16
5,27,18.11,16
5,28,18.01,16
5,29,18.04,16
5,30,18.58,16
5,31,18.52,16
6,1,18.71,16
6,2,18.79,16
6,3,19.04,16
6,4,18.68,16
6,5,18.66,16
6,6,18.71,16
6,7,18.65,16
6,8,19.22,16
6,9,19.69,16
6,10,19.39,16
6,11,19.23,16
6,12,18.97,16
6,13,19.13,16
6,14,19.47,16
6,15,19.71,16
6,16,19.51,16
6,17,20.0,16
6,18,19.93,16
6,19,20.34,16
6,20,20.56,16
6,21,20.08,16
6,22,20.39,16
6,23,20.16,16
6,24,20.17,16
6,25,20.34,16
6,26,20.54,16
6,27,20.75,16
6,28,20.54,16
6,29,20.62,16
6,30,20.97,16
7,1,20.84,16
7,2,20.64,16
7,3,20.63,16
7,4,20.76,16
7,5,21.22,16
7,6,21.55,16
7,7,21.5,16
7,8,21.52,16
7,9,21.78,16
7,10,21.91,16
7,11,21.74,16
7,12,21.97,16
7,13,22.04,16
7,14,21.87,16
7,15,21.66,16
7,16,21.67,16
7,17,21.95,16
7,18,22.26,16
7,19,22.48,16
7,20,22.31,16
7,21,21.96,16
7,22,22.06,16
7,23,22.38,16
7,24,22.62,16
7,25,22.46,16
7,26,22.47,16
7,27,22.09,16
7,28,22.21,16
7,29,22.19,16
7,30,22.38,16
7,31,22.63,16
8,1,22.82,16
8,2,23.07,16
8,3,22.65,16
8,4,22.58,16
8,5,22.54,16
8,6,22.41,16
8,7,22.53,16
8,8,22.52,16
8,9,22.47,16
8,10,22.61,16
8,11,22.74,16
8,12,22.77,16
8,13,23.17,16
8,14,23.32,16
8,15,23.5,16
8,16,23.71,16
8,17,23.71,16
8,18,23.5,16
8,19,22.96,16
8,20,23.16,16
8,21,22.93,16
8,22,23.08,16
8,23,23.11,16
8,24,22.98,16
8,25,23.39,16
8,26,23.66,16
8,27,23.97,16
8,28,23.74,16
8,29,23.97,16
8,30,23.76,16
8,31,23.67,16
9,1,23.33,16
9,2,23.48,16
9,3,23.63,16
9,4,23.89,16
9,5,23.99,16
9,6,24.51,16
9,7,24.58,16
9,8,24.73,16
9,9,23.93,16
9,10,23.56,16
9,11,23.35,16
9,12,23.14,16
9,13,22.89,16
9,14,23.25,16
9,15,23.21,16
9,16,22.75,16
9,17,22.26,16
9,18,22.08,16
9,19,21.95,16
9,20,21.96,16
9,21,21.92,16
9,22,22.0,16
9,23,22.46,16
9,24,22.7,16
9,25,22.47,16
9,26,22.49,16
9,27,22.51,16
9,28,22.44,16
9,29,22.44,16
9,30,22.95,16
10,1,22.83,16
10,2,22.54,16
10,3,22.16,16
10,4,21.43,16
10,5,21.44,16
10,6,21.67,16
10,7,22.03,16
10,8,21.29,16
10,9,21.35,16
10,10,21.47,16
10,11,20.88,16
10,12,21.05,16
10,13,20.7,16
10,14,20.51,16
10,15,21.33,16
10,16,21.51,16
10,17,21.37,16
10,18,20.94,16
10,19,21.05,16
10,20,20.98,16
10,21,20.67,16
10,22,20.48,16
10,23,20.55,16
10,24,21.4,16
10,25,20.72,16
10,26,20.65,16
10,27,20.87,16
10,28,20.67,16
10,29,20.82,16
10,30,20.4,16
10,31,19.97,16
11,1,20.02,16
11,2,20.25,16
11,3,19.58,16
11,4,19.97,16
11,5,20.35,16
11,6,19.49,16
11,7,19.14,16
11,8,18.99,16
11,9,19.43,16
11,10,18.83,16
11,11,19.07,16
11,12,19.34,16
11,13,19.6,16
11,14,19.4,16
11,15,18.4,16
11,16,17.93,16
11,17,18.21,16
11,18,17.87,16
11,19,17.39,16
11,20,17.23,16
11,21,17.86,16
11,22,18.07,16
11,23,17.42,16
11,24,17.74,16
11,25,17.48,16
11,26,17.3,16
11,27,17.29,16
11,28,16.54,16
11,29,16.32,16
11,30,16.38,16
12,1,16.58,16
12,2,16.71,16
12,3,16.35,16
12,4,16.0,16
12,5,16.06,16
12,6,16.07,16
12,7,16.38,16
12,8,16.51,16
12,9,16.52,16
12,10,16.51,16
12,11,16.11,16
12,12,15.44,16
12,13,15.35,16
12,14,15.0,16
12,15,15.03,16
12,16,15.33,16
12,17,15.04,16
12,18,15.23,16
12,19,14.68,16
12,20,15.11,16
12,21,15.04,16
12,22,15.02,16
12,23,15.28,16
12,24,15.36,16
12,25,15.03,16
12,26,14.58,16
12,27,14.05,16
12,28,14.22,16
12,29,14.13,16
12,30,14.31,16
12,31,13.91,16
