time,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,temperature_2m_mean,temperature_2m_min,temperature_2m_max,sunshine_hours,calendar_month
2010-01-01,3.6,89,908.97,12.0,10.5,13.8,0.25249166666666667,1
2010-01-02,0.2,93,17965.15,12.2,8.8,14.6,4.990319444444445,1
2010-01-03,0.0,91,28079.76,8.8,5.7,13.3,7.799933333333333,1
2010-01-04,0.0,88,30884.26,8.7,4.1,14.2,8.578961111111111,1
2010-01-05,0.0,86,27678.88,8.7,4.7,14.4,7.688577777777778,1
2010-01-06,0.0,86,29470.0,10.0,6.4,14.0,8.186111111111112,1
2010-01-07,0.1,96,18655.14,9.1,5.8,13.0,5.181983333333333,1
2010-01-08,1.7,93,22713.79,9.6,7.2,14.1,6.309386111111111,1
2010-01-09,0.0,95,6412.8,8.6,6.3,11.7,1.7813333333333334,1
2010-01-10,0.0,94,22403.18,8.7,5.5,13.6,6.223105555555556,1
2010-01-11,0.0,92,21436.23,9.8,6.7,14.4,5.954508333333333,1
2010-01-12,19.3,91,18728.06,12.9,10.7,14.8,5.202238888888889,1
2010-01-13,8.5,89,31420.32,12.2,8.5,14.3,8.727866666666667,1
2010-01-14,0.0,92,29915.08,9.5,5.1,13.5,8.309744444444444,1
2010-01-15,0.0,87,15028.98,9.2,5.5,13.3,4.174716666666667,1
2010-01-16,1.8,86,21155.8,10.1,5.1,14.4,5.876611111111111,1
2010-01-17,15.5,90,9712.7,11.5,10.4,12.6,2.6979722222222224,1
2010-01-18,35.7,85,17359.91,11.7,10.6,12.5,4.822197222222222,1
2010-01-19,32.7,85,26465.87,11.2,10.0,13.1,7.3516305555555554,1
2010-01-20,42.0,83,26533.17,10.4,9.4,12.0,7.370324999999999,1
2010-01-21,33.0,86,0.0,8.1,6.2,9.8,0.0,1
2010-01-22,4.7,83,27015.23,7.7,5.6,10.0,7.504230555555555,1
2010-01-23,2.7,86,32109.23,8.5,5.7,11.9,8.919230555555556,1
2010-01-24,15.7,86,1582.46,8.5,5.8,11.3,0.43957222222222225,1
2010-01-25,43.4,85,0.0,10.9,9.9,12.0,0.0,1
2010-01-26,1.5,91,5288.5,10.8,8.4,11.7,1.4690277777777778,1
2010-01-27,0.0,93,32032.8,9.3,6.1,13.1,8.898,1
2010-01-28,0.0,91,27159.25,9.0,6.3,13.2,7.544236111111111,1
2010-01-29,6.1,90,21677.26,9.4,6.4,13.3,6.021461111111111,1
2010-01-30,0.0,92,32407.1,9.2,5.9,12.8,9.001972222222221,1
2010-01-31,0.3,93,18110.84,8.4,6.0,12.0,5.030788888888889,1
2010-02-01,1.5,88,15399.68,10.2,6.4,13.7,4.277688888888889,2
2010-02-02,0.4,91,23061.44,9.3,5.3,13.5,6.405955555555555,2
2010-02-03,0.3,90,32469.77,10.9,7.8,14.3,9.019380555555555,2
2010-02-04,24.7,86,5096.88,11.2,7.9,14.1,1.4158,2
2010-02-05,0.3,88,31051.03,11.6,7.6,15.4,8.62528611111111,2
2010-02-06,9.3,84,28372.09,11.2,9.6,13.2,7.881136111111111,2
2010-02-07,0.0,79,34336.64,10.2,7.8,13.2,9.537955555555556,2
2010-02-08,0.0,85,27521.89,9.2,6.4,11.9,7.6449694444444445,2
