month,day,avg_daytime_temperature,years_sampled
1,1,10.61,16
1,2,10.64,16
1,3,10.66,16
1,4,11.54,16
1,5,11.36,16
1,6,10.88,16
1,7,11.4,16
1,8,11.7,16
1,9,11.68,16
1,10,11.24,16
1,11,11.45,16
1,12,11.73,16
1,13,12.15,16
1,14,11.58,16
1,15,11.54,16
1,16,11.73,16
1,17,11.97,16
1,18,12.16,16
1,19,11.88,16
1,20,12.15,16
1,21,11.81,16
1,22,12.2,16
1,23,12.28,16
1,24,12.08,16
1,25,12.23,16
1,26,12.25,16
1,27,12.25,16
1,28,12.23,16
1,29,12.18,16
1,30,11.84,16
1,31,12.02,16
2,1,12.39,16
2,2,12.29,16
2,3,12.12,16
2,4,12.33,16
2,5,12.02,16
2,6,12.87,16
2,7,12.91,16
2,8,12.62,16
2,9,12.94,16
2,10,12.66,16
2,11,12.65,16
2,12,12.71,16
2,13,12.92,16
2,14,12.58,16
2,15,12.86,16
2,16,12.75,16
2,17,12.34,16
2,18,11.81,16
2,19,11.33,16
2,20,11.86,16
2,21,11.81,16
2,22,11.7,16
2,23,11.82,16
2,24,12.36,16
2,25,11.83,16
2,26,12.17,16
2,27,12.53,16
2,28,12.33,16
2,29,12.69,4
3,1,12.13,16
3,2,12.45,16
3,3,12.04,16
3,4,12.38,16
3,5,12.2,16
3,6,12.16,16
3,7,12.19,16
3,8,12.17,16
3,9,12.74,16
3,10,12.95,16
3,11,12.92,16
3,12,13.27,16
3,13,13.53,16
3,14,13.4,16
3,15,13.6,16
3,16,13.31,16
3,17,13.19,16
3,18,13.12,16
3,19,13.42,16
3,20,13.08,16
3,21,13.44,16
3,22,13.49,16
3,23,13.22,16
3,24,12.95,16
3,25,13.07,16
3,26,13.29,16
3,27,13.4,16
3,28,13.79,16
3,29,13.52,16
3,30,13.97,16
3,31,13.88,16
4,1,13.53,16
4,2,13.1,16
4,3,12.81,16
4,4,12.76,16
4,5,12.91,16
4,6,13.92,16
4,7,14.14,16
4,8,13.65,16
4,9,14.32,16
4,10,14.05,16
4,11,13.6,16
4,12,13.09,16
4,13,12.92,16
4,14,13.17,16
