month,day,avg_daytime_temperature,years_sampled
1,1,21.9,16
1,2,21.7,16
1,3,21.69,16
1,4,21.77,16
1,5,21.42,16
1,6,21.52,16
1,7,21.5,16
1,8,21.54,16
1,9,21.92,16
1,10,21.57,16
1,11,21.86,16
1,12,22.04,16
1,13,21.73,16
1,14,21.55,16
1,15,21.74,16
1,16,21.98,16
1,17,21.87,16
1,18,21.99,16
1,19,21.99,16
1,20,22.13,16
1,21,22.2,16
1,22,22.21,16
1,23,22.11,16
1,24,22.08,16
1,25,22.33,16
1,26,22.4,16
1,27,22.38,16
1,28,22.31,16
1,29,22.31,16
1,30,22.47,16
1,31,22.49,16
2,1,22.48,16
2,2,22.55,16
2,3,22.27,16
2,4,22.71,16
2,5,22.76,16
2,6,22.84,16
2,7,22.72,16
2,8,22.41,16
2,9,22.52,16
2,10,22.52,16
2,11,22.85,16
2,12,22.99,16
2,13,22.73,16
2,14,22.39,16
2,15,22.89,16
2,16,23.01,16
2,17,22.99,16
2,18,22.79,16
2,19,22.67,16
2,20,22.55,16
2,21,22.94,16
2,22,22.98,16
2,23,22.97,16
2,24,23.09,16
2,25,22.94,16
2,26,22.88,16
2,27,23.06,16
2,28,22.76,16
2,29,23.41,4
3,1,23.09,16
3,2,23.03,16
3,3,22.81,16
3,4,23.02,16
3,5,23.15,16
3,6,23.28,16
3,7,23.05,16
3,8,23.02,16
3,9,23.69,16
3,10,23.65,16
3,11,23.63,16
3,12,23.44,16
3,13,23.25,16
3,14,23.37,16
3,15,23.42,16
3,16,23.44,16
3,17,23.48,16
3,18,23.79,16
3,19,23.56,16
3,20,23.5,16
3,21,23.16,16
3,22,23.23,16
3,23,23.43,16
3,24,23.53,16
3,25,23.87,16
3,26,24.0,16
3,27,23.83,16
3,28,23.82,16
3,29,23.79,16
3,30,23.95,16
3,31,24.0,16
4,1,24.18,16
4,2,24.17,16
4,3,24.04,16
4,4,24.04,16
4,5,23.86,16
4,6,23.57,16
4,7,23.62,16
4,8,23.68,16
4,9,23.63,16
4,10,23.42,16
4,11,23.46,16
4,12,23.69,16
4,13,23.47,16
4,14,23.55,16
4,15,23.83,16
4,16,23.55,16
4,17,23.27,16
4,18,23.42,16
4,19,23.49,16
4,20,23.48,16
4,21,23.31,16
4,22,23.36,16
4,23,23.34,16
4,24,23.36,16
4,25,23.48,16
4,26,23.29,16
4,27,22.95,16
4,28,23.17,16
4,29,22.9,16
4,30,23.1,16
5,1,22.96,16
5,2,22.82,16
5,3,23.12,16
5,4,22.98,16
5,5,23.12,16
5,6,22.96,16
5,7,22.67,16
5,8,22.82,16
5,9,23.09,16
5,10,23.01,16
5,11,22.87,16
5,12,22.75,16
5,13,22.7,16
5,14,22.6,16
5,15,22.39,16
5,16,22.09,16
5,17,22.56,16
5,18,22.62,16
5,19,22.46,16
5,20,22.15,16
5,21,22.21,16
5,22,22.34,16
5,23,22.43,16
5,24,22.04,16
5,25,22.26,16
5,26,22.02,16
5,27,22.39,16
5,28,22.0,16
5,29,21.94,16
5,30,21.86,16
5,31,22.04,16
6,1,22.13,16
6,2,22.18,16
6,3,22.27,16
6,4,22.11,16
6,5,22.0,16
6,6,21.9,16
6,7,22.05,16
6,8,22.12,16
6,9,21.97,16
6,10,21.7,16
6,11,21.81,16
6,12,21.73,16
6,13,21.59,16
6,14,21.74,16
6,15,21.5,16
6,16,21.63,16
6,17,22.05,16
6,18,22.25,16
6,19,22.33,16
6,20,22.03,16
6,21,21.95,16
6,22,21.98,16
6,23,22.12,16
6,24,22.14,16
6,25,21.88,16
6,26,21.21,16
6,27,21.31,16
6,28,21.82,16
6,29,22.0,16
6,30,22.36,16
7,1,21.61,16
7,2,21.58,16
7,3,21.69,16
