month,day,avg_daytime_temperature,years_sampled
1,1,24.17,16
1,2,24.32,16
1,3,24.58,16
1,4,24.52,16
1,5,23.82,16
1,6,23.85,16
1,7,23.86,16
1,8,23.63,16
1,9,23.63,16
1,10,24.46,16
1,11,24.84,16
1,12,24.5,16
1,13,24.26,16
1,14,24.43,16
1,15,24.76,16
1,16,24.17,16
1,17,24.63,16
1,18,25.05,16
1,19,24.66,16
1,20,24.64,16
1,21,24.55,16
1,22,24.57,16
1,23,24.19,16
1,24,24.89,16
1,25,25.11,16
1,26,24.83,16
1,27,25.36,16
1,28,25.73,16
1,29,25.18,16
1,30,25.14,16
1,31,25.96,16
2,1,25.69,16
2,2,25.43,16
2,3,25.12,16
2,4,25.09,16
2,5,25.03,16
2,6,24.98,16
2,7,24.84,16
2,8,25.15,16
2,9,25.21,16
2,10,24.92,16
2,11,24.65,16
2,12,25.32,16
2,13,25.23,16
2,14,25.38,16
2,15,24.48,16
2,16,23.72,16
2,17,24.16,16
2,18,24.43,16
2,19,24.3,16
2,20,24.63,16
2,21,24.69,16
2,22,24.12,16
2,23,24.42,16
2,24,23.81,16
2,25,23.79,16
2,26,24.62,16
2,27,24.77,16
2,28,24.15,16
2,29,25.2,4
3,1,24.05,16
3,2,24.0,16
3,3,24.02,16
3,4,24.57,16
3,5,24.79,16
3,6,23.74,16
3,7,23.76,16
3,8,23.85,16
3,9,24.19,16
3,10,23.87,16
3,11,23.46,16
3,12,23.24,16
3,13,23.32,16
3,14,22.68,16
3,15,22.91,16
3,16,22.6,16
3,17,22.42,16
3,18,23.08,16
3,19,22.48,16
3,20,22.52,16
3,21,22.58,16
3,22,23.25,16
3,23,22.6,16
3,24,22.55,16
3,25,22.52,16
3,26,21.9,16
3,27,22.24,16
3,28,22.37,16
3,29,22.32,16
3,30,21.71,16
3,31,21.36,16
4,1,20.93,16
4,2,21.32,16
4,3,20.79,16
4,4,20.93,16
4,5,21.2,16
4,6,20.96,16
4,7,21.13,16
4,8,20.91,16
4,9,19.75,16
4,10,19.85,16
4,11,20.1,16
4,12,19.19,16
4,13,19.37,16
4,14,19.68,16
4,15,19.56,16
4,16,19.0,16
4,17,19.8,16
4,18,19.73,16
4,19,19.53,16
4,20,18.98,16
4,21,19.0,16
4,22,18.52,16
4,23,18.27,16
4,24,17.54,16
4,25,17.64,16
4,26,16.92,16
4,27,17.13,16
4,28,17.77,16
4,29,18.12,16
4,30,17.5,16
5,1,16.66,16
5,2,16.36,16
5,3,17.94,16
5,4,18.47,16
5,5,17.34,16
5,6,17.4,16
5,7,16.76,16
5,8,16.4,16
5,9,16.84,16
5,10,16.58,16
5,11,16.99,16
5,12,16.69,16
5,13,16.95,16
5,14,16.25,16
5,15,15.9,16
5,16,15.65,16
5,17,15.39,16
5,18,14.66,16
5,19,15.18,16
5,20,14.38,16
5,21,13.64,16
5,22,13.7,16
5,23,14.33,16
5,24,15.34,16
5,25,14.75,16
5,26,14.02,16
5,27,14.37,16
5,28,14.11,16
5,29,13.39,16
5,30,13.88,16
5,31,13.67,16
6,1,13.77,16
6,2,13.7,16
6,3,13.04,16
6,4,12.76,16
6,5,12.99,16
6,6,12.59,16
6,7,13.19,16
6,8,12.86,16
6,9,12.87,16
6,10,13.67,16
6,11,12.49,16
6,12,11.89,16
6,13,11.54,16
6,14,12.4,16
6,15,12.22,16
6,16,12.07,16
6,17,11.87,16
6,18,11.26,16
6,19,12.25,16
6,20,11.22,16
6,21,11.04,16
6,22,11.37,16
6,23,11.0,16
6,24,10.89,16
6,25,10.78,16
6,26,10.81,16
6,27,11.05,16
6,28,11.6,16
6,29,11.68,16
6,30,11.86,16
7,1,11.94,16
7,2,11.14,16
7,3,11.27,16
7,4,10.39,16
7,5,10.2,16
7,6,10.04,16
7,7,11.59,16
7,8,11.99,16
7,9,11.58,16
7,10,11.26,16
