month,day,avg_accumulated_precipitation,years_sampled
1,1,0.0,16
1,2,0.21,16
1,3,0.26,16
1,4,0.3,16
1,5,0.32,16
1,6,0.59,16
1,7,0.66,16
1,8,0.72,16
1,9,0.72,16
1,10,0.73,16
1,11,0.73,16
1,12,0.73,16
1,13,0.73,16
1,14,0.82,16
1,15,0.83,16
1,16,0.83,16
1,17,0.83,16
1,18,0.83,16
1,19,0.83,16
1,20,0.85,16
1,21,0.87,16
1,22,0.91,16
1,23,0.94,16
1,24,1.58,16
1,25,1.58,16
1,26,1.59,16
1,27,1.86,16
1,28,1.95,16
1,29,2.31,16
1,30,5.44,16
1,31,6.51,16
2,1,6.9,16
2,2,6.96,16
2,3,6.97,16
2,4,7.19,16
2,5,7.2,16
2,6,7.26,16
2,7,7.29,16
2,8,7.39,16
2,9,7.77,16
2,10,7.84,16
2,11,7.96,16
2,12,7.97,16
2,13,7.97,16
2,14,7.97,16
2,15,8.44,16
2,16,8.44,16
2,17,8.52,16
2,18,8.52,16
2,19,8.64,16
2,20,8.93,16
2,21,8.93,16
2,22,9.45,16
2,23,9.83,16
2,24,9.94,16
2,25,10.11,16
2,26,10.62,16
2,27,10.81,16
2,28,10.93,16
2,29,10.93,4
3,1,10.99,16
3,2,11.06,16
3,3,11.15,16
3,4,11.15,16
3,5,11.17,16
3,6,11.17,16
3,7,11.17,16
3,8,11.17,16
3,9,11.22,16
3,10,11.26,16
3,11,11.27,16
3,12,11.33,16
3,13,11.33,16
3,14,11.33,16
3,15,11.53,16
3,16,11.54,16
3,17,11.64,16
3,18,11.79,16
3,19,12.14,16
3,20,12.16,16
3,21,12.38,16
3,22,12.38,16
3,23,12.38,16
3,24,12.41,16
3,25,12.51,16
3,26,12.74,16
3,27,12.74,16
3,28,12.74,16
3,29,12.99,16
3,30,13.61,16
3,31,13.92,16
4,1,14.07,16
4,2,14.09,16
4,3,14.12,16
4,4,14.13,16
4,5,14.21,16
4,6,14.22,16
4,7,14.69,16
4,8,14.92,16
4,9,14.93,16
4,10,15.09,16
4,11,15.12,16
4,12,15.73,16
4,13,16.03,16
4,14,16.78,16
4,15,19.06,16
4,16,22.2,16
4,17,27.01,16
4,18,27.86,16
4,19,27.89,16
4,20,28.49,16
4,21,28.52,16
4,22,29.25,16
4,23,30.83,16
4,24,32.41,16
4,25,32.45,16
4,26,35.18,16
4,27,36.07,16
4,28,36.2,16
4,29,37.68,16
