month,day,avg_accumulated_precipitation,years_sampled
1,1,6.11,16
1,2,16.02,16
1,3,24.41,16
1,4,34.86,16
1,5,40.53,16
1,6,45.49,16
1,7,52.74,16
1,8,60.92,16
1,9,67.94,16
1,10,74.63,16
1,11,84.68,16
1,12,94.92,16
1,13,103.33,16
1,14,109.34,16
1,15,117.34,16
1,16,127.32,16
1,17,136.15,16
1,18,142.41,16
1,19,149.53,16
1,20,155.18,16
1,21,161.23,16
1,22,165.56,16
1,23,173.05,16
1,24,180.74,16
1,25,186.24,16
1,26,193.64,16
1,27,199.99,16
1,28,204.01,16
1,29,213.58,16
1,30,221.21,16
1,31,226.19,16
2,1,232.61,16
2,2,240.17,16
2,3,244.59,16
2,4,251.26,16
2,5,255.83,16
2,6,262.16,16
2,7,265.64,16
2,8,267.05,16
2,9,268.99,16
2,10,276.13,16
2,11,281.62,16
2,12,286.66,16
2,13,290.78,16
2,14,295.87,16
2,15,303.73,16
2,16,312.05,16
2,17,318.31,16
2,18,324.63,16
2,19,330.76,16
2,20,336.35,16
2,21,340.98,16
2,22,344.52,16
2,23,349.91,16
2,24,353.81,16
2,25,362.62,16
2,26,367.58,16
2,27,371.5,16
2,28,380.47,16
2,29,382.3,4
3,1,388.82,16
3,2,394.22,16
3,3,399.84,16
3,4,404.41,16
3,5,409.06,16
3,6,417.67,16
3,7,423.27,16
3,8,428.74,16
3,9,432.92,16
3,10,438.37,16
3,11,442.63,16
3,12,447.56,16
3,13,453.0,16
3,14,457.87,16
3,15,462.05,16
3,16,466.82,16
3,17,471.39,16
3,18,475.04,16
3,19,480.17,16
3,20,482.69,16
3,21,488.65,16
3,22,491.73,16
3,23,494.59,16
3,24,496.64,16
3,25,498.57,16
3,26,501.12,16
3,27,504.99,16
3,28,508.87,16
3,29,514.34,16
3,30,517.26,16
3,31,520.44,16
4,1,522.22,16
4,2,524.96,16
4,3,527.7,16
4,4,529.64,16
4,5,532.16,16
4,6,536.9,16
4,7,540.15,16
4,8,543.14,16
4,9,545.47,16
4,10,547.13,16
4,11,547.74,16
4,12,549.34,16
4,13,552.77,16
4,14,555.41,16
4,15,557.31,16
4,16,558.82,16
4,17,562.29,16
4,18,566.04,16
4,19,567.81,16
4,20,568.54,16
4,21,571.16,16
4,22,572.52,16
4,23,573.27,16
4,24,575.36,16
4,25,577.52,16
4,26,579.86,16
4,27,582.78,16
4,28,584.99,16
4,29,588.37,16
4,30,590.2,16
5,1,590.77,16
5,2,591.24,16
5,3,591.25,16
5,4,592.55,16
5,5,593.74,16
5,6,595.42,16
5,7,596.31,16
5,8,597.8,16
5,9,598.18,16
5,10,600.67,16
5,11,601.22,16
5,12,602.74,16
5,13,603.48,16
5,14,604.79,16
5,15,606.3,16
5,16,608.0,16
5,17,608.96,16
5,18,611.87,16
5,19,614.97,16
5,20,615.13,16
5,21,617.01,16
5,22,619.56,16
5,23,621.74,16
5,24,622.74,16
5,25,623.54,16
5,26,624.46,16
5,27,627.16,16
5,28,628.39,16
5,29,628.99,16
5,30,630.51,16
5,31,634.64,16
6,1,636.01,16
6,2,637.39,16
6,3,639.31,16
6,4,639.98,16
6,5,644.07,16
6,6,647.58,16
6,7,653.22,16
6,8,655.17,16
6,9,656.67,16
6,10,658.18,16
6,11,658.67,16
6,12,659.1,16
6,13,660.71,16
6,14,662.23,16
6,15,664.04,16
6,16,664.28,16
6,17,664.7,16
6,18,665.96,16
6,19,666.99,16
6,20,670.21,16
6,21,672.95,16
6,22,674.67,16
6,23,675.75,16
6,24,677.21,16
6,25,677.54,16
6,26,679.99,16
6,27,682.84,16
6,28,682.91,16
6,29,683.19,16
6,30,683.65,16
7,1,685.6,16
7,2,685.88,16
7,3,687.32,16
7,4,692.37,16
7,5,694.09,16
7,6,694.19,16
7,7,694.91,16
7,8,696.77,16
