month,day,avg_daytime_temperature,years_sampled
1,1,4.26,16
1,2,4.68,16
1,3,5.23,16
1,4,5.54,16
1,5,6.16,16
1,6,6.21,16
1,7,5.94,16
1,8,5.96,16
1,9,5.92,16
1,10,5.66,16
1,11,5.32,16
1,12,5.94,16
1,13,5.57,16
1,14,5.3,16
1,15,5.58,16
1,16,5.78,16
1,17,6.14,16
1,18,6.23,16
1,19,5.98,16
1,20,6.09,16
1,21,6.12,16
1,22,6.17,16
1,23,6.2,16
1,24,6.36,16
1,25,6.79,16
1,26,6.71,16
1,27,6.94,16
1,28,7.32,16
1,29,7.09,16
1,30,6.43,16
1,31,6.86,16
2,1,6.25,16
2,2,6.0,16
2,3,5.97,16
2,4,6.01,16
2,5,6.29,16
2,6,6.02,16
2,7,6.46,16
2,8,5.97,16
2,9,6.35,16
2,10,5.91,16
2,11,6.07,16
2,12,6.57,16
2,13,6.33,16
2,14,6.76,16
2,15,6.47,16
2,16,7.21,16
2,17,7.25,16
2,18,6.56,16
2,19,6.6,16
2,20,6.65,16
2,21,6.28,16
2,22,6.11,16
2,23,5.41,16
2,24,5.32,16
2,25,5.91,16
2,26,5.83,16
2,27,6.37,16
2,28,7.07,16
2,29,5.74,4
3,1,7.16,16
3,2,7.22,16
3,3,7.34,16
3,4,6.92,16
3,5,7.64,16
3,6,6.59,16
3,7,6.71,16
3,8,7.24,16
3,9,7.51,16
3,10,7.54,16
3,11,8.03,16
3,12,8.37,16
3,13,8.22,16
3,14,8.22,16
3,15,8.71,16
3,16,8.55,16
3,17,8.29,16
3,18,8.89,16
3,19,9.58,16
3,20,9.44,16
3,21,8.87,16
3,22,8.98,16
3,23,8.84,16
3,24,9.58,16
3,25,9.39,16
3,26,9.41,16
3,27,9.96,16
3,28,9.49,16
3,29,9.66,16
3,30,9.97,16
3,31,9.58,16
4,1,9.48,16
4,2,9.45,16
4,3,9.02,16
4,4,8.84,16
4,5,9.31,16
4,6,9.78,16
4,7,10.58,16
4,8,10.38,16
4,9,10.3,16
4,10,10.03,16
4,11,9.45,16
4,12,9.46,16
4,13,9.65,16
4,14,10.04,16
4,15,10.29,16
4,16,11.04,16
4,17,11.65,16
4,18,12.07,16
4,19,12.15,16
4,20,12.14,16
4,21,11.53,16
4,22,11.35,16
4,23,12.08,16
4,24,11.59,16
4,25,11.8,16
4,26,12.08,16
4,27,11.04,16
4,28,11.17,16
4,29,12.11,16
4,30,11.87,16
5,1,12.56,16
5,2,12.94,16
5,3,12.85,16
5,4,12.34,16
5,5,12.31,16
5,6,13.45,16
5,7,13.5,16
5,8,13.49,16
5,9,14.49,16
5,10,14.99,16
5,11,14.9,16
5,12,14.79,16
5,13,15.2,16
5,14,15.56,16
5,15,15.35,16
5,16,14.49,16
5,17,14.28,16
5,18,14.17,16
5,19,14.26,16
5,20,14.31,16
5,21,13.36,16
5,22,14.29,16
5,23,14.2,16
5,24,14.05,16
5,25,14.41,16
5,26,15.07,16
5,27,15.32,16
5,28,15.12,16
5,29,14.63,16
5,30,14.48,16
5,31,15.71,16
6,1,16.04,16
6,2,16.16,16
6,3,15.56,16
6,4,15.95,16
6,5,16.75,16
6,6,17.17,16
6,7,17.2,16
6,8,16.9,16
6,9,15.75,16
6,10,15.88,16
6,11,16.31,16
6,12,16.29,16
6,13,15.44,16
6,14,15.11,16
6,15,15.64,16
6,16,16.36,16
6,17,16.64,16
6,18,16.24,16
6,19,16.71,16
6,20,16.75,16
6,21,17.61,16
6,22,17.73,16
6,23,17.83,16
6,24,18.05,16
6,25,19.06,16
6,26,19.12,16
6,27,19.09,16
6,28,19.7,16
6,29,19.28,16
6,30,19.45,16
7,1,19.6,16
7,2,19.07,16
7,3,18.22,16
7,4,19.25,16
7,5,19.88,16
7,6,21.03,16
7,7,20.17,16
7,8,20.88,16
7,9,20.86,16
7,10,19.8,16
7,11,20.05,16
7,12,20.28,16
7,13,20.39,16
7,14,20.78,16
7,15,20.78,16
7,16,21.12,16
7,17,20.43,16
7,18,20.14,16
7,19,20.61,16
7,20,20.19,16
7,21,20.47,16
7,22,19.49,16
7,23,19.73,16
7,24,20.57,16
7,25,20.96,16
7,26,21.24,16
7,27,21.02,16
7,28,21.37,16
7,29,21.73,16
7,30,21.99,16
7,31,21.82,16
8,1,21.66,16
8,2,21.3,16
8,3,21.46,16
8,4,22.43,16
8,5,22.11,16
8,6,20.49,16
8,7,20.66,16
8,8,20.28,16
8,9,20.67,16
8,10,21.15,16
8,11,21.96,16
8,12,22.52,16
8,13,22.13,16
8,14,21.88,16
8,15,22.04,16
8,16,22.47,16
8,17,22.14,16
8,18,21.53,16
8,19,21.43,16
8,20,20.85,16
8,21,20.25,16
8,22,20.05,16
8,23,20.02,16
8,24,20.28,16
8,25,21.21,16
8,26,20.95,16
8,27,20.47,16
8,28,20.2,16
8,29,19.63,16
8,30,18.78,16
8,31,18.52,16
9,1,19.12,16
9,2,19.24,16
9,3,19.43,16
9,4,19.14,16
9,5,19.52,16
9,6,19.75,16
9,7,19.76,16
9,8,19.51,16
9,9,18.96,16
9,10,19.3,16
9,11,18.99,16
9,12,18.61,16
9,13,18.19,16
9,14,18.24,16
9,15,17.67,16
9,16,17.78,16
9,17,16.56,16
9,18,16.88,16
9,19,16.83,16
9,20,17.05,16
9,21,16.9,16
9,22,16.6,16
9,23,16.26,16
9,24,16.7,16
9,25,16.27,16
9,26,16.08,16
9,27,16.27,16
9,28,16.29,16
9,29,15.46,16
9,30,15.48,16
10,1,15.15,16
10,2,14.62,16
10,3,14.45,16
10,4,14.56,16
10,5,14.7,16
10,6,15.18,16
10,7,15.0,16
10,8,14.88,16
10,9,14.0,16
10,10,13.29,16
10,11,12.94,16
10,12,12.6,16
10,13,13.6,16
10,14,13.15,16
10,15,13.06,16
10,16,13.96,16
10,17,12.95,16
10,18,13.04,16
10,19,13.31,16
10,20,12.73,16
10,21,11.93,16
10,22,11.71,16
10,23,11.6,16
10,24,11.21,16
10,25,11.02,16
10,26,10.25,16
10,27,10.88,16
10,28,11.22,16
10,29,11.03,16
10,30,10.9,16
10,31,10.41,16
11,1,10.69,16
11,2,10.73,16
11,3,10.0,16
11,4,11.18,16
11,5,10.32,16
11,6,9.98,16
11,7,9.39,16
