month,day,avg_accumulated_precipitation,years_sampled
1,1,2.94,16
1,2,10.38,16
1,3,16.66,16
1,4,25.23,16
1,5,33.55,16
1,6,41.24,16
1,7,48.44,16
1,8,54.57,16
1,9,60.07,16
1,10,64.18,16
1,11,72.85,16
1,12,81.86,16
1,13,86.85,16
1,14,88.88,16
1,15,92.44,16
1,16,95.89,16
1,17,102.94,16
1,18,112.56,16
1,19,115.22,16
1,20,117.44,16
1,21,123.98,16
1,22,128.66,16
1,23,132.93,16
1,24,138.96,16
1,25,141.24,16
1,26,144.07,16
1,27,149.02,16
1,28,154.38,16
1,29,161.53,16
1,30,164.99,16
1,31,170.36,16
2,1,176.66,16
2,2,179.06,16
2,3,182.51,16
2,4,186.88,16
2,5,192.48,16
2,6,197.73,16
2,7,201.24,16
2,8,204.43,16
2,9,208.53,16
2,10,211.44,16
2,11,215.29,16
2,12,219.58,16
2,13,222.88,16
2,14,228.28,16
2,15,235.23,16
2,16,240.08,16
2,17,244.54,16
2,18,247.83,16
2,19,250.2,16
2,20,252.98,16
2,21,257.53,16
2,22,263.3,16
2,23,266.89,16
2,24,270.13,16
2,25,273.54,16
2,26,276.91,16
2,27,281.57,16
2,28,290.94,16
2,29,293.14,4
3,1,297.03,16
3,2,302.41,16
3,3,305.81,16
3,4,309.09,16
3,5,313.17,16
3,6,316.57,16
3,7,319.45,16
3,8,323.43,16
3,9,328.61,16
3,10,333.89,16
3,11,338.14,16
3,12,345.8,16
3,13,351.33,16
3,14,358.05,16
3,15,365.38,16
3,16,369.34,16
3,17,371.24,16
3,18,373.29,16
3,19,375.69,16
3,20,379.91,16
3,21,384.03,16
3,22,386.26,16
3,23,390.39,16
3,24,394.54,16
3,25,398.68,16
3,26,401.92,16
3,27,406.07,16
3,28,412.58,16
3,29,420.05,16
3,30,424.17,16
3,31,428.3,16
4,1,431.49,16
4,2,434.22,16
4,3,436.76,16
4,4,441.95,16
4,5,447.42,16
4,6,451.96,16
4,7,457.34,16
4,8,462.56,16
4,9,464.55,16
4,10,468.23,16
4,11,470.78,16
4,12,473.81,16
4,13,477.53,16
4,14,481.25,16
4,15,482.32,16
4,16,486.22,16
4,17,488.71,16
4,18,491.54,16
4,19,496.71,16
4,20,499.32,16
4,21,501.47,16
4,22,504.38,16
4,23,506.96,16
4,24,510.82,16
4,25,514.74,16
4,26,516.75,16
4,27,520.24,16
4,28,522.49,16
4,29,524.52,16
4,30,527.14,16
5,1,528.09,16
5,2,531.06,16
5,3,535.09,16
5,4,539.51,16
5,5,543.71,16
5,6,545.29,16
5,7,547.08,16
5,8,548.57,16
5,9,549.49,16
5,10,550.11,16
5,11,552.13,16
5,12,553.8,16
5,13,555.75,16
5,14,558.74,16
5,15,563.17,16
5,16,564.96,16
5,17,566.79,16
5,18,568.24,16
5,19,570.5,16
5,20,572.43,16
5,21,576.06,16
5,22,578.12,16
5,23,579.77,16
5,24,580.64,16
5,25,582.57,16
5,26,584.54,16
5,27,586.52,16
5,28,588.7,16
5,29,590.82,16
5,30,592.16,16
5,31,594.04,16
6,1,595.44,16
6,2,598.86,16
6,3,600.57,16
6,4,602.97,16
6,5,604.7,16
6,6,606.48,16
6,7,609.21,16
6,8,611.39,16
6,9,615.61,16
6,10,617.64,16
6,11,618.68,16
6,12,619.54,16
6,13,623.17,16
6,14,624.42,16
6,15,629.29,16
6,16,630.52,16
