month,day,avg_daytime_temperature,years_sampled
1,1,6.39,16
1,2,8.29,16
1,3,7.86,16
1,4,7.74,16
1,5,8.17,16
1,6,7.79,16
1,7,6.84,16
1,8,5.78,16
1,9,5.92,16
1,10,5.89,16
1,11,6.01,16
1,12,5.9,16
1,13,6.64,16
1,14,7.49,16
1,15,6.47,16
1,16,5.95,16
1,17,6.69,16
1,18,6.6,16
1,19,7.67,16
1,20,7.58,16
1,21,7.02,16
1,22,6.07,16
1,23,5.79,16
1,24,5.71,16
1,25,6.39,16
1,26,6.18,16
1,27,6.01,16
1,28,6.57,16
1,29,7.17,16
1,30,7.42,16
1,31,7.92,16
2,1,7.6,16
2,2,6.54,16
2,3,6.89,16
2,4,6.84,16
2,5,7.25,16
2,6,7.11,16
2,7,6.57,16
2,8,5.65,16
2,9,6.16,16
2,10,6.5,16
2,11,7.29,16
2,12,8.17,16
2,13,8.48,16
2,14,9.25,16
2,15,7.35,16
2,16,7.4,16
2,17,7.28,16
2,18,8.07,16
2,19,8.35,16
2,20,8.38,16
2,21,8.88,16
2,22,9.07,16
2,23,7.98,16
2,24,9.17,16
2,25,9.98,16
2,26,9.6,16
2,27,10.4,16
2,28,11.21,16
2,29,8.32,4
3,1,10.2,16
3,2,9.01,16
3,3,10.39,16
3,4,11.45,16
3,5,10.29,16
3,6,9.98,16
3,7,10.63,16
3,8,11.2,16
3,9,11.23,16
3,10,10.76,16
3,11,12.15,16
3,12,13.26,16
3,13,11.96,16
3,14,12.45,16
3,15,13.25,16
3,16,13.28,16
3,17,13.41,16
3,18,13.12,16
3,19,12.58,16
3,20,12.31,16
3,21,12.06,16
3,22,13.58,16
3,23,12.7,16
3,24,13.31,16
3,25,14.08,16
3,26,14.34,16
3,27,14.17,16
3,28,14.43,16
3,29,14.97,16
3,30,14.48,16
3,31,13.94,16
4,1,15.2,16
4,2,16.15,16
4,3,14.65,16
4,4,14.57,16
4,5,15.13,16
4,6,14.9,16
4,7,14.58,16
4,8,16.44,16
4,9,16.98,16
4,10,17.34,16
4,11,16.67,16
4,12,16.42,16
4,13,15.92,16
4,14,16.53,16
4,15,17.96,16
4,16,18.2,16
4,17,17.91,16
4,18,18.6,16
4,19,18.47,16
4,20,18.19,16
4,21,17.75,16
4,22,18.42,16
4,23,18.13,16
4,24,18.46,16
4,25,18.98,16
4,26,18.56,16
4,27,18.56,16
4,28,19.89,16
4,29,20.3,16
4,30,20.82,16
5,1,21.11,16
5,2,20.58,16
5,3,20.87,16
5,4,20.76,16
5,5,20.53,16
5,6,21.49,16
5,7,20.94,16
5,8,19.95,16
5,9,20.48,16
5,10,21.23,16
5,11,21.86,16
5,12,21.87,16
5,13,21.76,16
5,14,22.61,16
5,15,23.19,16
5,16,22.4,16
5,17,22.55,16
5,18,22.45,16
5,19,22.04,16
5,20,22.29,16
5,21,22.26,16
5,22,22.2,16
5,23,21.66,16
5,24,22.05,16
5,25,23.14,16
5,26,22.69,16
5,27,22.97,16
5,28,23.55,16
5,29,23.6,16
5,30,23.1,16
5,31,22.88,16
6,1,22.98,16
6,2,23.49,16
6,3,23.28,16
6,4,23.43,16
6,5,23.4,16
6,6,24.04,16
6,7,23.8,16
6,8,24.24,16
6,9,25.04,16
