month,day,avg_accumulated_precipitation,years_sampled
1,1,0.04,16
1,2,0.18,16
1,3,1.23,16
1,4,4.56,16
1,5,7.31,16
1,6,8.24,16
1,7,10.86,16
1,8,11.28,16
1,9,11.88,16
1,10,14.01,16
1,11,16.0,16
1,12,16.77,16
1,13,21.48,16
1,14,24.74,16
1,15,26.0,16
1,16,27.63,16
1,17,28.09,16
1,18,29.11,16
1,19,29.79,16
1,20,31.2,16
1,21,32.81,16
1,22,36.31,16
1,23,38.05,16
1,24,38.72,16
1,25,40.85,16
1,26,43.81,16
1,27,46.5,16
1,28,48.37,16
1,29,49.74,16
1,30,50.09,16
1,31,52.18,16
2,1,54.56,16
2,2,55.64,16
2,3,56.77,16
2,4,57.82,16
2,5,59.57,16
2,6,62.94,16
2,7,65.77,16
2,8,67.26,16
2,9,69.42,16
2,10,70.42,16
2,11,74.47,16
2,12,76.83,16
2,13,78.81,16
2,14,80.52,16
2,15,84.53,16
2,16,86.16,16
2,17,86.82,16
2,18,90.23,16
2,19,92.28,16
2,20,94.86,16
2,21,98.82,16
2,22,102.25,16
2,23,103.32,16
2,24,105.2,16
2,25,109.74,16
2,26,111.99,16
2,27,113.91,16
2,28,117.24,16
2,29,119.0,4
3,1,121.99,16
3,2,123.43,16
3,3,126.79,16
3,4,131.96,16
3,5,135.52,16
3,6,137.24,16
3,7,138.81,16
3,8,141.12,16
3,9,144.32,16
3,10,144.53,16
3,11,145.37,16
3,12,148.14,16
3,13,150.74,16
3,14,153.04,16
3,15,155.3,16
3,16,157.83,16
3,17,162.92,16
3,18,165.41,16
3,19,167.51,16
3,20,171.72,16
3,21,175.79,16
3,22,180.42,16
3,23,183.24,16
3,24,186.07,16
3,25,189.76,16
3,26,190.81,16
3,27,194.48,16
3,28,197.66,16
3,29,200.52,16
3,30,204.08,16
3,31,205.55,16
4,1,206.96,16
4,2,209.89,16
4,3,214.86,16
4,4,215.65,16
4,5,218.44,16
4,6,222.56,16
4,7,226.64,16
4,8,228.13,16
4,9,229.66,16
4,10,231.38,16
4,11,236.56,16
4,12,241.09,16
4,13,247.07,16
4,14,250.16,16
4,15,250.5,16
4,16,252.28,16
4,17,254.22,16
4,18,255.15,16
4,19,259.93,16
4,20,263.64,16
4,21,270.34,16
4,22,273.74,16
4,23,281.84,16
4,24,283.85,16
4,25,287.87,16
4,26,293.16,16
4,27,294.34,16
4,28,295.66,16
4,29,298.49,16
4,30,300.38,16
5,1,303.21,16
5,2,308.18,16
5,3,308.69,16
5,4,312.79,16
5,5,316.34,16
5,6,317.86,16
5,7,320.06,16
5,8,330.06,16
5,9,333.05,16
5,10,335.54,16
5,11,341.73,16
5,12,344.46,16
5,13,346.85,16
5,14,350.01,16
5,15,354.78,16
5,16,358.32,16
5,17,360.92,16
5,18,364.59,16
5,19,368.39,16
5,20,369.64,16
5,21,373.9,16
5,22,378.21,16
5,23,383.25,16
5,24,384.43,16
5,25,387.24,16
5,26,396.68,16
5,27,403.41,16
5,28,405.64,16
5,29,409.94,16
5,30,415.94,16
5,31,417.93,16
6,1,426.18,16
6,2,433.67,16
6,3,438.83,16
6,4,440.94,16
6,5,446.18,16
6,6,449.51,16
6,7,456.75,16
6,8,465.61,16
6,9,467.58,16
6,10,480.97,16
6,11,484.99,16
6,12,492.89,16
6,13,497.28,16
6,14,502.11,16
6,15,514.81,16
6,16,519.49,16
6,17,527.81,16
6,18,542.41,16
6,19,555.08,16
6,20,565.43,16
6,21,576.21,16
6,22,582.54,16
6,23,594.38,16
6,24,610.04,16
6,25,623.19,16
6,26,638.39,16
6,27,657.35,16
6,28,665.89,16
6,29,676.41,16
6,30,686.85,16
7,1,695.59,16
7,2,700.32,16
7,3,710.91,16
7,4,716.89,16
7,5,723.23,16
7,6,731.83,16
7,7,737.41,16
7,8,743.76,16
7,9,748.82,16
7,10,755.8,16
7,11,768.34,16
7,12,778.21,16
7,13,790.34,16
7,14,799.51,16
7,15,809.28,16
7,16,817.82,16
7,17,823.28,16
7,18,827.0,16
7,19,830.88,16
7,20,835.34,16
7,21,837.56,16
7,22,842.11,16
7,23,845.05,16
7,24,850.44,16
7,25,859.58,16
7,26,870.78,16
7,27,879.79,16
7,28,885.44,16
7,29,888.82,16
7,30,895.17,16
7,31,899.56,16
8,1,903.73,16
8,2,907.55,16
8,3,910.86,16
8,4,914.94,16
8,5,917.38,16
8,6,918.99,16
8,7,921.6,16
8,8,929.83,16
8,9,934.7,16
8,10,942.98,16
8,11,946.84,16
8,12,952.84,16
8,13,956.04,16
8,14,958.76,16
8,15,962.28,16
8,16,965.99,16
8,17,973.19,16
8,18,976.92,16
8,19,980.76,16
8,20,989.04,16
8,21,993.03,16
8,22,998.45,16
8,23,1000.84,16
8,24,1005.5,16
8,25,1010.96,16
8,26,1015.43,16
8,27,1021.67,16
8,28,1025.76,16
8,29,1036.28,16
8,30,1039.22,16
8,31,1041.1,16
9,1,1046.95,16
9,2,1055.16,16
9,3,1065.71,16
9,4,1069.95,16
9,5,1074.74,16
9,6,1077.0,16
9,7,1081.95,16
9,8,1082.47,16
9,9,1086.34,16
9,10,1092.56,16
9,11,1098.68,16
9,12,1102.41,16
9,13,1115.03,16
9,14,1128.53,16
9,15,1136.98,16
9,16,1145.2,16
9,17,1151.72,16
9,18,1153.72,16
9,19,1155.92,16
9,20,1164.48,16
9,21,1165.98,16
9,22,1169.46,16
9,23,1173.63,16
9,24,1176.67,16
9,25,1178.18,16
9,26,1179.93,16
9,27,1180.5,16
9,28,1181.98,16
9,29,1184.94,16
9,30,1187.86,16
10,1,1194.37,16
10,2,1195.83,16
10,3,1196.63,16
10,4,1198.72,16
10,5,1200.96,16
10,6,1204.73,16
10,7,1208.56,16
10,8,1210.4,16
10,9,1210.57,16
10,10,1211.4,16
10,11,1212.19,16
10,12,1213.0,16
10,13,1216.11,16
10,14,1219.11,16
10,15,1222.36,16
10,16,1226.53,16
10,17,1227.34,16
10,18,1228.03,16
10,19,1228.44,16
10,20,1230.87,16
10,21,1237.07,16
10,22,1240.8,16
10,23,1243.74,16
10,24,1244.75,16
10,25,1245.04,16
10,26,1246.88,16
10,27,1247.91,16
10,28,1248.07,16
10,29,1249.28,16
10,30,1250.89,16
10,31,1254.41,16
11,1,1261.63,16
11,2,1262.25,16
11,3,1262.64,16
11,4,1265.13,16
11,5,1268.06,16
11,6,1268.79,16
11,7,1272.35,16
11,8,1275.34,16
11,9,1277.66,16
11,10,1278.51,16
11,11,1279.39,16
11,12,1280.44,16
11,13,1281.61,16
11,14,1282.36,16
11,15,1283.04,16
11,16,1287.01,16
11,17,1293.27,16
11,18,1295.88,16
11,19,1297.44,16
11,20,1298.32,16
11,21,1301.74,16
11,22,1304.86,16
11,23,1306.23,16
11,24,1307.51,16
11,25,1309.9,16
11,26,1311.63,16
11,27,1312.27,16
11,28,1313.19,16
11,29,1315.34,16
11,30,1317.46,16
12,1,1319.09,16
12,2,1321.62,16
12,3,1322.52,16
12,4,1323.99,16
12,5,1325.28,16
12,6,1327.14,16
12,7,1328.43,16
12,8,1328.73,16
12,9,1330.14,16
12,10,1332.28,16
12,11,1333.71,16
12,12,1335.1,16
12,13,1336.5,16
12,14,1337.43,16
12,15,1339.19,16
12,16,1341.26,16
12,17,1342.65,16
12,18,1343.89,16
12,19,1344.55,16
12,20,1346.35,16
12,21,1348.99,16
12,22,1350.47,16
12,23,1351.09,16
12,24,1352.06,16
12,25,1352.9,16
12,26,1354.57,16
12,27,1355.73,16
12,28,1356.39,16
12,29,1357.61,16
12,30,1358.14,16
12,31,1358.19,16
