month,day,avg_daytime_temperature,years_sampled
1,1,26.68,16
1,2,26.9,16
1,3,27.09,16
1,4,27.32,16
1,5,27.39,16
1,6,27.41,16
1,7,27.25,16
1,8,27.31,16
1,9,27.11,16
1,10,26.68,16
1,11,26.75,16
1,12,26.85,16
1,13,26.85,16
1,14,26.99,16
1,15,27.13,16
1,16,27.36,16
1,17,27.27,16
1,18,27.16,16
1,19,26.94,16
1,20,26.86,16
1,21,26.98,16
1,22,27.19,16
1,23,27.06,16
1,24,26.99,16
1,25,27.05,16
1,26,27.22,16
1,27,27.33,16
1,28,27.13,16
1,29,26.98,16
1,30,27.29,16
1,31,27.29,16
2,1,27.63,16
2,2,27.38,16
2,3,27.43,16
2,4,27.44,16
2,5,27.21,16
2,6,27.62,16
2,7,27.6,16
2,8,27.57,16
2,9,27.41,16
2,10,27.35,16
2,11,27.69,16
2,12,27.68,16
2,13,27.73,16
2,14,27.77,16
2,15,27.54,16
2,16,27.78,16
2,17,27.74,16
2,18,27.55,16
2,19,27.71,16
2,20,27.93,16
2,21,27.96,16
2,22,28.28,16
2,23,28.17,16
2,24,27.79,16
2,25,28.12,16
2,26,27.98,16
2,27,27.96,16
2,28,28.22,16
2,29,28.58,4
3,1,28.01,16
3,2,28.29,16
3,3,28.02,16
3,4,28.24,16
3,5,27.95,16
3,6,28.0,16
3,7,27.83,16
3,8,27.94,16
3,9,28.19,16
3,10,27.99,16
3,11,27.95,16
3,12,27.75,16
3,13,27.95,16
3,14,28.17,16
3,15,28.25,16
3,16,28.24,16
3,17,28.3,16
3,18,28.36,16
3,19,28.12,16
3,20,27.75,16
3,21,27.99,16
3,22,28.21,16
3,23,28.38,16
3,24,28.44,16
3,25,28.37,16
3,26,28.58,16
3,27,28.39,16
3,28,28.28,16
3,29,28.18,16
3,30,28.07,16
3,31,28.12,16
4,1,28.26,16
4,2,28.05,16
4,3,27.83,16
4,4,28.14,16
4,5,28.09,16
4,6,28.29,16
4,7,28.1,16
4,8,28.17,16
4,9,28.32,16
4,10,28.02,16
4,11,28.09,16
4,12,28.19,16
4,13,28.15,16
4,14,28.31,16
4,15,28.28,16
4,16,28.36,16
4,17,28.42,16
4,18,28.23,16
4,19,28.09,16
4,20,27.95,16
4,21,27.92,16
4,22,28.24,16
4,23,28.08,16
4,24,27.91,16
4,25,28.24,16
4,26,27.95,16
4,27,28.11,16
4,28,28.07,16
4,29,28.35,16
4,30,28.21,16
5,1,28.24,16
5,2,28.26,16
5,3,28.29,16
5,4,27.96,16
5,5,28.23,16
5,6,28.54,16
5,7,28.24,16
5,8,28.32,16
5,9,28.79,16
5,10,28.95,16
5,11,28.62,16
5,12,28.29,16
5,13,28.28,16
5,14,28.26,16
5,15,28.72,16
5,16,28.25,16
5,17,28.48,16
5,18,28.07,16
5,19,28.11,16
5,20,28.13,16
5,21,28.14,16
5,22,28.14,16
5,23,28.44,16
5,24,28.75,16
5,25,28.56,16
5,26,28.35,16
5,27,28.34,16
5,28,28.59,16
5,29,28.3,16
5,30,28.37,16
5,31,28.44,16
6,1,28.03,16
6,2,28.4,16
6,3,28.52,16
6,4,28.2,16
6,5,28.07,16
6,6,28.19,16
6,7,28.43,16
6,8,28.33,16
6,9,28.29,16
6,10,28.49,16
6,11,28.24,16
6,12,28.28,16
6,13,28.41,16
6,14,28.1,16
6,15,28.28,16
6,16,28.21,16
6,17,28.25,16
6,18,27.69,16
6,19,28.26,16
6,20,28.28,16
6,21,28.43,16
6,22,28.37,16
6,23,28.13,16
6,24,28.3,16
6,25,28.16,16
6,26,28.37,16
6,27,28.12,16
6,28,28.42,16
6,29,28.26,16
6,30,28.2,16
7,1,28.29,16
7,2,28.19,16
7,3,28.05,16
7,4,28.27,16
7,5,28.16,16
7,6,28.33,16
7,7,28.26,16
7,8,28.05,16
7,9,27.73,16
7,10,27.85,16
7,11,27.73,16
7,12,27.78,16
7,13,27.95,16
7,14,27.45,16
7,15,27.89,16
7,16,28.4,16
7,17,28.33,16
7,18,28.31,16
7,19,28.2,16
7,20,28.14,16
7,21,28.58,16
7,22,28.24,16
7,23,28.37,16
7,24,28.51,16
7,25,28.62,16
7,26,28.2,16
7,27,28.81,16
7,28,28.53,16
7,29,28.32,16
7,30,28.35,16
7,31,28.26,16
8,1,27.99,16
8,2,28.27,16
8,3,27.97,16
8,4,27.65,16
8,5,28.03,16
8,6,28.33,16
8,7,28.12,16
8,8,28.31,16
8,9,28.33,16
8,10,28.3,16
8,11,28.12,16
8,12,28.16,16
8,13,27.73,16
8,14,27.73,16
8,15,27.52,16
8,16,27.87,16
8,17,27.69,16
8,18,27.87,16
8,19,27.8,16
8,20,27.62,16
8,21,27.75,16
8,22,28.11,16
8,23,27.71,16
8,24,27.66,16
8,25,27.7,16
8,26,27.75,16
8,27,27.78,16
8,28,27.85,16
8,29,27.72,16
8,30,27.86,16
8,31,28.27,16
9,1,28.07,16
9,2,28.16,16
9,3,28.08,16
9,4,27.75,16
9,5,27.66,16
9,6,27.8,16
9,7,27.74,16
9,8,27.76,16
9,9,27.58,16
9,10,27.2,16
9,11,27.69,16
9,12,27.86,16
9,13,28.04,16
9,14,27.78,16
9,15,27.89,16
9,16,28.22,16
9,17,27.89,16
9,18,28.03,16
9,19,27.99,16
9,20,27.81,16
9,21,27.79,16
9,22,27.92,16
9,23,28.34,16
9,24,27.94,16
9,25,27.93,16
9,26,27.89,16
9,27,28.0,16
9,28,28.09,16
9,29,28.03,16
9,30,27.88,16
10,1,27.84,16
10,2,27.82,16
10,3,27.83,16
10,4,27.78,16
10,5,27.8,16
10,6,27.92,16
10,7,27.67,16
10,8,27.98,16
10,9,27.87,16
10,10,27.89,16
10,11,28.12,16
10,12,27.95,16
10,13,28.11,16
10,14,28.24,16
10,15,28.36,16
10,16,28.23,16
10,17,28.27,16
10,18,27.73,16
10,19,27.78,16
10,20,27.71,16
10,21,27.73,16
10,22,27.44,16
10,23,27.82,16
10,24,27.84,16
10,25,27.78,16
10,26,27.76,16
10,27,27.82,16
10,28,27.75,16
10,29,27.88,16
10,30,27.76,16
10,31,27.39,16
11,1,27.53,16
11,2,27.68,16
11,3,27.6,16
11,4,27.63,16
11,5,27.63,16
11,6,27.7,16
11,7,27.67,16
11,8,27.37,16
11,9,27.59,16
11,10,27.24,16
11,11,27.38,16
11,12,27.44,16
11,13,27.39,16
11,14,27.03,16
11,15,27.34,16
11,16,27.29,16
11,17,27.37,16
11,18,27.41,16
11,19,27.16,16
11,20,27.1,16
11,21,27.16,16
11,22,27.38,16
11,23,27.2,16
11,24,27.16,16
11,25,27.34,16
11,26,27.11,16
11,27,26.86,16
11,28,27.09,16
11,29,27.04,16
11,30,27.49,16
12,1,27.09,16
12,2,26.84,16
12,3,27.27,16
12,4,27.17,16
12,5,27.6,16
12,6,27.59,16
12,7,27.65,16
12,8,27.21,16
12,9,27.14,16
12,10,27.38,16
12,11,27.04,16
12,12,27.02,16
12,13,26.99,16
12,14,27.15,16
12,15,26.96,16
