month,day,avg_accumulated_precipitation,years_sampled
1,1,12.0,16
1,2,23.96,16
1,3,31.88,16
1,4,35.16,16
1,5,39.42,16
1,6,44.64,16
1,7,52.01,16
1,8,58.55,16
1,9,71.47,16
1,10,89.49,16
1,11,104.28,16
1,12,112.69,16
1,13,120.2,16
1,14,125.31,16
1,15,128.61,16
1,16,131.88,16
1,17,137.76,16
1,18,141.67,16
1,19,148.11,16
1,20,155.11,16
1,21,162.37,16
1,22,165.68,16
1,23,173.01,16
1,24,186.37,16
1,25,195.36,16
1,26,201.01,16
1,27,204.07,16
1,28,207.51,16
1,29,214.18,16
1,30,219.84,16
1,31,224.01,16
2,1,225.28,16
2,2,227.48,16
2,3,233.93,16
2,4,242.07,16
2,5,246.62,16
2,6,251.21,16
2,7,254.14,16
2,8,257.01,16
2,9,260.78,16
2,10,268.14,16
2,11,273.21,16
2,12,275.77,16
2,13,278.88,16
2,14,282.38,16
2,15,287.27,16
2,16,289.29,16
2,17,292.85,16
2,18,298.54,16
2,19,302.18,16
2,20,304.77,16
2,21,307.73,16
2,22,309.45,16
2,23,311.71,16
2,24,317.01,16
2,25,320.64,16
2,26,324.38,16
2,27,328.46,16
2,28,334.64,16
2,29,335.92,4
3,1,343.29,16
3,2,347.48,16
3,3,354.9,16
3,4,358.48,16
3,5,364.51,16
3,6,370.37,16
3,7,377.98,16
3,8,384.5,16
3,9,387.48,16
3,10,392.31,16
3,11,397.6,16
3,12,404.1,16
3,13,411.48,16
3,14,417.06,16
3,15,420.76,16
3,16,424.49,16
3,17,430.47,16
3,18,434.05,16
3,19,441.57,16
3,20,452.0,16
3,21,460.23,16
3,22,466.93,16
3,23,472.81,16
3,24,477.06,16
3,25,484.62,16
3,26,489.04,16
3,27,494.85,16
3,28,500.5,16
3,29,506.66,16
3,30,514.25,16
3,31,521.89,16
4,1,529.21,16
4,2,538.6,16
4,3,548.58,16
4,4,555.18,16
4,5,560.79,16
4,6,566.62,16
4,7,571.44,16
4,8,577.06,16
4,9,583.42,16
4,10,590.46,16
4,11,598.92,16
4,12,608.53,16
4,13,616.13,16
4,14,623.07,16
4,15,628.92,16
4,16,637.15,16
4,17,644.91,16
4,18,653.12,16
4,19,659.53,16
4,20,668.07,16
4,21,675.96,16
4,22,683.63,16
4,23,692.75,16
4,24,701.67,16
4,25,709.51,16
4,26,721.62,16
4,27,729.34,16
4,28,735.52,16
4,29,742.14,16
4,30,752.45,16
5,1,761.88,16
5,2,769.35,16
5,3,776.7,16
5,4,792.08,16
5,5,801.64,16
5,6,808.68,16
5,7,816.17,16
5,8,823.96,16
5,9,829.58,16
5,10,833.42,16
5,11,839.52,16
5,12,846.34,16
5,13,855.15,16
5,14,863.16,16
5,15,868.64,16
5,16,876.98,16
5,17,885.42,16
5,18,897.51,16
5,19,905.35,16
5,20,914.78,16
5,21,922.56,16
5,22,930.56,16
5,23,941.32,16
5,24,946.84,16
5,25,951.18,16
5,26,961.88,16
5,27,969.19,16
5,28,976.04,16
5,29,983.43,16
5,30,990.54,16
5,31,998.28,16
6,1,1012.49,16
6,2,1017.31,16
6,3,1022.24,16
6,4,1030.53,16
6,5,1039.0,16
6,6,1046.01,16
6,7,1050.31,16
6,8,1056.18,16
6,9,1061.79,16
6,10,1065.88,16
6,11,1074.1,16
6,12,1082.44,16
6,13,1098.93,16
6,14,1105.8,16
6,15,1110.72,16
6,16,1115.44,16
6,17,1121.52,16
6,18,1130.86,16
6,19,1133.74,16
6,20,1143.74,16
6,21,1149.36,16
6,22,1156.77,16
6,23,1167.22,16
6,24,1172.13,16
6,25,1176.79,16
6,26,1180.94,16
6,27,1187.67,16
6,28,1190.93,16
6,29,1201.69,16
6,30,1207.01,16
7,1,1210.95,16
7,2,1216.46,16
7,3,1221.46,16
7,4,1226.06,16
7,5,1230.74,16
7,6,1234.56,16
7,7,1240.39,16
7,8,1245.49,16
7,9,1254.49,16
7,10,1263.73,16
7,11,1272.63,16
7,12,1283.19,16
7,13,1291.17,16
7,14,1297.65,16
7,15,1300.6,16
7,16,1304.37,16
7,17,1308.43,16
7,18,1312.92,16
7,19,1317.15,16
7,20,1322.1,16
7,21,1325.03,16
7,22,1329.81,16
7,23,1332.91,16
7,24,1335.71,16
7,25,1338.84,16
7,26,1342.83,16
7,27,1344.92,16
7,28,1348.01,16
7,29,1352.46,16
7,30,1355.43,16
7,31,1360.39,16
8,1,1365.55,16
8,2,1370.97,16
8,3,1376.92,16
8,4,1382.61,16
8,5,1386.09,16
8,6,1388.64,16
8,7,1393.04,16
8,8,1397.14,16
8,9,1400.09,16
8,10,1403.35,16
8,11,1407.48,16
8,12,1411.37,16
8,13,1418.02,16
8,14,1425.7,16
8,15,1431.92,16
8,16,1437.07,16
8,17,1447.62,16
8,18,1453.09,16
8,19,1460.47,16
8,20,1469.28,16
8,21,1477.33,16
8,22,1480.92,16
8,23,1489.62,16
8,24,1498.12,16
8,25,1503.27,16
8,26,1510.63,16
8,27,1515.62,16
8,28,1520.08,16
8,29,1526.52,16
8,30,1533.77,16
8,31,1536.92,16
9,1,1542.85,16
9,2,1548.47,16
9,3,1552.25,16
9,4,1556.56,16
9,5,1563.98,16
9,6,1570.26,16
9,7,1576.16,16
9,8,1582.94,16
9,9,1590.3,16
9,10,1596.89,16
9,11,1602.52,16
9,12,1605.98,16
9,13,1610.03,16
9,14,1613.95,16
9,15,1619.73,16
9,16,1624.31,16
9,17,1629.98,16
9,18,1634.94,16
9,19,1639.68,16
9,20,1644.76,16
9,21,1649.74,16
9,22,1655.19,16
9,23,1658.08,16
9,24,1666.1,16
9,25,1673.74,16
9,26,1683.96,16
9,27,1689.17,16
9,28,1694.46,16
9,29,1707.17,16
9,30,1711.81,16
10,1,1718.07,16
10,2,1723.09,16
10,3,1728.56,16
10,4,1734.74,16
10,5,1741.26,16
10,6,1746.77,16
10,7,1755.9,16
10,8,1761.46,16
10,9,1768.56,16
10,10,1773.67,16
10,11,1780.63,16
10,12,1786.64,16
10,13,1792.19,16
10,14,1797.92,16
10,15,1801.29,16
10,16,1806.77,16
10,17,1811.94,16
10,18,1820.61,16
10,19,1825.7,16
10,20,1834.61,16
10,21,1844.25,16
