calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,74.87,30.2,131.25,142.96,73.77,187.15,15.61,11.85,18.8,79.28,67.5,88.0,4.0,26.6
2,2,Feb,82.11,45.85,128.15,139.37,101.83,194.41,16.24,12.4,19.7,81.28,70.0,89.0,6.2,29.2
3,3,Mar,102.91,40.2,182.2,210.96,177.69,254.31,18.21,13.95,22.1,80.38,67.0,90.0,7.2,32.0
4,4,Apr,134.24,61.85,211.85,233.76,208.69,265.89,21.35,17.8,24.7,81.32,70.0,90.0,8.4,32.4
5,5,May,228.24,144.5,347.55,252.51,223.87,286.73,24.66,21.6,27.4,83.72,75.5,91.0,15.5,36.0
6,6,Jun,252.91,129.05,370.1,270.61,223.97,315.23,27.32,24.99,29.1,83.51,76.0,91.0,19.9,36.3
7,7,Jul,189.12,111.65,273.05,337.18,326.4,357.4,28.66,27.4,29.9,80.27,73.0,87.0,23.1,37.9
8,8,Aug,242.07,64.6,588.3,311.55,274.57,339.3,28.33,27.0,29.5,81.33,72.0,88.5,23.0,37.9
9,9,Sep,200.66,68.0,377.5,285.74,249.41,306.78,26.92,24.7,28.9,81.36,73.0,89.0,19.6,37.3
10,10,Oct,206.91,99.75,384.75,222.65,190.71,264.43,23.93,21.3,27.1,80.38,69.0,90.0,13.7,37.7
11,11,Nov,99.66,41.8,156.1,171.56,134.8,196.08,21.24,18.39,24.1,81.15,68.0,90.0,10.2,31.6
12,12,Dec,92.04,39.5,143.6,129.88,83.53,164.87,17.1,13.75,20.3,79.89,68.0,89.0,6.5,29.1
