month,day,avg_daytime_temperature,years_sampled
1,1,6.72,16
1,2,6.42,16
1,3,5.78,16
1,4,5.07,16
1,5,5.43,16
1,6,4.89,16
1,7,5.94,16
1,8,6.25,16
1,9,6.29,16
1,10,5.39,16
1,11,4.81,16
1,12,5.24,16
1,13,5.46,16
1,14,5.96,16
1,15,6.04,16
1,16,5.88,16
1,17,5.65,16
1,18,5.39,16
1,19,5.71,16
1,20,5.94,16
1,21,5.25,16
1,22,5.32,16
1,23,5.46,16
1,24,5.82,16
1,25,6.01,16
1,26,6.31,16
1,27,5.56,16
1,28,5.6,16
1,29,5.57,16
1,30,5.48,16
1,31,5.42,16
2,1,5.18,16
2,2,4.65,16
2,3,4.45,16
2,4,4.93,16
2,5,4.99,16
2,6,5.8,16
2,7,6.49,16
2,8,6.54,16
2,9,6.08,16
2,10,6.69,16
2,11,6.19,16
2,12,6.08,16
2,13,6.62,16
2,14,7.91,16
2,15,8.06,16
2,16,8.86,16
2,17,8.36,16
2,18,8.25,16
2,19,7.67,16
2,20,7.7,16
2,21,8.55,16
2,22,9.19,16
2,23,9.34,16
2,24,8.84,16
2,25,7.74,16
2,26,8.57,16
2,27,9.08,16
2,28,9.88,16
2,29,8.96,4
3,1,10.56,16
3,2,10.04,16
3,3,10.09,16
3,4,10.87,16
3,5,10.42,16
3,6,10.87,16
3,7,10.88,16
3,8,11.04,16
3,9,11.68,16
3,10,11.95,16
3,11,11.76,16
3,12,12.36,16
3,13,12.88,16
3,14,13.6,16
3,15,13.52,16
3,16,13.95,16
3,17,13.49,16
3,18,13.71,16
3,19,13.45,16
3,20,13.21,16
3,21,13.68,16
3,22,13.01,16
3,23,12.42,16
3,24,13.69,16
3,25,13.11,16
3,26,13.26,16
3,27,14.01,16
3,28,14.63,16
3,29,15.31,16
3,30,16.0,16
3,31,15.61,16
4,1,14.61,16
4,2,16.05,16
4,3,16.59,16
4,4,17.29,16
4,5,17.61,16
4,6,18.45,16
4,7,18.82,16
4,8,18.89,16
4,9,18.69,16
4,10,19.83,16
4,11,19.96,16
4,12,19.26,16
4,13,18.93,16
4,14,18.12,16
4,15,18.02,16
4,16,17.86,16
4,17,17.71,16
4,18,17.96,16
4,19,18.74,16
4,20,20.0,16
4,21,20.75,16
4,22,21.58,16
4,23,20.56,16
4,24,20.66,16
4,25,19.95,16
4,26,19.82,16
4,27,20.96,16
4,28,21.9,16
4,29,21.61,16
4,30,21.92,16
5,1,22.17,16
5,2,21.58,16
5,3,21.83,16
5,4,21.78,16
5,5,22.5,16
5,6,22.65,16
5,7,22.5,16
5,8,22.99,16
5,9,23.4,16
5,10,23.48,16
5,11,24.38,16
5,12,25.04,16
5,13,25.2,16
5,14,24.34,16
5,15,23.61,16
5,16,23.89,16
5,17,24.24,16
5,18,25.52,16
5,19,26.83,16
5,20,27.18,16
5,21,26.7,16
5,22,25.86,16
5,23,26.6,16
5,24,27.39,16
5,25,27.25,16
5,26,26.94,16
5,27,28.03,16
5,28,28.4,16
5,29,29.25,16
5,30,29.4,16
5,31,29.24,16
6,1,29.65,16
6,2,29.75,16
6,3,29.44,16
6,4,29.44,16
6,5,30.16,16
6,6,30.42,16
6,7,30.9,16
6,8,30.35,16
6,9,29.95,16
6,10,30.42,16
6,11,30.75,16
6,12,31.15,16
6,13,30.82,16
6,14,30.76,16
6,15,31.39,16
6,16,31.84,16
6,17,31.73,16
6,18,31.92,16
6,19,31.72,16
6,20,31.7,16
6,21,31.92,16
6,22,31.98,16
6,23,31.69,16
6,24,31.64,16
6,25,31.94,16
6,26,31.93,16
6,27,32.26,16
6,28,32.74,16
6,29,33.43,16
6,30,33.97,16
7,1,33.98,16
7,2,33.4,16
7,3,32.93,16
7,4,32.9,16
7,5,33.21,16
7,6,33.36,16
7,7,33.83,16
7,8,34.04,16
7,9,34.0,16
7,10,33.87,16
7,11,34.3,16
7,12,34.13,16
7,13,32.78,16
7,14,32.65,16
7,15,33.1,16
7,16,33.34,16
7,17,33.58,16
7,18,33.69,16
7,19,33.89,16
7,20,33.86,16
7,21,33.83,16
7,22,34.32,16
7,23,34.08,16
7,24,34.06,16
7,25,34.45,16
7,26,34.35,16
7,27,34.17,16
7,28,34.23,16
7,29,33.18,16
7,30,32.51,16
7,31,32.74,16
8,1,33.03,16
8,2,33.31,16
8,3,33.25,16
8,4,33.21,16
8,5,33.34,16
8,6,33.4,16
8,7,33.45,16
8,8,33.63,16
8,9,33.2,16
8,10,32.81,16
8,11,32.91,16
8,12,32.68,16
8,13,32.73,16
8,14,32.26,16
8,15,32.05,16
8,16,31.75,16
8,17,31.95,16
8,18,32.06,16
8,19,32.52,16
8,20,32.42,16
8,21,32.0,16
8,22,32.02,16
8,23,31.55,16
8,24,31.37,16
8,25,31.43,16
8,26,31.04,16
8,27,30.78,16
8,28,30.31,16
8,29,30.1,16
8,30,30.36,16
8,31,30.18,16
9,1,30.46,16
9,2,30.35,16
9,3,30.45,16
9,4,30.42,16
9,5,30.94,16
9,6,31.11,16
9,7,31.01,16
9,8,30.37,16
9,9,30.04,16
