month,day,avg_accumulated_precipitation,years_sampled
1,1,1.42,16
1,2,2.09,16
1,3,3.19,16
1,4,3.6,16
1,5,4.14,16
1,6,4.99,16
1,7,5.12,16
1,8,5.78,16
1,9,7.34,16
1,10,9.24,16
1,11,10.07,16
1,12,10.87,16
1,13,11.29,16
1,14,13.38,16
1,15,15.17,16
1,16,15.87,16
1,17,17.02,16
1,18,17.59,16
1,19,18.24,16
1,20,18.72,16
1,21,19.46,16
1,22,19.64,16
1,23,21.01,16
1,24,22.15,16
1,25,23.32,16
1,26,24.51,16
1,27,27.34,16
1,28,31.21,16
1,29,34.79,16
1,30,36.06,16
1,31,38.98,16
2,1,41.41,16
2,2,43.3,16
2,3,44.22,16
2,4,45.12,16
2,5,46.19,16
2,6,47.36,16
2,7,48.69,16
2,8,49.93,16
2,9,50.94,16
2,10,52.15,16
2,11,53.68,16
2,12,55.8,16
2,13,58.02,16
2,14,58.43,16
2,15,59.71,16
2,16,62.76,16
2,17,63.95,16
2,18,64.96,16
2,19,66.12,16
2,20,69.27,16
2,21,70.01,16
2,22,71.12,16
2,23,71.4,16
2,24,72.95,16
2,25,76.76,16
2,26,79.17,16
2,27,80.62,16
2,28,80.94,16
2,29,81.03,4
3,1,82.09,16
3,2,83.44,16
3,3,84.43,16
3,4,85.66,16
3,5,87.28,16
3,6,88.27,16
3,7,89.9,16
3,8,91.47,16
3,9,92.77,16
3,10,94.55,16
3,11,96.59,16
3,12,99.04,16
3,13,101.34,16
3,14,103.76,16
3,15,105.63,16
3,16,106.73,16
3,17,108.65,16
3,18,109.26,16
3,19,109.73,16
3,20,111.16,16
3,21,113.08,16
3,22,116.72,16
3,23,119.0,16
3,24,120.22,16
3,25,124.66,16
3,26,127.16,16
3,27,130.19,16
3,28,130.97,16
3,29,132.06,16
3,30,133.86,16
3,31,135.77,16
4,1,138.39,16
4,2,139.11,16
4,3,140.34,16
4,4,140.83,16
4,5,141.77,16
4,6,142.32,16
4,7,144.86,16
4,8,145.57,16
4,9,147.51,16
4,10,149.46,16
4,11,150.59,16
4,12,153.0,16
4,13,154.86,16
4,14,156.15,16
4,15,157.62,16
4,16,159.74,16
4,17,160.09,16
4,18,161.71,16
4,19,163.62,16
4,20,164.02,16
4,21,164.44,16
4,22,165.25,16
4,23,167.01,16
4,24,167.87,16
4,25,168.77,16
4,26,170.31,16
4,27,171.15,16
4,28,171.4,16
4,29,172.41,16
4,30,173.19,16
5,1,173.91,16
5,2,175.21,16
5,3,176.21,16
5,4,177.17,16
5,5,177.86,16
5,6,178.57,16
5,7,179.71,16
5,8,180.05,16
5,9,180.81,16
5,10,181.49,16
5,11,181.84,16
5,12,182.37,16
5,13,182.97,16
5,14,183.61,16
5,15,184.86,16
5,16,185.31,16
5,17,185.35,16
5,18,185.42,16
5,19,185.71,16
5,20,186.78,16
5,21,187.5,16
5,22,187.93,16
5,23,188.45,16
5,24,188.46,16
5,25,188.49,16
5,26,188.67,16
5,27,188.76,16
5,28,188.83,16
5,29,188.86,16
5,30,189.04,16
5,31,189.09,16
6,1,189.22,16
6,2,189.31,16
6,3,189.49,16
6,4,189.7,16
6,5,189.84,16
6,6,189.84,16
6,7,189.86,16
6,8,189.97,16
6,9,190.01,16
6,10,190.16,16
6,11,190.27,16
6,12,190.27,16
6,13,190.32,16
6,14,190.32,16
6,15,190.33,16
6,16,190.34,16
6,17,190.34,16
6,18,190.35,16
6,19,190.41,16
6,20,190.54,16
6,21,190.54,16
6,22,190.59,16
6,23,190.65,16
6,24,190.85,16
6,25,190.87,16
6,26,190.95,16
6,27,190.95,16
6,28,191.21,16
6,29,191.51,16
6,30,191.51,16
7,1,191.51,16
7,2,191.54,16
7,3,191.57,16
7,4,191.69,16
7,5,191.69,16
7,6,191.69,16
7,7,191.69,16
7,8,191.69,16
7,9,191.72,16
7,10,191.72,16
7,11,191.76,16
7,12,191.84,16
7,13,191.94,16
7,14,192.11,16
7,15,192.4,16
7,16,192.46,16
7,17,192.47,16
7,18,192.47,16
7,19,192.51,16
7,20,192.66,16
7,21,192.7,16
7,22,192.71,16
7,23,192.71,16
7,24,192.71,16
7,25,192.71,16
7,26,192.71,16
7,27,192.71,16
7,28,192.71,16
7,29,192.83,16
7,30,192.91,16
7,31,193.01,16
8,1,193.01,16
8,2,193.01,16
8,3,193.01,16
8,4,193.01,16
8,5,193.01,16
8,6,193.03,16
8,7,193.03,16
8,8,193.03,16
8,9,193.21,16
8,10,193.28,16
8,11,193.28,16
8,12,193.36,16
8,13,193.36,16
8,14,193.36,16
8,15,193.89,16
8,16,193.89,16
8,17,193.89,16
8,18,193.89,16
8,19,193.94,16
8,20,193.94,16
