month,day,avg_accumulated_precipitation,years_sampled
1,1,0.05,16
1,2,0.66,16
1,3,0.78,16
1,4,0.96,16
1,5,1.32,16
1,6,1.33,16
1,7,1.7,16
1,8,2.99,16
1,9,3.32,16
1,10,3.61,16
1,11,3.98,16
1,12,4.38,16
1,13,4.73,16
1,14,4.76,16
1,15,5.34,16
1,16,5.43,16
1,17,5.44,16
1,18,5.46,16
1,19,5.76,16
1,20,6.26,16
1,21,6.32,16
1,22,6.32,16
1,23,6.52,16
1,24,6.74,16
1,25,6.78,16
1,26,6.83,16
1,27,6.86,16
1,28,6.89,16
1,29,7.3,16
1,30,7.54,16
1,31,7.83,16
2,1,8.68,16
2,2,9.49,16
2,3,11.7,16
2,4,14.3,16
2,5,15.19,16
2,6,15.43,16
2,7,16.08,16
2,8,16.31,16
2,9,16.75,16
2,10,17.71,16
2,11,18.47,16
2,12,19.18,16
2,13,19.54,16
2,14,19.79,16
2,15,20.52,16
2,16,21.09,16
2,17,22.29,16
2,18,22.66,16
2,19,22.75,16
2,20,23.2,16
2,21,24.07,16
2,22,24.19,16
2,23,24.47,16
2,24,24.61,16
2,25,24.68,16
2,26,24.79,16
2,27,24.87,16
2,28,24.89,16
2,29,24.99,4
3,1,25.05,16
3,2,25.22,16
3,3,25.31,16
3,4,25.43,16
3,5,25.52,16
3,6,25.52,16
3,7,25.62,16
3,8,25.72,16
3,9,26.71,16
3,10,28.24,16
3,11,29.34,16
3,12,29.84,16
3,13,30.22,16
3,14,31.55,16
3,15,33.44,16
3,16,34.55,16
3,17,34.71,16
3,18,35.01,16
3,19,35.1,16
3,20,35.1,16
3,21,35.16,16
3,22,35.54,16
3,23,35.78,16
3,24,36.05,16
3,25,36.29,16
3,26,36.44,16
3,27,37.26,16
3,28,37.73,16
3,29,38.12,16
3,30,38.42,16
3,31,38.62,16
4,1,38.85,16
4,2,38.95,16
4,3,39.04,16
4,4,39.16,16
4,5,39.37,16
4,6,39.64,16
4,7,40.04,16
4,8,41.0,16
4,9,41.44,16
4,10,41.84,16
4,11,43.0,16
4,12,43.81,16
4,13,44.08,16
4,14,44.19,16
4,15,44.46,16
4,16,44.98,16
4,17,45.29,16
4,18,45.94,16
4,19,47.25,16
4,20,47.61,16
4,21,48.15,16
4,22,49.07,16
