calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,6.1866666666666665,0.3800000000000001,12.659999999999998,289.7371135185185,267.65390666666667,308.1425688888889,14.05225806451613,10.940000000000001,16.6,58.152688172043014,42.0,73.0,1.1,28.5,1.1,28.5
2,2,Feb,14.806666666666665,0.36000000000000004,41.399999999999984,277.8823592592592,248.08327333333332,293.6338627777778,15.970990566037736,12.13,19.1,53.56367924528302,35.0,70.69999999999999,1.1,31.6,1.1,31.6
3,3,Mar,14.906666666666668,0.14,30.979999999999997,333.4437762962963,314.5351122222222,346.9721322222222,18.152903225806448,14.7,21.4,49.30752688172043,32.0,66.0,-0.8,33.9,-0.8,33.9
4,4,Apr,18.88,7.300000000000001,40.699999999999996,335.8607905555556,326.3807161111111,342.8261011111111,20.626,17.7,23.110000000000003,45.58222222222222,28.0,63.0,7.2,34.0,7.2,34.0
5,5,May,37.440000000000005,9.28,79.12,357.84800296296294,343.46268,371.8107377777778,21.419569892473117,18.4,24.5,53.086021505376344,33.400000000000006,71.0,5.8,37.1,5.8,37.1
6,6,Jun,109.66666666666666,46.160000000000004,193.56,325.64743444444434,297.6752738888889,346.72061333333335,19.96755555555556,17.6,23.0,66.40666666666667,49.0,84.0,10.1,35.6,10.1,35.6
7,7,Jul,109.04666666666667,59.32,190.91999999999996,331.32873796296303,308.9083022222222,361.331835,18.686021505376345,17.1,20.4,73.58279569892473,62.0,84.60000000000002,10.6,31.8,10.6,31.8
8,8,Aug,84.82,53.199999999999996,119.88,325.06832296296295,304.53627,342.79103055555555,18.901075268817205,17.3,20.5,72.3247311827957,62.0,83.0,11.4,30.9,11.4,30.9
9,9,Sep,105.39333333333335,59.58,182.01999999999998,293.4048698148148,269.30379,314.9351638888889,18.204222222222224,16.7,20.110000000000003,74.89555555555556,63.0,86.0,4.4,31.8,4.4,31.8
10,10,Oct,42.626666666666665,6.460000000000001,80.8,298.29911870370375,271.09229944444445,321.232105,17.20021505376344,15.0,19.4,69.5763440860215,56.0,82.0,3.1,29.8,3.1,29.8
11,11,Nov,14.053333333333331,0.7600000000000001,37.519999999999996,278.23805518518515,240.33272944444445,304.5445477777778,15.688888888888888,12.89,18.6,66.34,52.0,81.0,-1.2,29.6,-1.2,29.6
12,12,Dec,5.0,0.040000000000000015,7.319999999999999,289.19222648148144,263.1388938888889,307.12311611111113,14.560645161290322,11.540000000000001,16.7,60.888172043010755,46.0,74.0,-0.6,27.1,-0.6,27.1
