month,day,avg_accumulated_precipitation,years_sampled
1,1,1.74,16
1,2,3.11,16
1,3,5.56,16
1,4,8.21,16
1,5,9.37,16
1,6,10.38,16
1,7,10.78,16
1,8,12.1,16
1,9,14.47,16
1,10,17.1,16
1,11,22.89,16
1,12,27.76,16
1,13,30.13,16
1,14,30.42,16
1,15,31.19,16
1,16,32.02,16
1,17,35.61,16
1,18,37.46,16
1,19,38.75,16
1,20,39.27,16
1,21,39.5,16
1,22,40.49,16
1,23,43.06,16
1,24,45.32,16
1,25,49.24,16
1,26,52.6,16
1,27,53.92,16
1,28,55.56,16
1,29,57.23,16
1,30,58.06,16
1,31,58.67,16
2,1,59.87,16
2,2,63.02,16
2,3,64.59,16
2,4,65.39,16
2,5,66.96,16
2,6,68.54,16
2,7,71.11,16
2,8,73.47,16
2,9,76.15,16
2,10,77.19,16
2,11,78.28,16
2,12,80.98,16
2,13,82.63,16
2,14,83.26,16
2,15,84.78,16
2,16,87.86,16
2,17,90.56,16
2,18,92.82,16
2,19,94.86,16
2,20,97.34,16
2,21,99.28,16
2,22,102.12,16
2,23,103.54,16
2,24,105.99,16
2,25,108.73,16
2,26,110.33,16
2,27,114.69,16
2,28,117.28,16
2,29,117.9,4
3,1,120.26,16
3,2,121.99,16
3,3,124.56,16
3,4,125.74,16
3,5,128.31,16
3,6,129.53,16
3,7,130.92,16
3,8,131.56,16
3,9,133.64,16
3,10,137.07,16
3,11,139.16,16
3,12,140.56,16
3,13,142.28,16
3,14,145.48,16
3,15,146.86,16
3,16,149.41,16
3,17,150.51,16
3,18,151.34,16
3,19,152.22,16
3,20,152.78,16
3,21,153.83,16
3,22,155.15,16
3,23,159.06,16
3,24,162.22,16
3,25,164.43,16
3,26,166.52,16
3,27,168.26,16
3,28,171.66,16
3,29,174.14,16
3,30,177.11,16
3,31,181.21,16
4,1,182.83,16
4,2,184.21,16
4,3,189.48,16
4,4,193.9,16
4,5,195.62,16
4,6,198.48,16
4,7,200.56,16
4,8,203.94,16
4,9,206.69,16
4,10,209.42,16
4,11,213.16,16
4,12,217.43,16
4,13,220.2,16
4,14,224.69,16
4,15,227.62,16
4,16,232.59,16
4,17,233.94,16
4,18,235.35,16
4,19,239.36,16
4,20,243.79,16
4,21,246.07,16
4,22,247.79,16
4,23,249.76,16
4,24,251.24,16
4,25,254.53,16
4,26,258.34,16
4,27,259.61,16
4,28,262.19,16
4,29,265.71,16
4,30,270.61,16
5,1,275.34,16
5,2,277.29,16
5,3,282.27,16
5,4,285.81,16
5,5,290.24,16
5,6,291.12,16
5,7,293.07,16
5,8,293.84,16
5,9,295.19,16
5,10,296.95,16
5,11,298.06,16
5,12,299.07,16
5,13,303.05,16
5,14,306.27,16
5,15,310.82,16
5,16,312.06,16
5,17,314.41,16
5,18,315.47,16
5,19,316.59,16
5,20,318.32,16
5,21,320.92,16
5,22,325.26,16
5,23,326.31,16
5,24,326.77,16
5,25,330.2,16
5,26,331.37,16
5,27,334.94,16
5,28,338.21,16
5,29,340.39,16
5,30,341.82,16
5,31,343.87,16
6,1,348.96,16
6,2,353.16,16
6,3,355.43,16
6,4,356.16,16
6,5,360.28,16
6,6,363.73,16
6,7,366.56,16
6,8,369.84,16
6,9,372.62,16
6,10,376.31,16
6,11,378.56,16
6,12,383.52,16
6,13,386.49,16
6,14,388.72,16
6,15,389.36,16
6,16,391.94,16
6,17,392.53,16
6,18,395.37,16
6,19,396.85,16
6,20,400.34,16
6,21,401.7,16
6,22,404.47,16
6,23,409.55,16
6,24,414.29,16
6,25,417.66,16
6,26,422.46,16
6,27,428.13,16
6,28,431.1,16
6,29,434.34,16
6,30,435.14,16
7,1,436.37,16
7,2,438.44,16
7,3,439.48,16
7,4,439.87,16
7,5,443.41,16
7,6,445.18,16
7,7,447.55,16
7,8,450.11,16
7,9,451.69,16
7,10,453.74,16
7,11,457.24,16
7,12,458.54,16
7,13,461.97,16
7,14,464.25,16
7,15,466.37,16
7,16,470.18,16
7,17,474.32,16
7,18,476.74,16
7,19,477.83,16
7,20,481.86,16
7,21,482.41,16
7,22,483.96,16
7,23,487.92,16
7,24,489.98,16
7,25,491.37,16
7,26,493.63,16
7,27,496.47,16
7,28,498.94,16
7,29,502.25,16
7,30,503.69,16
7,31,505.05,16
8,1,507.31,16
8,2,509.34,16
8,3,511.5,16
8,4,513.87,16
8,5,514.89,16
8,6,516.61,16
8,7,518.36,16
8,8,520.85,16
8,9,523.74,16
8,10,528.25,16
8,11,530.2,16
8,12,533.16,16
8,13,534.62,16
8,14,535.9,16
8,15,537.06,16
8,16,539.31,16
8,17,543.19,16
8,18,544.26,16
8,19,547.07,16
8,20,548.79,16
8,21,553.76,16
8,22,557.47,16
8,23,557.79,16
8,24,559.25,16
8,25,561.64,16
8,26,562.49,16
8,27,564.86,16
8,28,565.59,16
8,29,567.54,16
8,30,569.29,16
8,31,569.93,16
9,1,570.62,16
9,2,572.04,16
9,3,573.35,16
9,4,577.11,16
9,5,577.87,16
9,6,579.7,16
9,7,582.76,16
9,8,587.27,16
9,9,588.32,16
9,10,591.71,16
9,11,593.45,16
9,12,596.96,16
9,13,599.76,16
9,14,601.07,16
9,15,601.89,16
9,16,603.25,16
9,17,604.31,16
9,18,605.27,16
9,19,606.64,16
9,20,606.82,16
9,21,611.79,16
9,22,616.32,16
9,23,621.27,16
9,24,622.19,16
9,25,625.11,16
9,26,626.58,16
9,27,628.41,16
9,28,631.85,16
9,29,633.29,16
9,30,635.51,16
10,1,638.55,16
10,2,642.06,16
10,3,644.04,16
10,4,645.94,16
10,5,647.68,16
10,6,652.97,16
10,7,656.64,16
10,8,657.48,16
10,9,660.59,16
10,10,661.34,16
10,11,662.85,16
10,12,664.14,16
10,13,668.0,16
10,14,671.71,16
10,15,674.79,16
10,16,677.3,16
10,17,678.64,16
10,18,679.39,16
10,19,681.51,16
10,20,686.57,16
10,21,689.55,16
10,22,690.89,16
10,23,693.52,16
10,24,695.4,16
10,25,697.3,16
10,26,700.37,16
10,27,705.02,16
10,28,709.79,16
10,29,712.83,16
10,30,717.36,16
10,31,722.77,16
11,1,725.53,16
11,2,728.0,16
11,3,728.97,16
11,4,729.71,16
11,5,731.95,16
11,6,733.68,16
11,7,734.72,16
11,8,735.79,16
11,9,738.01,16
11,10,739.02,16
11,11,741.73,16
