calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,250.45,147.95,333.8,118.64,81.46,158.8,3.82,0.3,7.1,85.59,73.5,95.0,-14.1,14.3
2,2,Feb,162.6,107.75,212.0,149.21,125.01,172.59,3.6,-0.99,7.19,80.98,63.1,93.0,-9.1,13.3
3,3,Mar,227.79,92.05,356.55,212.78,169.05,241.95,5.9,3.0,8.55,81.35,69.0,92.0,-4.7,18.9
4,4,Apr,145.58,72.3,198.6,274.62,236.53,322.85,8.46,5.6,11.2,77.7,66.0,88.0,-0.7,23.4
5,5,May,90.7,25.05,145.05,348.85,306.31,403.32,12.5,9.3,16.3,76.69,66.0,86.0,1.7,27.6
6,6,Jun,73.33,28.2,111.55,364.32,326.2,404.73,15.3,12.5,19.01,74.69,63.0,84.0,6.6,36.4
7,7,Jul,34.06,3.7,69.25,418.11,388.57,438.72,18.46,15.65,21.8,71.26,62.0,82.0,9.8,30.6
8,8,Aug,51.88,17.6,88.25,378.34,356.92,398.5,18.77,15.9,22.0,74.15,65.0,83.0,10.1,31.6
9,9,Sep,133.86,34.45,235.1,283.11,245.67,314.66,15.43,12.3,18.9,80.96,69.0,91.0,6.1,31.3
10,10,Oct,233.34,159.0,362.55,198.69,166.24,228.56,10.52,7.5,13.6,85.23,76.0,93.0,-1.2,22.3
11,11,Nov,301.86,166.75,432.8,124.55,86.12,156.94,6.1,2.5,9.51,85.44,73.0,94.0,-8.4,16.4
12,12,Dec,279.13,166.7,378.15,103.26,70.09,136.97,3.57,0.4,7.15,86.23,75.0,95.0,-13.8,13.2
