month,day,avg_daytime_temperature,years_sampled
1,1,3.26,16
1,2,2.73,16
1,3,3.36,16
1,4,3.26,16
1,5,3.44,16
1,6,2.1,16
1,7,1.63,16
1,8,1.86,16
1,9,2.55,16
1,10,2.59,16
1,11,1.62,16
1,12,2.87,16
1,13,2.72,16
1,14,2.67,16
1,15,2.31,16
1,16,1.9,16
1,17,1.86,16
1,18,1.39,16
1,19,1.38,16
1,20,1.61,16
1,21,0.06,16
1,22,0.46,16
1,23,0.66,16
1,24,1.06,16
1,25,0.96,16
1,26,0.89,16
1,27,0.51,16
1,28,2.46,16
1,29,2.59,16
1,30,3.14,16
1,31,2.46,16
2,1,3.02,16
2,2,3.43,16
2,3,3.21,16
2,4,3.38,16
2,5,3.44,16
2,6,2.88,16
2,7,2.67,16
2,8,2.58,16
2,9,2.83,16
2,10,3.32,16
2,11,2.91,16
2,12,2.05,16
2,13,2.48,16
2,14,3.25,16
2,15,3.95,16
2,16,4.25,16
2,17,4.85,16
2,18,5.11,16
2,19,5.16,16
2,20,5.13,16
2,21,5.52,16
2,22,5.6,16
2,23,5.84,16
2,24,5.74,16
2,25,5.71,16
2,26,5.47,16
2,27,4.85,16
2,28,5.69,16
2,29,8.82,4
3,1,5.85,16
3,2,6.0,16
3,3,6.38,16
3,4,6.9,16
3,5,5.87,16
3,6,5.88,16
3,7,6.12,16
3,8,6.39,16
3,9,7.56,16
3,10,8.18,16
3,11,7.71,16
3,12,7.95,16
3,13,8.82,16
3,14,8.08,16
3,15,7.34,16
3,16,8.05,16
3,17,8.76,16
3,18,7.78,16
3,19,7.36,16
3,20,8.25,16
3,21,8.9,16
3,22,8.93,16
3,23,9.27,16
3,24,9.57,16
3,25,9.49,16
3,26,9.54,16
3,27,9.26,16
3,28,10.22,16
3,29,11.81,16
3,30,12.04,16
3,31,11.97,16
4,1,11.0,16
4,2,10.26,16
4,3,11.04,16
4,4,11.69,16
4,5,11.71,16
4,6,10.55,16
4,7,11.33,16
4,8,11.71,16
4,9,12.29,16
4,10,11.57,16
4,11,12.39,16
4,12,12.87,16
4,13,12.77,16
4,14,12.14,16
4,15,12.79,16
4,16,12.45,16
4,17,13.29,16
4,18,11.85,16
4,19,11.99,16
4,20,12.48,16
4,21,13.92,16
4,22,13.99,16
4,23,13.89,16
4,24,14.32,16
4,25,14.85,16
4,26,14.18,16
4,27,13.76,16
4,28,14.83,16
4,29,15.82,16
4,30,16.82,16
5,1,16.56,16
5,2,16.69,16
5,3,15.07,16
5,4,15.04,16
5,5,14.64,16
5,6,15.26,16
5,7,15.5,16
5,8,15.27,16
5,9,16.23,16
5,10,17.6,16
5,11,17.95,16
5,12,16.37,16
5,13,15.33,16
5,14,15.39,16
5,15,14.03,16
5,16,14.38,16
5,17,14.43,16
5,18,15.91,16
5,19,17.77,16
5,20,17.78,16
5,21,18.33,16
5,22,18.17,16
5,23,18.11,16
5,24,17.26,16
5,25,17.19,16
5,26,18.17,16
5,27,18.32,16
5,28,17.43,16
5,29,18.09,16
5,30,17.75,16
5,31,18.06,16
6,1,18.96,16
6,2,19.2,16
6,3,19.7,16
6,4,20.21,16
6,5,20.22,16
6,6,20.87,16
6,7,21.13,16
6,8,21.2,16
6,9,20.82,16
6,10,20.97,16
6,11,21.36,16
6,12,21.79,16
6,13,20.84,16
6,14,20.25,16
6,15,20.85,16
6,16,21.36,16
6,17,21.26,16
6,18,22.66,16
6,19,23.01,16
6,20,22.37,16
6,21,22.52,16
6,22,22.63,16
6,23,22.06,16
6,24,21.34,16
6,25,21.14,16
6,26,22.06,16
6,27,22.23,16
6,28,22.9,16
6,29,23.75,16
6,30,23.47,16
7,1,23.1,16
7,2,22.48,16
7,3,22.65,16
7,4,23.27,16
7,5,24.54,16
7,6,25.15,16
7,7,23.71,16
7,8,23.33,16
7,9,23.17,16
7,10,23.88,16
7,11,22.9,16
7,12,23.2,16
7,13,22.98,16
7,14,23.0,16
7,15,22.92,16
7,16,23.34,16
7,17,23.69,16
7,18,23.27,16
7,19,25.03,16
7,20,24.7,16
7,21,24.59,16
7,22,24.13,16
7,23,24.74,16
7,24,24.14,16
7,25,23.19,16
7,26,22.73,16
7,27,23.4,16
7,28,24.42,16
7,29,23.35,16
7,30,23.01,16
7,31,23.93,16
8,1,23.89,16
8,2,24.31,16
8,3,24.07,16
8,4,23.65,16
8,5,23.36,16
8,6,23.04,16
8,7,23.63,16
8,8,24.31,16
8,9,24.44,16
8,10,23.91,16
8,11,23.0,16
8,12,23.3,16
8,13,24.04,16
8,14,24.1,16
8,15,24.67,16
8,16,23.49,16
8,17,22.73,16
8,18,23.67,16
8,19,23.28,16
8,20,23.05,16
8,21,22.45,16
8,22,22.47,16
8,23,22.73,16
8,24,23.19,16
8,25,22.67,16
8,26,22.86,16
8,27,22.54,16
8,28,22.58,16
8,29,22.52,16
8,30,22.43,16
8,31,21.13,16
9,1,20.37,16
9,2,19.81,16
9,3,20.54,16
9,4,21.37,16
9,5,20.91,16
9,6,19.4,16
9,7,19.54,16
9,8,20.32,16
9,9,19.88,16
9,10,20.46,16
9,11,20.31,16
9,12,19.66,16
9,13,19.57,16
9,14,19.05,16
9,15,19.2,16
9,16,19.43,16
9,17,17.96,16
9,18,18.09,16
9,19,16.66,16
9,20,16.56,16
9,21,17.49,16
9,22,17.25,16
9,23,16.3,16
9,24,16.42,16
9,25,16.39,16
9,26,16.26,16
9,27,16.31,16
9,28,16.23,16
9,29,15.34,16
9,30,15.14,16
10,1,15.02,16
10,2,14.84,16
10,3,14.76,16
10,4,14.53,16
10,5,14.66,16
10,6,14.74,16
10,7,13.76,16
10,8,13.97,16
10,9,13.96,16
10,10,13.7,16
10,11,14.05,16
10,12,13.56,16
10,13,12.96,16
10,14,13.11,16
10,15,13.44,16
10,16,12.48,16
10,17,11.97,16
10,18,12.3,16
10,19,12.11,16
10,20,12.43,16
10,21,12.51,16
10,22,11.78,16
10,23,11.9,16
10,24,12.05,16
10,25,12.71,16
10,26,12.2,16
10,27,11.59,16
10,28,10.92,16
10,29,11.02,16
10,30,10.75,16
10,31,10.42,16
11,1,11.43,16
11,2,11.26,16
11,3,10.65,16
11,4,10.8,16
11,5,10.49,16
11,6,10.13,16
11,7,10.45,16
11,8,9.17,16
11,9,9.1,16
11,10,9.02,16
11,11,8.33,16
11,12,7.7,16
11,13,6.98,16
11,14,6.9,16
11,15,7.47,16
11,16,8.4,16
11,17,7.55,16
11,18,7.82,16
11,19,6.64,16
11,20,6.74,16
11,21,6.32,16
11,22,5.87,16
11,23,5.18,16
11,24,4.87,16
11,25,4.51,16
11,26,4.46,16
11,27,4.04,16
11,28,4.09,16
11,29,3.58,16
11,30,3.04,16
12,1,3.03,16
12,2,2.12,16
12,3,1.93,16
12,4,2.66,16
12,5,3.09,16
12,6,2.68,16
12,7,4.05,16
12,8,3.61,16
12,9,3.27,16
12,10,3.5,16
12,11,3.28,16
12,12,3.49,16
12,13,2.29,16
12,14,2.78,16
12,15,3.04,16
12,16,2.67,16
12,17,2.86,16
12,18,3.0,16
12,19,2.85,16
12,20,2.27,16
12,21,2.57,16
12,22,3.4,16
12,23,4.81,16
12,24,6.28,16
12,25,5.34,16
12,26,4.03,16
12,27,3.83,16
12,28,3.28,16
12,29,2.51,16
12,30,2.62,16
12,31,2.89,16
