month,day,avg_accumulated_precipitation,years_sampled
1,1,1.58,16
1,2,3.19,16
1,3,5.64,16
1,4,7.9,16
1,5,10.86,16
1,6,12.83,16
1,7,13.68,16
1,8,14.92,16
1,9,17.35,16
1,10,19.64,16
1,11,20.76,16
1,12,22.65,16
1,13,24.2,16
1,14,25.59,16
1,15,28.48,16
1,16,29.27,16
1,17,30.84,16
1,18,32.05,16
1,19,33.41,16
1,20,35.21,16
1,21,36.7,16
1,22,38.21,16
1,23,39.18,16
1,24,40.23,16
1,25,41.34,16
1,26,42.13,16
1,27,43.15,16
1,28,44.51,16
1,29,46.02,16
1,30,48.72,16
1,31,50.03,16
2,1,51.44,16
2,2,54.2,16
2,3,55.81,16
2,4,58.21,16
2,5,59.64,16
2,6,60.5,16
2,7,62.04,16
2,8,63.21,16
2,9,64.19,16
2,10,66.41,16
2,11,69.14,16
2,12,70.36,16
2,13,70.8,16
2,14,71.68,16
2,15,72.34,16
2,16,72.75,16
2,17,74.89,16
2,18,75.84,16
2,19,78.44,16
2,20,80.15,16
2,21,82.38,16
2,22,84.06,16
2,23,86.05,16
2,24,87.74,16
2,25,88.98,16
2,26,90.11,16
2,27,90.39,16
2,28,91.18,16
2,29,91.36,4
3,1,93.19,16
3,2,94.04,16
3,3,94.57,16
3,4,95.22,16
3,5,95.92,16
3,6,97.92,16
3,7,98.22,16
3,8,98.76,16
3,9,99.93,16
3,10,101.22,16
3,11,103.74,16
3,12,104.67,16
3,13,106.79,16
3,14,108.41,16
3,15,109.39,16
3,16,110.52,16
3,17,111.46,16
3,18,112.44,16
3,19,113.71,16
3,20,114.42,16
3,21,115.19,16
3,22,116.13,16
3,23,116.88,16
3,24,117.92,16
3,25,118.79,16
3,26,120.19,16
3,27,120.89,16
3,28,121.56,16
3,29,123.56,16
3,30,124.96,16
3,31,127.8,16
4,1,130.56,16
4,2,132.76,16
4,3,133.93,16
4,4,135.75,16
4,5,137.28,16
4,6,139.09,16
4,7,140.05,16
4,8,141.04,16
4,9,141.93,16
4,10,143.01,16
4,11,144.68,16
4,12,145.76,16
4,13,147.74,16
4,14,149.57,16
4,15,152.59,16
4,16,154.68,16
4,17,155.93,16
4,18,156.7,16
4,19,158.48,16
4,20,160.52,16
4,21,161.25,16
4,22,161.81,16
4,23,162.91,16
4,24,163.64,16
4,25,165.43,16
4,26,167.73,16
4,27,169.89,16
4,28,172.58,16
4,29,173.87,16
4,30,174.45,16
5,1,177.21,16
5,2,179.71,16
5,3,183.38,16
5,4,186.05,16
5,5,187.41,16
5,6,191.16,16
5,7,193.04,16
5,8,194.26,16
5,9,194.64,16
5,10,196.23,16
5,11,197.32,16
5,12,199.19,16
5,13,200.59,16
5,14,203.99,16
5,15,207.36,16
5,16,214.36,16
5,17,219.54,16
5,18,222.29,16
5,19,224.24,16
5,20,226.03,16
5,21,227.42,16
5,22,228.91,16
5,23,230.61,16
5,24,233.14,16
5,25,237.18,16
5,26,239.46,16
5,27,243.4,16
5,28,246.34,16
5,29,248.23,16
5,30,250.88,16
5,31,253.52,16
6,1,256.84,16
6,2,259.02,16
6,3,261.17,16
6,4,263.21,16
6,5,264.28,16
6,6,265.12,16
6,7,267.04,16
6,8,268.13,16
6,9,271.17,16
6,10,275.44,16
6,11,276.86,16
6,12,279.33,16
6,13,282.25,16
6,14,283.47,16
6,15,283.94,16
6,16,285.42,16
6,17,287.13,16
6,18,288.75,16
6,19,291.53,16
6,20,294.74,16
6,21,298.23,16
6,22,299.58,16
6,23,303.93,16
6,24,307.3,16
6,25,310.48,16
6,26,312.96,16
6,27,315.33,16
6,28,318.45,16
6,29,321.68,16
6,30,324.38,16
7,1,327.41,16
7,2,330.83,16
7,3,334.01,16
7,4,336.57,16
7,5,338.15,16
7,6,342.33,16
7,7,344.15,16
7,8,346.72,16
7,9,351.74,16
7,10,353.66,16
7,11,355.4,16
7,12,359.17,16
7,13,364.19,16
7,14,369.3,16
7,15,373.09,16
7,16,377.26,16
7,17,379.48,16
7,18,381.27,16
7,19,382.91,16
7,20,385.99,16
7,21,387.09,16
7,22,387.91,16
7,23,389.88,16
7,24,393.19,16
7,25,396.01,16
7,26,400.15,16
7,27,404.06,16
7,28,409.57,16
7,29,411.34,16
7,30,413.41,16
7,31,416.79,16
8,1,418.33,16
8,2,419.17,16
8,3,421.06,16
8,4,422.74,16
8,5,424.9,16
8,6,430.44,16
8,7,432.86,16
8,8,436.85,16
8,9,439.84,16
8,10,442.96,16
8,11,445.02,16
8,12,446.14,16
8,13,448.71,16
8,14,452.81,16
8,15,453.84,16
8,16,455.78,16
8,17,456.97,16
8,18,457.61,16
8,19,461.2,16
8,20,463.72,16
8,21,468.2,16
8,22,471.06,16
8,23,473.67,16
8,24,475.19,16
8,25,478.01,16
8,26,480.57,16
8,27,484.02,16
8,28,484.55,16
8,29,486.64,16
8,30,490.8,16
8,31,493.23,16
9,1,496.5,16
9,2,497.9,16
9,3,498.6,16
9,4,499.68,16
9,5,501.58,16
9,6,503.17,16
9,7,505.74,16
9,8,507.36,16
9,9,509.36,16
9,10,510.66,16
9,11,513.82,16
9,12,516.09,16
9,13,517.84,16
9,14,520.44,16
9,15,521.95,16
9,16,523.74,16
9,17,526.58,16
9,18,529.89,16
9,19,531.11,16
9,20,532.21,16
9,21,532.98,16
9,22,533.84,16
9,23,535.74,16
9,24,537.81,16
9,25,538.68,16
9,26,541.23,16
9,27,542.91,16
9,28,545.14,16
9,29,546.69,16
9,30,549.5,16
10,1,550.01,16
10,2,551.1,16
10,3,554.28,16
10,4,555.23,16
10,5,558.42,16
10,6,560.51,16
10,7,561.38,16
10,8,562.51,16
10,9,562.86,16
10,10,565.35,16
10,11,567.03,16
10,12,569.1,16
10,13,571.14,16
10,14,573.23,16
10,15,574.13,16
10,16,575.74,16
10,17,576.61,16
10,18,579.14,16
10,19,579.94,16
10,20,581.74,16
10,21,584.13,16
10,22,587.07,16
10,23,588.62,16
10,24,590.88,16
10,25,593.35,16
10,26,593.91,16
10,27,595.73,16
10,28,597.48,16
10,29,600.41,16
10,30,600.86,16
10,31,601.07,16
11,1,602.36,16
11,2,604.03,16
11,3,606.79,16
11,4,609.07,16
11,5,611.68,16
11,6,612.86,16
11,7,614.23,16
11,8,615.74,16
11,9,616.67,16
11,10,618.04,16
11,11,619.09,16
11,12,619.62,16
11,13,621.78,16
11,14,622.94,16
11,15,623.49,16
11,16,624.46,16
11,17,625.75,16
11,18,626.96,16
11,19,629.09,16
11,20,630.61,16
11,21,631.26,16
11,22,631.91,16
11,23,633.2,16
11,24,634.5,16
11,25,635.58,16
11,26,637.11,16
11,27,638.24,16
11,28,639.39,16
11,29,641.28,16
11,30,643.44,16
12,1,644.62,16
12,2,646.08,16
12,3,647.16,16
12,4,649.01,16
12,5,649.84,16
12,6,651.26,16
12,7,652.73,16
12,8,654.68,16
12,9,656.4,16
12,10,657.95,16
12,11,660.48,16
12,12,661.54,16
12,13,662.53,16
12,14,663.54,16
12,15,664.61,16
12,16,666.56,16
12,17,667.64,16
12,18,668.63,16
12,19,669.69,16
12,20,671.43,16
12,21,673.36,16
12,22,676.56,16
12,23,680.08,16
12,24,683.49,16
12,25,684.87,16
12,26,686.55,16
12,27,687.89,16
12,28,688.28,16
12,29,689.38,16
12,30,690.67,16
12,31,692.24,16
