calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,75.23,51.65,109.7,198.58,169.75,222.46,1.41,-4.95,7.85,66.56,46.0,88.0,-17.6,23.0
2,2,Feb,81.58,54.15,121.5,201.12,164.4,231.14,3.29,-2.7,9.99,66.06,47.0,86.0,-21.4,26.0
3,3,Mar,94.11,58.1,126.15,251.46,229.19,275.18,7.58,1.4,14.55,64.31,46.0,85.0,-18.5,28.5
4,4,Apr,93.44,60.6,127.75,281.5,249.13,308.71,13.41,7.59,19.7,64.16,47.0,84.0,-3.1,32.1
5,5,May,120.26,49.65,214.5,309.17,259.14,351.54,18.59,12.8,24.05,70.94,53.0,88.0,0.7,34.6
6,6,Jun,117.87,56.0,178.9,349.06,320.64,375.1,23.64,20.0,27.4,67.95,51.0,86.0,9.1,40.3
7,7,Jul,148.63,74.8,212.65,368.42,341.94,391.02,26.25,23.3,29.4,70.4,56.0,86.0,14.2,41.2
8,8,Aug,134.59,54.4,218.1,330.84,302.16,356.47,24.56,21.7,27.35,72.95,58.5,87.5,12.5,37.0
9,9,Sep,122.04,45.3,183.7,270.48,230.22,294.94,21.42,17.2,25.9,72.69,56.9,90.0,7.4,36.9
10,10,Oct,96.08,40.5,150.05,244.31,219.32,279.14,15.14,10.2,20.15,72.67,58.0,88.5,0.1,34.7
11,11,Nov,72.69,34.7,136.15,226.45,204.89,246.3,8.43,2.89,14.41,68.26,51.0,85.0,-5.5,26.4
12,12,Dec,98.02,41.65,152.5,187.83,163.0,212.32,4.33,-1.0,11.0,71.51,54.0,92.0,-14.3,22.6
