month,day,avg_accumulated_precipitation,years_sampled
1,1,1.61,16
1,2,5.44,16
1,3,8.1,16
1,4,12.8,16
1,5,17.78,16
1,6,21.33,16
1,7,23.53,16
1,8,26.84,16
1,9,31.1,16
1,10,34.89,16
1,11,38.73,16
1,12,41.3,16
1,13,45.68,16
1,14,51.38,16
1,15,53.54,16
1,16,55.84,16
1,17,62.19,16
1,18,64.47,16
1,19,66.68,16
1,20,69.84,16
1,21,72.33,16
1,22,75.12,16
1,23,76.83,16
1,24,79.04,16
1,25,80.36,16
1,26,81.71,16
1,27,85.79,16
1,28,90.3,16
1,29,94.05,16
1,30,97.44,16
1,31,101.08,16
2,1,106.0,16
2,2,110.16,16
2,3,114.82,16
2,4,116.96,16
2,5,119.53,16
2,6,120.52,16
2,7,123.8,16
2,8,125.29,16
2,9,127.0,16
2,10,129.25,16
2,11,133.48,16
2,12,135.1,16
2,13,137.07,16
2,14,138.01,16
2,15,140.87,16
2,16,143.16,16
2,17,145.52,16
2,18,146.01,16
2,19,148.39,16
2,20,149.9,16
2,21,152.66,16
2,22,154.48,16
2,23,156.69,16
2,24,158.56,16
2,25,161.36,16
2,26,163.67,16
2,27,166.95,16
2,28,168.79,16
2,29,169.74,4
3,1,171.99,16
3,2,175.58,16
3,3,176.84,16
3,4,178.56,16
3,5,181.94,16
3,6,185.0,16
3,7,185.69,16
3,8,187.6,16
3,9,189.62,16
3,10,191.87,16
3,11,193.87,16
3,12,195.48,16
3,13,197.79,16
3,14,200.98,16
3,15,203.44,16
3,16,205.37,16
3,17,207.93,16
3,18,211.52,16
3,19,214.04,16
3,20,214.58,16
3,21,216.32,16
3,22,218.08,16
3,23,220.11,16
3,24,221.63,16
3,25,223.76,16
3,26,226.44,16
3,27,228.89,16
3,28,231.48,16
3,29,234.23,16
3,30,238.29,16
3,31,241.08,16
4,1,245.49,16
4,2,247.95,16
4,3,248.92,16
4,4,254.38,16
4,5,256.76,16
4,6,257.93,16
4,7,259.54,16
4,8,262.18,16
4,9,263.83,16
4,10,264.5,16
4,11,266.26,16
4,12,270.25,16
4,13,272.59,16
4,14,274.11,16
4,15,277.03,16
4,16,281.75,16
4,17,286.59,16
4,18,290.74,16
4,19,293.64,16
4,20,296.88,16
4,21,298.13,16
4,22,299.01,16
4,23,302.49,16
4,24,304.72,16
4,25,311.19,16
4,26,316.47,16
4,27,322.03,16
4,28,328.86,16
4,29,330.89,16
4,30,335.38,16
5,1,343.46,16
5,2,350.36,16
5,3,356.21,16
5,4,360.16,16
5,5,366.08,16
5,6,370.66,16
5,7,374.91,16
5,8,378.21,16
5,9,381.34,16
5,10,385.9,16
5,11,389.36,16
5,12,395.28,16
5,13,400.62,16
5,14,407.62,16
5,15,414.45,16
5,16,419.68,16
5,17,422.58,16
5,18,423.79,16
5,19,428.41,16
5,20,432.69,16
5,21,439.48,16
5,22,443.36,16
5,23,451.74,16
5,24,454.3,16
5,25,456.26,16
5,26,459.86,16
5,27,463.39,16
5,28,466.07,16
5,29,470.4,16
5,30,473.65,16
5,31,481.25,16
6,1,489.09,16
6,2,492.43,16
6,3,496.59,16
6,4,500.71,16
6,5,504.43,16
6,6,507.46,16
6,7,514.38,16
6,8,523.44,16
6,9,529.62,16
6,10,535.04,16
6,11,539.43,16
6,12,542.28,16
6,13,548.63,16
6,14,552.01,16
6,15,555.96,16
6,16,561.11,16
6,17,565.37,16
6,18,569.66,16
6,19,574.85,16
6,20,579.24,16
6,21,581.78,16
6,22,585.55,16
6,23,590.19,16
6,24,593.7,16
6,25,597.28,16
6,26,599.03,16
6,27,600.88,16
6,28,603.71,16
6,29,612.71,16
6,30,618.78,16
7,1,623.78,16
7,2,627.48,16
7,3,631.56,16
7,4,635.27,16
7,5,637.62,16
7,6,642.14,16
7,7,647.93,16
7,8,654.73,16
